,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
212,16/01/2021,Andaman and Nicobar Islands,23.0,2.0,2.0,23.0,0.0,12.0,11.0,0.0,0.0,23.0,,,,,,,,,,,,23.0
213,17/01/2021,Andaman and Nicobar Islands,23.0,2.0,2.0,23.0,0.0,12.0,11.0,0.0,0.0,23.0,,,,,,,,,,,,23.0
214,18/01/2021,Andaman and Nicobar Islands,42.0,9.0,2.0,42.0,0.0,29.0,13.0,0.0,0.0,42.0,,,,,,,,,,,,42.0
215,19/01/2021,Andaman and Nicobar Islands,89.0,12.0,2.0,89.0,0.0,53.0,36.0,0.0,0.0,89.0,,,,,,,,,,,,89.0
216,20/01/2021,Andaman and Nicobar Islands,124.0,16.0,3.0,124.0,0.0,67.0,57.0,0.0,0.0,124.0,,,,,,,,,,,,124.0
217,21/01/2021,Andaman and Nicobar Islands,239.0,22.0,6.0,239.0,0.0,110.0,129.0,0.0,0.0,239.0,,,,,,,,,,,,239.0
218,22/01/2021,Andaman and Nicobar Islands,552.0,29.0,6.0,552.0,0.0,231.0,321.0,0.0,0.0,552.0,,,,,,,,,,,,552.0
219,23/01/2021,Andaman and Nicobar Islands,920.0,32.0,9.0,920.0,0.0,342.0,578.0,0.0,0.0,920.0,,,,,,,,,,,,920.0
220,24/01/2021,Andaman and Nicobar Islands,966.0,38.0,9.0,966.0,0.0,357.0,609.0,0.0,0.0,966.0,,,,,,,,,,,,966.0
221,25/01/2021,Andaman and Nicobar Islands,1519.0,43.0,10.0,1519.0,0.0,447.0,1072.0,0.0,0.0,1519.0,,,,,,,,,,,,1519.0
222,26/01/2021,Andaman and Nicobar Islands,1519.0,43.0,10.0,1519.0,0.0,447.0,1072.0,0.0,0.0,1519.0,,,,,,,,,,,,1519.0
223,27/01/2021,Andaman and Nicobar Islands,1519.0,43.0,10.0,1519.0,0.0,447.0,1072.0,0.0,0.0,1519.0,,,,,,,,,,,,1519.0
224,28/01/2021,Andaman and Nicobar Islands,1956.0,48.0,10.0,1956.0,0.0,563.0,1393.0,0.0,0.0,1956.0,,,,,,,,,,,,1956.0
225,29/01/2021,Andaman and Nicobar Islands,2024.0,50.0,10.0,2024.0,0.0,588.0,1436.0,0.0,0.0,2024.0,,,,,,,,,,,,2024.0
226,30/01/2021,Andaman and Nicobar Islands,2060.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,,,,,,,,,,,,2060.0
227,31/01/2021,Andaman and Nicobar Islands,2060.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,,,,,,,,,,,,2060.0
228,01/02/2021,Andaman and Nicobar Islands,2060.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,,,,,,,,,,,,2060.0
229,02/02/2021,Andaman and Nicobar Islands,2060.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,,,,,,,,,,,,2060.0
230,03/02/2021,Andaman and Nicobar Islands,2107.0,56.0,12.0,2107.0,0.0,601.0,1506.0,0.0,0.0,2107.0,,,,,,,,,,,,2107.0
231,04/02/2021,Andaman and Nicobar Islands,2290.0,57.0,13.0,2290.0,0.0,659.0,1631.0,0.0,0.0,2290.0,,,,,,,,,,,,2290.0
232,05/02/2021,Andaman and Nicobar Islands,2514.0,63.0,13.0,2514.0,0.0,705.0,1809.0,0.0,0.0,2514.0,,,,,,,,,,,,2514.0
