,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
424,16/01/2021,Andhra Pradesh,4216.0,541.0,339.0,4216.0,0.0,857.0,3359.0,0.0,0.0,4216.0,,,,,,,,,,,,4216.0
425,17/01/2021,Andhra Pradesh,9251.0,1025.0,444.0,9251.0,0.0,1876.0,7374.0,1.0,0.0,9251.0,,,,,,,,,,,,9251.0
426,18/01/2021,Andhra Pradesh,12234.0,1458.0,581.0,12234.0,0.0,2974.0,9260.0,0.0,0.0,12234.0,,,,,,,,,,,,12234.0
427,19/01/2021,Andhra Pradesh,25539.0,2039.0,828.0,25539.0,0.0,9564.0,15975.0,0.0,0.0,25539.0,,,,,,,,,,,,25539.0
428,20/01/2021,Andhra Pradesh,35901.0,3111.0,1125.0,35901.0,0.0,10940.0,24961.0,0.0,135.0,35766.0,,,,,,,,,,,,35901.0
429,21/01/2021,Andhra Pradesh,45040.0,4286.0,1342.0,45040.0,0.0,12812.0,32228.0,0.0,395.0,44645.0,,,,,,,,,,,,45040.0
430,22/01/2021,Andhra Pradesh,55697.0,5151.0,1412.0,55697.0,0.0,15918.0,39779.0,0.0,573.0,55124.0,,,,,,,,,,,,55697.0
431,23/01/2021,Andhra Pradesh,70380.0,6375.0,1528.0,70380.0,0.0,20177.0,50203.0,0.0,947.0,69433.0,,,,,,,,,,,,70380.0
432,24/01/2021,Andhra Pradesh,74221.0,6922.0,1593.0,74221.0,0.0,20948.0,53272.0,1.0,1087.0,73134.0,,,,,,,,,,,,74221.0
433,25/01/2021,Andhra Pradesh,89879.0,7342.0,1629.0,89879.0,0.0,25497.0,64381.0,1.0,1984.0,87895.0,,,,,,,,,,,,89879.0
