,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
636,16/01/2021,Arunachal Pradesh,81.0,10.0,9.0,81.0,0.0,40.0,41.0,0.0,0.0,81.0,,,,,,,,,,,,81.0
637,17/01/2021,Arunachal Pradesh,178.0,44.0,30.0,178.0,0.0,70.0,108.0,0.0,0.0,178.0,,,,,,,,,,,,178.0
638,18/01/2021,Arunachal Pradesh,560.0,74.0,50.0,560.0,0.0,119.0,441.0,0.0,0.0,560.0,,,,,,,,,,,,560.0
639,19/01/2021,Arunachal Pradesh,574.0,77.0,51.0,574.0,0.0,122.0,452.0,0.0,0.0,574.0,,,,,,,,,,,,574.0
640,20/01/2021,Arunachal Pradesh,601.0,127.0,76.0,601.0,0.0,133.0,468.0,0.0,0.0,601.0,,,,,,,,,,,,601.0
641,21/01/2021,Arunachal Pradesh,1154.0,175.0,104.0,1154.0,0.0,302.0,852.0,0.0,0.0,1154.0,,,,,,,,,,,,1154.0
642,22/01/2021,Arunachal Pradesh,1818.0,200.0,115.0,1818.0,0.0,428.0,1390.0,0.0,0.0,1818.0,,,,,,,,,,,,1818.0
643,23/01/2021,Arunachal Pradesh,2446.0,208.0,120.0,2446.0,0.0,586.0,1860.0,0.0,0.0,2446.0,,,,,,,,,,,,2446.0
644,24/01/2021,Arunachal Pradesh,2529.0,227.0,124.0,2529.0,0.0,609.0,1920.0,0.0,0.0,2529.0,,,,,,,,,,,,2529.0
645,25/01/2021,Arunachal Pradesh,3442.0,235.0,130.0,3442.0,0.0,837.0,2605.0,0.0,0.0,3442.0,,,,,,,,,,,,3442.0
646,26/01/2021,Arunachal Pradesh,3462.0,240.0,133.0,3462.0,0.0,848.0,2614.0,0.0,0.0,3462.0,,,,,,,,,,,,3462.0
647,27/01/2021,Arunachal Pradesh,3998.0,269.0,144.0,3998.0,0.0,1017.0,2981.0,0.0,0.0,3998.0,,,,,,,,,,,,3998.0
648,28/01/2021,Arunachal Pradesh,5470.0,294.0,150.0,5470.0,0.0,1363.0,4107.0,0.0,0.0,5470.0,,,,,,,,,,,,5470.0
649,29/01/2021,Arunachal Pradesh,6106.0,301.0,150.0,6106.0,0.0,1491.0,4615.0,0.0,0.0,6106.0,,,,,,,,,,,,6106.0
650,30/01/2021,Arunachal Pradesh,6491.0,304.0,150.0,6491.0,0.0,1543.0,4948.0,0.0,0.0,6491.0,,,,,,,,,,,,6491.0
651,31/01/2021,Arunachal Pradesh,6525.0,315.0,151.0,6525.0,0.0,1556.0,4969.0,0.0,0.0,6525.0,,,,,,,,,,,,6525.0
652,01/02/2021,Arunachal Pradesh,6668.0,330.0,154.0,6668.0,0.0,1570.0,5098.0,0.0,0.0,6668.0,,,,,,,,,,,,6668.0
653,02/02/2021,Arunachal Pradesh,6668.0,359.0,165.0,6668.0,0.0,1570.0,5098.0,0.0,0.0,6668.0,,,,,,,,,,,,6668.0
654,03/02/2021,Arunachal Pradesh,6758.0,388.0,174.0,6758.0,0.0,1597.0,5161.0,0.0,0.0,6758.0,,,,,,,,,,,,6758.0
655,04/02/2021,Arunachal Pradesh,7785.0,423.0,178.0,7785.0,0.0,1832.0,5953.0,0.0,0.0,7785.0,,,,,,,,,,,,7785.0
656,05/02/2021,Arunachal Pradesh,8745.0,455.0,183.0,8745.0,0.0,2148.0,6597.0,0.0,0.0,8745.0,,,,,,,,,,,,8745.0
657,06/02/2021,Arunachal Pradesh,9288.0,466.0,183.0,9288.0,0.0,2271.0,7017.0,0.0,0.0,9288.0,,,,,,,,,,,,9288.0
658,07/02/2021,Arunachal Pradesh,9292.0,498.0,190.0,9292.0,0.0,2272.0,7020.0,0.0,0.0,9292.0,,,,,,,,,,,,9292.0
