,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
848,16/01/2021,Assam,401.0,79.0,64.0,401.0,0.0,141.0,260.0,0.0,36.0,365.0,,,,,,,,,,,,401.0
849,17/01/2021,Assam,466.0,119.0,68.0,466.0,0.0,166.0,300.0,0.0,42.0,424.0,,,,,,,,,,,,466.0
850,18/01/2021,Assam,722.0,290.0,74.0,722.0,0.0,261.0,461.0,0.0,63.0,659.0,,,,,,,,,,,,722.0
851,19/01/2021,Assam,1254.0,333.0,78.0,1254.0,0.0,425.0,829.0,0.0,110.0,1144.0,,,,,,,,,,,,1254.0
852,20/01/2021,Assam,1254.0,408.0,98.0,1254.0,0.0,425.0,829.0,0.0,110.0,1144.0,,,,,,,,,,,,1254.0
853,21/01/2021,Assam,2163.0,493.0,120.0,2163.0,0.0,773.0,1390.0,0.0,175.0,1988.0,,,,,,,,,,,,2163.0
854,22/01/2021,Assam,3947.0,523.0,132.0,3947.0,0.0,1339.0,2608.0,0.0,234.0,3713.0,,,,,,,,,,,,3947.0
855,23/01/2021,Assam,4061.0,586.0,164.0,4061.0,0.0,1366.0,2695.0,0.0,247.0,3814.0,,,,,,,,,,,,4061.0
856,24/01/2021,Assam,4416.0,647.0,191.0,4416.0,0.0,1496.0,2920.0,0.0,256.0,4160.0,,,,,,,,,,,,4416.0
857,25/01/2021,Assam,10886.0,675.0,207.0,10886.0,0.0,3725.0,7161.0,0.0,693.0,10193.0,,,,,,,,,,,,10886.0
858,26/01/2021,Assam,11021.0,750.0,236.0,11021.0,0.0,3763.0,7258.0,0.0,734.0,10287.0,,,,,,,,,,,,11021.0
859,27/01/2021,Assam,12407.0,863.0,277.0,12407.0,0.0,4278.0,8129.0,0.0,810.0,11597.0,,,,,,,,,,,,12407.0
860,28/01/2021,Assam,21430.0,1001.0,317.0,21430.0,0.0,6957.0,14472.0,1.0,1478.0,19952.0,,,,,,,,,,,,21430.0
861,29/01/2021,Assam,29322.0,1034.0,327.0,29322.0,0.0,8907.0,20414.0,1.0,2206.0,27116.0,,,,,,,,,,,,29322.0
862,30/01/2021,Assam,30573.0,1066.0,343.0,30573.0,0.0,9291.0,21281.0,1.0,2295.0,28278.0,,,,,,,,,,,,30573.0
863,31/01/2021,Assam,30688.0,1112.0,364.0,30688.0,0.0,9308.0,21379.0,1.0,2295.0,28393.0,,,,,,,,,,,,30688.0
864,01/02/2021,Assam,32329.0,1240.0,417.0,32329.0,0.0,10004.0,22324.0,1.0,2392.0,29937.0,,,,,,,,,,,,32329.0
865,02/02/2021,Assam,34848.0,1425.0,500.0,34848.0,0.0,11090.0,23757.0,1.0,2778.0,32070.0,,,,,,,,,,,,34848.0
866,03/02/2021,Assam,36100.0,1717.0,604.0,36100.0,0.0,11650.0,24449.0,1.0,2966.0,33134.0,,,,,,,,,,,,36100.0
867,04/02/2021,Assam,52645.0,1955.0,656.0,52645.0,0.0,15836.0,36782.0,27.0,4420.0,48225.0,,,,,,,,,,,,52645.0
868,05/02/2021,Assam,68628.0,2136.0,715.0,68628.0,0.0,18866.0,49735.0,27.0,5631.0,62997.0,,,,,,,,,,,,68628.0
869,06/02/2021,Assam,78498.0,2249.0,726.0,78498.0,0.0,20683.0,57786.0,29.0,6707.0,71791.0,,,,,,,,,,,,78498.0
