,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
1272,16/01/2021,Chandigarh,120.0,5.0,5.0,120.0,0.0,94.0,26.0,0.0,0.0,120.0,,,,,,,,,,,,120.0
1273,17/01/2021,Chandigarh,120.0,7.0,5.0,120.0,0.0,94.0,26.0,0.0,0.0,120.0,,,,,,,,,,,,120.0
1274,18/01/2021,Chandigarh,158.0,12.0,6.0,158.0,0.0,116.0,42.0,0.0,0.0,158.0,,,,,,,,,,,,158.0
1275,19/01/2021,Chandigarh,165.0,12.0,6.0,165.0,0.0,110.0,55.0,0.0,0.0,165.0,,,,,,,,,,,,165.0
1276,20/01/2021,Chandigarh,165.0,16.0,6.0,165.0,0.0,110.0,55.0,0.0,0.0,165.0,,,,,,,,,,,,165.0
1277,21/01/2021,Chandigarh,281.0,22.0,7.0,281.0,0.0,182.0,99.0,0.0,0.0,281.0,,,,,,,,,,,,281.0
1278,22/01/2021,Chandigarh,507.0,31.0,9.0,507.0,0.0,305.0,202.0,0.0,0.0,507.0,,,,,,,,,,,,507.0
1279,23/01/2021,Chandigarh,790.0,38.0,10.0,790.0,0.0,451.0,339.0,0.0,0.0,790.0,,,,,,,,,,,,790.0
1280,24/01/2021,Chandigarh,797.0,41.0,10.0,797.0,0.0,456.0,341.0,0.0,0.0,797.0,,,,,,,,,,,,797.0
1281,25/01/2021,Chandigarh,1172.0,48.0,10.0,1172.0,0.0,650.0,522.0,0.0,0.0,1172.0,,,,,,,,,,,,1172.0
1282,26/01/2021,Chandigarh,1174.0,51.0,12.0,1174.0,0.0,652.0,522.0,0.0,0.0,1174.0,,,,,,,,,,,,1174.0
1283,27/01/2021,Chandigarh,1519.0,63.0,12.0,1519.0,0.0,826.0,693.0,0.0,0.0,1519.0,,,,,,,,,,,,1519.0
1284,28/01/2021,Chandigarh,1821.0,79.0,12.0,1821.0,0.0,980.0,841.0,0.0,0.0,1821.0,,,,,,,,,,,,1821.0
1285,29/01/2021,Chandigarh,1874.0,87.0,12.0,1874.0,0.0,1016.0,858.0,0.0,0.0,1874.0,,,,,,,,,,,,1874.0
1286,30/01/2021,Chandigarh,2206.0,90.0,12.0,2206.0,0.0,1181.0,1025.0,0.0,0.0,2206.0,,,,,,,,,,,,2206.0
1287,31/01/2021,Chandigarh,2217.0,92.0,12.0,2217.0,0.0,1188.0,1029.0,0.0,0.0,2217.0,,,,,,,,,,,,2217.0
1288,01/02/2021,Chandigarh,2390.0,106.0,12.0,2390.0,0.0,1278.0,1112.0,0.0,0.0,2390.0,,,,,,,,,,,,2390.0
1289,02/02/2021,Chandigarh,2492.0,117.0,14.0,2492.0,0.0,1319.0,1173.0,0.0,0.0,2492.0,,,,,,,,,,,,2492.0
1290,03/02/2021,Chandigarh,2808.0,130.0,15.0,2808.0,0.0,1499.0,1309.0,0.0,0.0,2808.0,,,,,,,,,,,,2808.0
1291,04/02/2021,Chandigarh,3150.0,145.0,15.0,3150.0,0.0,1664.0,1486.0,0.0,0.0,3150.0,,,,,,,,,,,,3150.0
1292,05/02/2021,Chandigarh,3511.0,153.0,16.0,3511.0,0.0,1861.0,1650.0,0.0,0.0,3511.0,,,,,,,,,,,,3511.0
1293,06/02/2021,Chandigarh,3858.0,163.0,17.0,3858.0,0.0,2107.0,1751.0,0.0,0.0,3858.0,,,,,,,,,,,,3858.0
1294,07/02/2021,Chandigarh,3858.0,166.0,17.0,3858.0,0.0,2107.0,1751.0,0.0,0.0,3858.0,,,,,,,,,,,,3858.0
