,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
1484,16/01/2021,Chhattisgarh,1040.0,101.0,98.0,1040.0,0.0,525.0,515.0,0.0,0.0,1040.0,,,,,,,,,,,,1040.0
1485,17/01/2021,Chhattisgarh,1040.0,224.0,102.0,1040.0,0.0,525.0,515.0,0.0,0.0,1040.0,,,,,,,,,,,,1040.0
1486,18/01/2021,Chhattisgarh,1656.0,224.0,102.0,1656.0,0.0,726.0,930.0,0.0,0.0,1656.0,,,,,,,,,,,,1656.0
1487,19/01/2021,Chhattisgarh,2014.0,390.0,106.0,2014.0,0.0,867.0,1147.0,0.0,0.0,2014.0,,,,,,,,,,,,2014.0
1488,20/01/2021,Chhattisgarh,3351.0,542.0,112.0,3351.0,0.0,1343.0,2008.0,0.0,0.0,3351.0,,,,,,,,,,,,3351.0
1489,21/01/2021,Chhattisgarh,5752.0,590.0,117.0,5752.0,0.0,2007.0,3745.0,0.0,0.0,5752.0,,,,,,,,,,,,5752.0
1490,22/01/2021,Chhattisgarh,5807.0,680.0,127.0,5807.0,0.0,2034.0,3773.0,0.0,0.0,5807.0,,,,,,,,,,,,5807.0
1491,23/01/2021,Chhattisgarh,12185.0,803.0,175.0,12185.0,0.0,3892.0,8292.0,1.0,0.0,12185.0,,,,,,,,,,,,12185.0
1492,24/01/2021,Chhattisgarh,12506.0,881.0,211.0,12506.0,0.0,4046.0,8459.0,1.0,0.0,12506.0,,,,,,,,,,,,12506.0
1493,25/01/2021,Chhattisgarh,24018.0,1015.0,227.0,24018.0,0.0,7753.0,16264.0,1.0,0.0,24018.0,,,,,,,,,,,,24018.0
1494,26/01/2021,Chhattisgarh,24120.0,1097.0,232.0,24120.0,0.0,7791.0,16328.0,1.0,0.0,24120.0,,,,,,,,,,,,24120.0
