,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
1696,16/01/2021,Dadra and Nagar Haveli and Daman and Diu,23.0,4.0,2.0,23.0,0.0,13.0,10.0,0.0,0.0,23.0,,,,,,,,,,,,23.0
1697,17/01/2021,Dadra and Nagar Haveli and Daman and Diu,23.0,4.0,2.0,23.0,0.0,13.0,10.0,0.0,0.0,23.0,,,,,,,,,,,,23.0
1698,18/01/2021,Dadra and Nagar Haveli and Daman and Diu,15.0,6.0,4.0,15.0,0.0,9.0,6.0,0.0,0.0,15.0,,,,,,,,,,,,15.0
1699,19/01/2021,Dadra and Nagar Haveli and Daman and Diu,31.0,6.0,4.0,31.0,0.0,15.0,16.0,0.0,0.0,31.0,,,,,,,,,,,,31.0
1700,20/01/2021,Dadra and Nagar Haveli and Daman and Diu,31.0,8.0,5.0,31.0,0.0,15.0,16.0,0.0,0.0,31.0,,,,,,,,,,,,31.0
1701,21/01/2021,Dadra and Nagar Haveli and Daman and Diu,78.0,10.0,7.0,78.0,0.0,26.0,52.0,0.0,0.0,78.0,,,,,,,,,,,,78.0
1702,22/01/2021,Dadra and Nagar Haveli and Daman and Diu,113.0,12.0,9.0,113.0,0.0,45.0,68.0,0.0,0.0,113.0,,,,,,,,,,,,113.0
1703,23/01/2021,Dadra and Nagar Haveli and Daman and Diu,280.0,13.0,10.0,280.0,0.0,108.0,172.0,0.0,0.0,280.0,,,,,,,,,,,,280.0
1704,24/01/2021,Dadra and Nagar Haveli and Daman and Diu,312.0,13.0,10.0,312.0,0.0,124.0,188.0,0.0,0.0,312.0,,,,,,,,,,,,312.0
1705,25/01/2021,Dadra and Nagar Haveli and Daman and Diu,362.0,13.0,10.0,362.0,0.0,142.0,220.0,0.0,0.0,362.0,,,,,,,,,,,,362.0
1706,26/01/2021,Dadra and Nagar Haveli and Daman and Diu,362.0,13.0,10.0,362.0,0.0,142.0,220.0,0.0,0.0,362.0,,,,,,,,,,,,362.0
1707,27/01/2021,Dadra and Nagar Haveli and Daman and Diu,404.0,22.0,16.0,404.0,0.0,154.0,250.0,0.0,0.0,404.0,,,,,,,,,,,,404.0
1708,28/01/2021,Dadra and Nagar Haveli and Daman and Diu,559.0,26.0,18.0,559.0,0.0,245.0,314.0,0.0,0.0,559.0,,,,,,,,,,,,559.0
1709,29/01/2021,Dadra and Nagar Haveli and Daman and Diu,706.0,28.0,18.0,706.0,0.0,311.0,395.0,0.0,0.0,706.0,,,,,,,,,,,,706.0
1710,30/01/2021,Dadra and Nagar Haveli and Daman and Diu,852.0,29.0,19.0,852.0,0.0,381.0,471.0,0.0,0.0,852.0,,,,,,,,,,,,852.0
1711,31/01/2021,Dadra and Nagar Haveli and Daman and Diu,856.0,32.0,19.0,856.0,0.0,385.0,471.0,0.0,0.0,856.0,,,,,,,,,,,,856.0
1712,01/02/2021,Dadra and Nagar Haveli and Daman and Diu,1038.0,35.0,19.0,1038.0,0.0,476.0,562.0,0.0,0.0,1038.0,,,,,,,,,,,,1038.0
1713,02/02/2021,Dadra and Nagar Haveli and Daman and Diu,1181.0,49.0,28.0,1181.0,0.0,565.0,616.0,0.0,0.0,1181.0,,,,,,,,,,,,1181.0
1714,03/02/2021,Dadra and Nagar Haveli and Daman and Diu,1421.0,64.0,35.0,1421.0,0.0,651.0,770.0,0.0,0.0,1421.0,,,,,,,,,,,,1421.0
1715,04/02/2021,Dadra and Nagar Haveli and Daman and Diu,1681.0,77.0,35.0,1681.0,0.0,746.0,935.0,0.0,0.0,1681.0,,,,,,,,,,,,1681.0
1716,05/02/2021,Dadra and Nagar Haveli and Daman and Diu,1931.0,97.0,35.0,1931.0,0.0,834.0,1097.0,0.0,0.0,1931.0,,,,,,,,,,,,1931.0
1717,06/02/2021,Dadra and Nagar Haveli and Daman and Diu,2255.0,114.0,35.0,2255.0,0.0,914.0,1341.0,0.0,0.0,2255.0,,,,,,,,,,,,2255.0
1718,07/02/2021,Dadra and Nagar Haveli and Daman and Diu,2255.0,115.0,35.0,2255.0,0.0,914.0,1341.0,0.0,0.0,2255.0,,,,,,,,,,,,2255.0
1719,08/02/2021,Dadra and Nagar Haveli and Daman and Diu,2329.0,121.0,37.0,2329.0,0.0,972.0,1357.0,0.0,0.0,2329.0,,,,,,,,,,,,2329.0
1720,09/02/2021,Dadra and Nagar Haveli and Daman and Diu,2567.0,152.0,49.0,2567.0,0.0,1160.0,1407.0,0.0,0.0,2567.0,,,,,,,,,,,,2567.0
1721,10/02/2021,Dadra and Nagar Haveli and Daman and Diu,3309.0,176.0,49.0,3309.0,0.0,1509.0,1800.0,0.0,0.0,3309.0,,,,,,,,,,,,3309.0
1722,11/02/2021,Dadra and Nagar Haveli and Daman and Diu,3672.0,200.0,49.0,3672.0,0.0,1691.0,1981.0,0.0,0.0,3672.0,,,,,,,,,,,,3672.0
1723,12/02/2021,Dadra and Nagar Haveli and Daman and Diu,3931.0,222.0,49.0,3931.0,0.0,1817.0,2114.0,0.0,0.0,3931.0,,,,,,,,,,,,3931.0
1724,13/02/2021,Dadra and Nagar Haveli and Daman and Diu,4131.0,249.0,49.0,4060.0,71.0,1878.0,2182.0,0.0,0.0,4060.0,,,,,,,,,,,,4060.0
1725,14/02/2021,Dadra and Nagar Haveli and Daman and Diu,4131.0,249.0,49.0,4060.0,71.0,1878.0,2182.0,0.0,0.0,4060.0,,,,,,,,,,,,4060.0
1726,15/02/2021,Dadra and Nagar Haveli and Daman and Diu,4425.0,269.0,49.0,4347.0,78.0,2042.0,2305.0,0.0,0.0,4347.0,,,,,,,,,,,,4347.0
