,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
1908,16/01/2021,Delhi,892.0,91.0,81.0,892.0,0.0,525.0,367.0,0.0,33.0,859.0,,,,,,,,,,,,892.0
1909,17/01/2021,Delhi,1005.0,288.0,81.0,1005.0,0.0,603.0,402.0,0.0,36.0,969.0,,,,,,,,,,,,1005.0
1910,18/01/2021,Delhi,1366.0,347.0,82.0,1366.0,0.0,840.0,526.0,0.0,46.0,1320.0,,,,,,,,,,,,1366.0
1911,19/01/2021,Delhi,3041.0,357.0,83.0,3041.0,0.0,1837.0,1204.0,0.0,164.0,2877.0,,,,,,,,,,,,3041.0
1912,20/01/2021,Delhi,3041.0,456.0,84.0,3041.0,0.0,1837.0,1204.0,0.0,164.0,2877.0,,,,,,,,,,,,3041.0
1913,21/01/2021,Delhi,5308.0,528.0,84.0,5308.0,0.0,2975.0,2333.0,0.0,264.0,5044.0,,,,,,,,,,,,5308.0
1914,22/01/2021,Delhi,5331.0,562.0,84.0,5331.0,0.0,2994.0,2337.0,0.0,264.0,5067.0,,,,,,,,,,,,5331.0
1915,23/01/2021,Delhi,12312.0,638.0,84.0,12312.0,0.0,6644.0,5668.0,0.0,550.0,11762.0,,,,,,,,,,,,12312.0
1916,24/01/2021,Delhi,12614.0,648.0,84.0,12614.0,0.0,6808.0,5806.0,0.0,558.0,12056.0,,,,,,,,,,,,12614.0
1917,25/01/2021,Delhi,20373.0,690.0,84.0,20373.0,0.0,10941.0,9432.0,0.0,983.0,19390.0,,,,,,,,,,,,20373.0
1918,26/01/2021,Delhi,20427.0,745.0,88.0,20427.0,0.0,10958.0,9469.0,0.0,983.0,19444.0,,,,,,,,,,,,20427.0
1919,27/01/2021,Delhi,27603.0,859.0,109.0,27603.0,0.0,14895.0,12708.0,0.0,1334.0,26269.0,,,,,,,,,,,,27603.0
1920,28/01/2021,Delhi,35881.0,961.0,109.0,35881.0,0.0,19361.0,16520.0,0.0,1785.0,34096.0,,,,,,,,,,,,35881.0
1921,29/01/2021,Delhi,35937.0,1022.0,109.0,35937.0,0.0,19388.0,16549.0,0.0,1787.0,34150.0,,,,,,,,,,,,35937.0
1922,30/01/2021,Delhi,44758.0,1078.0,111.0,44758.0,0.0,23969.0,20789.0,0.0,2174.0,42584.0,,,,,,,,,,,,44758.0
1923,31/01/2021,Delhi,44840.0,1119.0,111.0,44840.0,0.0,24023.0,20817.0,0.0,2176.0,42664.0,,,,,,,,,,,,44840.0
