,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
2121,16/01/2021,Goa,50.0,7.0,7.0,50.0,0.0,16.0,34.0,0.0,0.0,50.0,,,,,,,,,,,,50.0
2122,17/01/2021,Goa,50.0,10.0,7.0,50.0,0.0,16.0,34.0,0.0,0.0,50.0,,,,,,,,,,,,50.0
2123,18/01/2021,Goa,47.0,20.0,8.0,47.0,0.0,20.0,27.0,0.0,0.0,47.0,,,,,,,,,,,,47.0
2124,19/01/2021,Goa,72.0,32.0,15.0,72.0,0.0,26.0,46.0,0.0,0.0,72.0,,,,,,,,,,,,72.0
2125,20/01/2021,Goa,72.0,38.0,20.0,72.0,0.0,26.0,46.0,0.0,0.0,72.0,,,,,,,,,,,,72.0
2126,21/01/2021,Goa,72.0,41.0,22.0,72.0,0.0,26.0,46.0,0.0,0.0,72.0,,,,,,,,,,,,72.0
2127,22/01/2021,Goa,300.0,44.0,24.0,300.0,0.0,133.0,167.0,0.0,0.0,300.0,,,,,,,,,,,,300.0
2128,23/01/2021,Goa,971.0,47.0,24.0,971.0,0.0,394.0,577.0,0.0,0.0,971.0,,,,,,,,,,,,971.0
2129,24/01/2021,Goa,1033.0,55.0,26.0,1033.0,0.0,412.0,621.0,0.0,0.0,1033.0,,,,,,,,,,,,1033.0
2130,25/01/2021,Goa,1285.0,68.0,37.0,1285.0,0.0,491.0,794.0,0.0,0.0,1285.0,,,,,,,,,,,,1285.0
2131,26/01/2021,Goa,1290.0,70.0,39.0,1290.0,0.0,494.0,796.0,0.0,0.0,1290.0,,,,,,,,,,,,1290.0
2132,27/01/2021,Goa,1844.0,72.0,39.0,1844.0,0.0,684.0,1160.0,0.0,0.0,1844.0,,,,,,,,,,,,1844.0
2133,28/01/2021,Goa,2394.0,77.0,41.0,2394.0,0.0,890.0,1504.0,0.0,0.0,2394.0,,,,,,,,,,,,2394.0
2134,29/01/2021,Goa,2752.0,82.0,43.0,2752.0,0.0,1033.0,1719.0,0.0,0.0,2752.0,,,,,,,,,,,,2752.0
2135,30/01/2021,Goa,3464.0,90.0,46.0,3464.0,0.0,1329.0,2135.0,0.0,0.0,3464.0,,,,,,,,,,,,3464.0
2136,31/01/2021,Goa,3466.0,103.0,50.0,3466.0,0.0,1330.0,2136.0,0.0,0.0,3466.0,,,,,,,,,,,,3466.0
2137,01/02/2021,Goa,3860.0,119.0,60.0,3860.0,0.0,1457.0,2403.0,0.0,0.0,3860.0,,,,,,,,,,,,3860.0
2138,02/02/2021,Goa,4720.0,148.0,77.0,4720.0,0.0,1759.0,2961.0,0.0,0.0,4720.0,,,,,,,,,,,,4720.0
2139,03/02/2021,Goa,5582.0,158.0,80.0,5582.0,0.0,2045.0,3537.0,0.0,0.0,5582.0,,,,,,,,,,,,5582.0
2140,04/02/2021,Goa,6532.0,173.0,83.0,6532.0,0.0,2339.0,4193.0,0.0,0.0,6532.0,,,,,,,,,,,,6532.0
2141,05/02/2021,Goa,7195.0,173.0,83.0,7195.0,0.0,2499.0,4696.0,0.0,0.0,7195.0,,,,,,,,,,,,7195.0
2142,06/02/2021,Goa,7460.0,182.0,86.0,7460.0,0.0,2574.0,4886.0,0.0,0.0,7460.0,,,,,,,,,,,,7460.0
2143,07/02/2021,Goa,7462.0,189.0,89.0,7462.0,0.0,2576.0,4886.0,0.0,0.0,7462.0,,,,,,,,,,,,7462.0
2144,08/02/2021,Goa,7800.0,200.0,95.0,7800.0,0.0,2709.0,5091.0,0.0,0.0,7800.0,,,,,,,,,,,,7800.0
2145,09/02/2021,Goa,8607.0,214.0,106.0,8607.0,0.0,3244.0,5363.0,0.0,0.0,8607.0,,,,,,,,,,,,8607.0
2146,10/02/2021,Goa,9656.0,272.0,115.0,9656.0,0.0,3999.0,5657.0,0.0,1.0,9655.0,,,,,,,,,,,,9656.0
2147,11/02/2021,Goa,11086.0,318.0,128.0,11086.0,0.0,4828.0,6258.0,0.0,1.0,11085.0,,,,,,,,,,,,11086.0
2148,12/02/2021,Goa,12743.0,357.0,129.0,12743.0,0.0,5815.0,6928.0,0.0,1.0,12742.0,,,,,,,,,,,,12743.0
2149,13/02/2021,Goa,13586.0,399.0,131.0,13277.0,309.0,6107.0,7170.0,0.0,1.0,13276.0,,,,,,,,,,,,13277.0
2150,14/02/2021,Goa,13586.0,401.0,131.0,13277.0,309.0,6107.0,7170.0,0.0,1.0,13276.0,,,,,,,,,,,,13277.0
2151,15/02/2021,Goa,14279.0,419.0,133.0,13942.0,337.0,6664.0,7278.0,0.0,1.0,13941.0,,,,,,,,,,,,13942.0
2152,16/02/2021,Goa,14463.0,443.0,134.0,14123.0,340.0,6820.0,7303.0,0.0,1.0,14122.0,,,,,,,,,,,,14123.0
2153,17/02/2021,Goa,15040.0,481.0,136.0,14700.0,340.0,7305.0,7395.0,0.0,1.0,14699.0,,,,,,,,,,,,14700.0
2154,18/02/2021,Goa,14303.0,507.0,136.0,13960.0,343.0,7042.0,6918.0,0.0,1.0,13959.0,,,,,,,,,,,,13960.0
2155,19/02/2021,Goa,16002.0,541.0,137.0,15417.0,585.0,7738.0,7679.0,0.0,1.0,15416.0,,,,,,,,,,,,15417.0
2156,20/02/2021,Goa,17395.0,543.0,138.0,16122.0,1273.0,7989.0,8133.0,0.0,1.0,16121.0,,,,,,,,,,,,16122.0
2157,21/02/2021,Goa,17395.0,559.0,141.0,16122.0,1273.0,7989.0,8133.0,0.0,1.0,16121.0,,,,,,,,,,,,16122.0
2158,22/02/2021,Goa,18143.0,603.0,142.0,16651.0,1492.0,8366.0,8285.0,0.0,1.0,16650.0,,,,,,,,,,,,16651.0
2159,23/02/2021,Goa,18419.0,647.0,150.0,16916.0,1503.0,8577.0,8339.0,0.0,1.0,16915.0,,,,,,,,,,,,16916.0
2160,24/02/2021,Goa,19851.0,686.0,150.0,17881.0,1970.0,9302.0,8579.0,0.0,1.0,17880.0,,,,,,,,,,,,17881.0
2161,25/02/2021,Goa,21121.0,707.0,150.0,18693.0,2428.0,9832.0,8861.0,0.0,1.0,18692.0,,,,,,,,,,,,18693.0
2162,26/02/2021,Goa,22620.0,726.0,150.0,19870.0,2750.0,10761.0,9109.0,0.0,1.0,19869.0,,,,,,,,,,,,19870.0
2163,27/02/2021,Goa,22620.0,726.0,150.0,19870.0,2750.0,10761.0,9109.0,0.0,1.0,19869.0,,,,,,,,,,,,19870.0
2164,28/02/2021,Goa,22620.0,758.0,152.0,19870.0,2750.0,10761.0,9109.0,0.0,1.0,19869.0,,,,,,,,,,,,19870.0
2165,01/03/2021,Goa,22620.0,856.0,153.0,19870.0,2750.0,10761.0,9109.0,0.0,1.0,19869.0,,,,,,,,,,,,19870.0
2166,02/03/2021,Goa,27005.0,968.0,157.0,23398.0,3607.0,12713.0,10685.0,0.0,1.0,23397.0,,,,,,,,,,,,23398.0
2167,03/03/2021,Goa,31430.0,1112.0,167.0,26860.0,4570.0,14607.0,12253.0,0.0,1.0,26859.0,,,,,,,,,,,,26860.0
2168,04/03/2021,Goa,36170.0,1258.0,178.0,30673.0,5497.0,16654.0,14019.0,0.0,1.0,30672.0,,,,,,,,,,,,30673.0
2169,05/03/2021,Goa,40430.0,1458.0,178.0,34005.0,6425.0,18296.0,15709.0,0.0,1.0,34004.0,,,,,,,,,,,,34005.0
2170,06/03/2021,Goa,43800.0,1507.0,178.0,36894.0,6906.0,19685.0,17209.0,0.0,1.0,36893.0,,,,,,,,,,,,36894.0
2171,07/03/2021,Goa,43808.0,1532.0,184.0,36902.0,6906.0,19686.0,17216.0,0.0,1.0,36901.0,,,,,,,,,,,,36902.0
