,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
2333,16/01/2021,Gujarat,1146.0,107.0,95.0,1146.0,0.0,592.0,554.0,0.0,7.0,1139.0,,,,,,,,,,,,1146.0
2334,17/01/2021,Gujarat,2313.0,351.0,189.0,2313.0,0.0,1118.0,1195.0,0.0,14.0,2299.0,,,,,,,,,,,,2313.0
2335,18/01/2021,Gujarat,2182.0,598.0,287.0,2182.0,0.0,1071.0,1111.0,0.0,15.0,2167.0,,,,,,,,,,,,2182.0
2336,19/01/2021,Gujarat,4842.0,700.0,313.0,4842.0,0.0,2412.0,2430.0,0.0,15.0,4827.0,,,,,,,,,,,,4842.0
2337,20/01/2021,Gujarat,4877.0,932.0,409.0,4877.0,0.0,2426.0,2451.0,0.0,18.0,4859.0,,,,,,,,,,,,4877.0
2338,21/01/2021,Gujarat,8350.0,1125.0,501.0,8350.0,0.0,4124.0,4226.0,0.0,23.0,8327.0,,,,,,,,,,,,8350.0
2339,22/01/2021,Gujarat,13183.0,1622.0,854.0,13183.0,0.0,6335.0,6848.0,0.0,27.0,13156.0,,,,,,,,,,,,13183.0
2340,23/01/2021,Gujarat,44873.0,1724.0,891.0,44873.0,0.0,18980.0,25892.0,1.0,31.0,44842.0,,,,,,,,,,,,44873.0
2341,24/01/2021,Gujarat,46456.0,1901.0,965.0,46456.0,0.0,19727.0,26728.0,1.0,33.0,46423.0,,,,,,,,,,,,46456.0
2342,25/01/2021,Gujarat,62496.0,2019.0,1005.0,62496.0,0.0,26549.0,35944.0,3.0,35.0,62461.0,,,,,,,,,,,,62496.0
2343,26/01/2021,Gujarat,62729.0,2188.0,1094.0,62729.0,0.0,26666.0,36060.0,3.0,38.0,62691.0,,,,,,,,,,,,62729.0
2344,27/01/2021,Gujarat,68817.0,3411.0,1859.0,68817.0,0.0,29135.0,39679.0,3.0,36.0,68781.0,,,,,,,,,,,,68817.0
2345,28/01/2021,Gujarat,132621.0,4847.0,2411.0,132621.0,0.0,51456.0,81152.0,13.0,71.0,132550.0,,,,,,,,,,,,132621.0
2346,29/01/2021,Gujarat,187038.0,5520.0,2523.0,187038.0,0.0,68265.0,118753.0,20.0,77.0,186961.0,,,,,,,,,,,,187038.0
