,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
2545,16/01/2021,Haryana,1864.0,97.0,82.0,1864.0,0.0,1020.0,844.0,0.0,113.0,1751.0,,,,,,,,,,,,1864.0
2546,17/01/2021,Haryana,2069.0,299.0,208.0,2069.0,0.0,1142.0,927.0,0.0,113.0,1956.0,,,,,,,,,,,,2069.0
2547,18/01/2021,Haryana,5360.0,448.0,294.0,5360.0,0.0,2754.0,2606.0,0.0,231.0,5129.0,,,,,,,,,,,,5360.0
2548,19/01/2021,Haryana,11728.0,617.0,396.0,11728.0,0.0,5591.0,6136.0,1.0,514.0,11214.0,,,,,,,,,,,,11728.0
2549,20/01/2021,Haryana,12354.0,869.0,533.0,12354.0,0.0,5942.0,6411.0,1.0,531.0,11823.0,,,,,,,,,,,,12354.0
2550,21/01/2021,Haryana,21411.0,1109.0,645.0,21411.0,0.0,9796.0,11614.0,1.0,758.0,20653.0,,,,,,,,,,,,21411.0
2551,22/01/2021,Haryana,33730.0,1403.0,776.0,33730.0,0.0,15011.0,18718.0,1.0,1254.0,32476.0,,,,,,,,,,,,33730.0
2552,23/01/2021,Haryana,43350.0,1747.0,884.0,43350.0,0.0,19252.0,24097.0,1.0,1518.0,41832.0,,,,,,,,,,,,43350.0
2553,24/01/2021,Haryana,44934.0,2087.0,996.0,44934.0,0.0,20157.0,24776.0,1.0,1772.0,43162.0,,,,,,,,,,,,44934.0
2554,25/01/2021,Haryana,72277.0,2116.0,1004.0,72277.0,0.0,30651.0,41624.0,2.0,2897.0,69380.0,,,,,,,,,,,,72277.0
2555,26/01/2021,Haryana,72583.0,2205.0,1030.0,72583.0,0.0,30820.0,41761.0,2.0,2898.0,69685.0,,,,,,,,,,,,72583.0
2556,27/01/2021,Haryana,80541.0,2445.0,1070.0,80541.0,0.0,34538.0,46000.0,3.0,3093.0,77448.0,,,,,,,,,,,,80541.0
2557,28/01/2021,Haryana,87153.0,2859.0,1107.0,87153.0,0.0,37407.0,49743.0,3.0,3377.0,83776.0,,,,,,,,,,,,87153.0
2558,29/01/2021,Haryana,92685.0,2986.0,1120.0,92685.0,0.0,39565.0,53117.0,3.0,3497.0,89188.0,,,,,,,,,,,,92685.0
2559,30/01/2021,Haryana,95143.0,3013.0,1122.0,95143.0,0.0,40758.0,54382.0,3.0,3566.0,91577.0,,,,,,,,,,,,95143.0
2560,31/01/2021,Haryana,95245.0,3038.0,1124.0,95245.0,0.0,40836.0,54406.0,3.0,3566.0,91679.0,,,,,,,,,,,,95245.0
2561,01/02/2021,Haryana,96304.0,3067.0,1125.0,96304.0,0.0,41457.0,54844.0,3.0,3567.0,92737.0,,,,,,,,,,,,96304.0
2562,02/02/2021,Haryana,97213.0,3169.0,1130.0,97213.0,0.0,41900.0,55310.0,3.0,3567.0,93646.0,,,,,,,,,,,,97213.0
2563,03/02/2021,Haryana,99192.0,3398.0,1163.0,99192.0,0.0,42764.0,56425.0,3.0,3636.0,95556.0,,,,,,,,,,,,99192.0
2564,04/02/2021,Haryana,103334.0,3539.0,1190.0,103334.0,0.0,44699.0,58632.0,3.0,3827.0,99507.0,,,,,,,,,,,,103334.0
2565,05/02/2021,Haryana,107280.0,3695.0,1225.0,107280.0,0.0,47361.0,59915.0,4.0,3853.0,103427.0,,,,,,,,,,,,107280.0
2566,06/02/2021,Haryana,108966.0,3890.0,1284.0,108966.0,0.0,48582.0,60380.0,4.0,4114.0,104852.0,,,,,,,,,,,,108966.0
2567,07/02/2021,Haryana,110591.0,4140.0,1361.0,110591.0,0.0,49498.0,61089.0,4.0,4410.0,106181.0,,,,,,,,,,,,110591.0
2568,08/02/2021,Haryana,140415.0,4261.0,1385.0,140415.0,0.0,71963.0,68448.0,4.0,11300.0,129115.0,,,,,,,,,,,,140415.0
