,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
2757,16/01/2021,Himachal Pradesh,202.0,34.0,30.0,202.0,0.0,116.0,86.0,0.0,0.0,202.0,,,,,,,,,,,,202.0
2758,17/01/2021,Himachal Pradesh,202.0,123.0,89.0,202.0,0.0,116.0,86.0,0.0,0.0,202.0,,,,,,,,,,,,202.0
2759,18/01/2021,Himachal Pradesh,352.0,137.0,91.0,352.0,0.0,178.0,174.0,0.0,0.0,352.0,,,,,,,,,,,,352.0
2760,19/01/2021,Himachal Pradesh,448.0,139.0,91.0,448.0,0.0,225.0,223.0,0.0,0.0,448.0,,,,,,,,,,,,448.0
2761,20/01/2021,Himachal Pradesh,448.0,198.0,119.0,448.0,0.0,225.0,223.0,0.0,0.0,448.0,,,,,,,,,,,,448.0
2762,21/01/2021,Himachal Pradesh,610.0,274.0,160.0,610.0,0.0,272.0,338.0,0.0,0.0,610.0,,,,,,,,,,,,610.0
2763,22/01/2021,Himachal Pradesh,1427.0,338.0,196.0,1427.0,0.0,509.0,918.0,0.0,0.0,1427.0,,,,,,,,,,,,1427.0
2764,23/01/2021,Himachal Pradesh,5396.0,362.0,207.0,5396.0,0.0,1479.0,3917.0,0.0,0.0,5396.0,,,,,,,,,,,,5396.0
2765,24/01/2021,Himachal Pradesh,5594.0,401.0,223.0,5594.0,0.0,1558.0,4036.0,0.0,0.0,5594.0,,,,,,,,,,,,5594.0
2766,25/01/2021,Himachal Pradesh,6104.0,414.0,231.0,6104.0,0.0,1704.0,4400.0,0.0,0.0,6104.0,,,,,,,,,,,,6104.0
2767,26/01/2021,Himachal Pradesh,6188.0,440.0,241.0,6188.0,0.0,1722.0,4466.0,0.0,0.0,6188.0,,,,,,,,,,,,6188.0
2768,27/01/2021,Himachal Pradesh,8859.0,511.0,279.0,8859.0,0.0,2359.0,6500.0,0.0,0.0,8859.0,,,,,,,,,,,,8859.0
2769,28/01/2021,Himachal Pradesh,13883.0,565.0,302.0,13883.0,0.0,3429.0,10454.0,0.0,0.0,13883.0,,,,,,,,,,,,13883.0
2770,29/01/2021,Himachal Pradesh,17978.0,615.0,324.0,17978.0,0.0,4384.0,13594.0,0.0,0.0,17978.0,,,,,,,,,,,,17978.0
2771,30/01/2021,Himachal Pradesh,22787.0,673.0,346.0,22787.0,0.0,5461.0,17326.0,0.0,0.0,22787.0,,,,,,,,,,,,22787.0
2772,31/01/2021,Himachal Pradesh,22798.0,769.0,374.0,22798.0,0.0,5468.0,17330.0,0.0,0.0,22798.0,,,,,,,,,,,,22798.0
2773,01/02/2021,Himachal Pradesh,28464.0,889.0,410.0,28464.0,0.0,6948.0,21516.0,0.0,0.0,28464.0,,,,,,,,,,,,28464.0
2774,02/02/2021,Himachal Pradesh,34218.0,978.0,435.0,34218.0,0.0,8276.0,25942.0,0.0,0.0,34218.0,,,,,,,,,,,,34218.0
2775,03/02/2021,Himachal Pradesh,38734.0,1124.0,463.0,38734.0,0.0,9306.0,29428.0,0.0,0.0,38734.0,,,,,,,,,,,,38734.0
2776,04/02/2021,Himachal Pradesh,43053.0,1201.0,472.0,43053.0,0.0,10466.0,32587.0,0.0,0.0,43053.0,,,,,,,,,,,,43053.0
2777,05/02/2021,Himachal Pradesh,46401.0,1299.0,474.0,46401.0,0.0,11189.0,35212.0,0.0,1.0,46400.0,,,,,,,,,,,,46401.0
2778,06/02/2021,Himachal Pradesh,49335.0,1356.0,483.0,49335.0,0.0,11862.0,37473.0,0.0,1.0,49334.0,,,,,,,,,,,,49335.0
2779,07/02/2021,Himachal Pradesh,49338.0,1419.0,489.0,49338.0,0.0,11865.0,37473.0,0.0,1.0,49337.0,,,,,,,,,,,,49338.0
2780,08/02/2021,Himachal Pradesh,52715.0,1536.0,501.0,52715.0,0.0,12734.0,39981.0,0.0,3.0,52712.0,,,,,,,,,,,,52715.0
2781,09/02/2021,Himachal Pradesh,56021.0,1654.0,551.0,56021.0,0.0,13635.0,42386.0,0.0,26.0,55995.0,,,,,,,,,,,,56021.0
2782,10/02/2021,Himachal Pradesh,60848.0,1780.0,590.0,60848.0,0.0,17873.0,42975.0,0.0,26.0,60822.0,,,,,,,,,,,,60848.0
2783,11/02/2021,Himachal Pradesh,66825.0,1966.0,625.0,66825.0,0.0,23028.0,43797.0,0.0,33.0,66792.0,,,,,,,,,,,,66825.0
2784,12/02/2021,Himachal Pradesh,73945.0,2033.0,642.0,73945.0,0.0,28307.0,45637.0,1.0,33.0,73912.0,,,,,,,,,,,,73945.0
2785,13/02/2021,Himachal Pradesh,77192.0,2050.0,642.0,76743.0,449.0,30571.0,46171.0,1.0,33.0,76710.0,,,,,,,,,,,,76743.0
2786,14/02/2021,Himachal Pradesh,77192.0,2097.0,645.0,76743.0,449.0,30571.0,46171.0,1.0,33.0,76710.0,,,,,,,,,,,,76743.0
2787,15/02/2021,Himachal Pradesh,80952.0,2179.0,664.0,79084.0,1868.0,31950.0,47133.0,1.0,33.0,79051.0,,,,,,,,,,,,79084.0
2788,16/02/2021,Himachal Pradesh,84718.0,2292.0,687.0,81911.0,2807.0,33749.0,48161.0,1.0,33.0,81878.0,,,,,,,,,,,,81911.0
2789,17/02/2021,Himachal Pradesh,90616.0,2444.0,704.0,86419.0,4197.0,36754.0,49664.0,1.0,33.0,86386.0,,,,,,,,,,,,86419.0
2790,18/02/2021,Himachal Pradesh,88620.0,2581.0,707.0,83703.0,4917.0,38026.0,45676.0,1.0,34.0,83669.0,,,,,,,,,,,,83703.0
2791,19/02/2021,Himachal Pradesh,100648.0,2682.0,717.0,92440.0,8208.0,41173.0,51266.0,1.0,34.0,92406.0,,,,,,,,,,,,92440.0
2792,20/02/2021,Himachal Pradesh,106400.0,2761.0,724.0,94569.0,11831.0,42838.0,51730.0,1.0,38.0,94531.0,,,,,,,,,,,,94569.0
2793,21/02/2021,Himachal Pradesh,106629.0,2794.0,725.0,94796.0,11833.0,43038.0,51757.0,1.0,38.0,94758.0,,,,,,,,,,,,94796.0
2794,22/02/2021,Himachal Pradesh,108120.0,2894.0,728.0,96044.0,12076.0,43966.0,52077.0,1.0,44.0,96000.0,,,,,,,,,,,,96044.0
2795,23/02/2021,Himachal Pradesh,109590.0,2989.0,736.0,97252.0,12338.0,44936.0,52315.0,1.0,46.0,97206.0,,,,,,,,,,,,97252.0
2796,24/02/2021,Himachal Pradesh,110920.0,3114.0,746.0,98414.0,12506.0,45788.0,52625.0,1.0,49.0,98365.0,,,,,,,,,,,,98414.0
2797,25/02/2021,Himachal Pradesh,116818.0,3222.0,748.0,100164.0,16654.0,46867.0,53296.0,1.0,51.0,100113.0,,,,,,,,,,,,100164.0
2798,26/02/2021,Himachal Pradesh,121420.0,3247.0,748.0,100927.0,20493.0,47488.0,53438.0,1.0,59.0,100868.0,,,,,,,,,,,,100927.0
