,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
2969,16/01/2021,Jammu and Kashmir,377.0,38.0,37.0,377.0,0.0,236.0,141.0,0.0,0.0,377.0,,,,,,,,,,,,377.0
2970,17/01/2021,Jammu and Kashmir,421.0,101.0,40.0,421.0,0.0,268.0,153.0,0.0,0.0,421.0,,,,,,,,,,,,421.0
2971,18/01/2021,Jammu and Kashmir,672.0,186.0,45.0,672.0,0.0,398.0,274.0,0.0,0.0,672.0,,,,,,,,,,,,672.0
2972,19/01/2021,Jammu and Kashmir,1369.0,242.0,55.0,1369.0,0.0,768.0,601.0,0.0,0.0,1369.0,,,,,,,,,,,,1369.0
2973,20/01/2021,Jammu and Kashmir,1369.0,322.0,76.0,1369.0,0.0,768.0,601.0,0.0,0.0,1369.0,,,,,,,,,,,,1369.0
2974,21/01/2021,Jammu and Kashmir,2296.0,412.0,91.0,2296.0,0.0,1373.0,923.0,0.0,0.0,2296.0,,,,,,,,,,,,2296.0
2975,22/01/2021,Jammu and Kashmir,3807.0,500.0,105.0,3807.0,0.0,2064.0,1743.0,0.0,0.0,3807.0,,,,,,,,,,,,3807.0
2976,23/01/2021,Jammu and Kashmir,5593.0,544.0,126.0,5593.0,0.0,2917.0,2676.0,0.0,0.0,5593.0,,,,,,,,,,,,5593.0
2977,24/01/2021,Jammu and Kashmir,5893.0,630.0,155.0,5893.0,0.0,3071.0,2822.0,0.0,0.0,5893.0,,,,,,,,,,,,5893.0
2978,25/01/2021,Jammu and Kashmir,10498.0,649.0,160.0,10498.0,0.0,5113.0,5384.0,1.0,0.0,10498.0,,,,,,,,,,,,10498.0
2979,26/01/2021,Jammu and Kashmir,10626.0,693.0,171.0,10626.0,0.0,5175.0,5450.0,1.0,0.0,10626.0,,,,,,,,,,,,10626.0
2980,27/01/2021,Jammu and Kashmir,11562.0,843.0,219.0,11562.0,0.0,5649.0,5912.0,1.0,0.0,11562.0,,,,,,,,,,,,11562.0
2981,28/01/2021,Jammu and Kashmir,17280.0,1021.0,243.0,17280.0,0.0,7905.0,9373.0,2.0,0.0,17280.0,,,,,,,,,,,,17280.0
2982,29/01/2021,Jammu and Kashmir,21124.0,1026.0,243.0,21124.0,0.0,9333.0,11787.0,4.0,0.0,21124.0,,,,,,,,,,,,21124.0
2983,30/01/2021,Jammu and Kashmir,21261.0,1039.0,243.0,21261.0,0.0,9408.0,11849.0,4.0,0.0,21261.0,,,,,,,,,,,,21261.0
2984,31/01/2021,Jammu and Kashmir,21268.0,1053.0,247.0,21268.0,0.0,9411.0,11853.0,4.0,0.0,21268.0,,,,,,,,,,,,21268.0
2985,01/02/2021,Jammu and Kashmir,21322.0,1081.0,250.0,21322.0,0.0,9440.0,11878.0,4.0,0.0,21322.0,,,,,,,,,,,,21322.0
2986,02/02/2021,Jammu and Kashmir,21352.0,1203.0,278.0,21352.0,0.0,9448.0,11900.0,4.0,0.0,21352.0,,,,,,,,,,,,21352.0
2987,03/02/2021,Jammu and Kashmir,21478.0,1406.0,356.0,21478.0,0.0,9499.0,11975.0,4.0,0.0,21478.0,,,,,,,,,,,,21478.0
2988,04/02/2021,Jammu and Kashmir,27796.0,1695.0,384.0,27796.0,0.0,12935.0,14856.0,5.0,0.0,27796.0,,,,,,,,,,,,27796.0
2989,05/02/2021,Jammu and Kashmir,33899.0,1923.0,402.0,33899.0,0.0,16780.0,17114.0,5.0,0.0,33899.0,,,,,,,,,,,,33899.0
2990,06/02/2021,Jammu and Kashmir,40909.0,2022.0,408.0,40909.0,0.0,21766.0,19138.0,5.0,0.0,40909.0,,,,,,,,,,,,40909.0
2991,07/02/2021,Jammu and Kashmir,41543.0,2382.0,425.0,41543.0,0.0,22245.0,19293.0,5.0,0.0,41543.0,,,,,,,,,,,,41543.0
2992,08/02/2021,Jammu and Kashmir,51872.0,2619.0,440.0,51872.0,0.0,29785.0,22078.0,9.0,4.0,51868.0,,,,,,,,,,,,51872.0
2993,09/02/2021,Jammu and Kashmir,63529.0,2746.0,443.0,63529.0,0.0,38969.0,24551.0,9.0,12.0,63517.0,,,,,,,,,,,,63529.0
2994,10/02/2021,Jammu and Kashmir,65779.0,3070.0,481.0,65779.0,0.0,40884.0,24886.0,9.0,58.0,65721.0,,,,,,,,,,,,65779.0
2995,11/02/2021,Jammu and Kashmir,83295.0,3397.0,493.0,83295.0,0.0,55476.0,27807.0,12.0,72.0,83223.0,,,,,,,,,,,,83295.0
2996,12/02/2021,Jammu and Kashmir,100823.0,3731.0,510.0,100823.0,0.0,70575.0,30236.0,12.0,218.0,100605.0,,,,,,,,,,,,100823.0
2997,13/02/2021,Jammu and Kashmir,118399.0,3883.0,514.0,117677.0,722.0,85162.0,32503.0,12.0,263.0,117414.0,,,,,,,,,,,,117677.0
2998,14/02/2021,Jammu and Kashmir,119015.0,4291.0,521.0,118293.0,722.0,85660.0,32621.0,12.0,279.0,118014.0,,,,,,,,,,,,118293.0
2999,15/02/2021,Jammu and Kashmir,136032.0,4607.0,529.0,134369.0,1663.0,99398.0,34959.0,12.0,479.0,133890.0,,,,,,,,,,,,134369.0
3000,16/02/2021,Jammu and Kashmir,150271.0,4717.0,542.0,148004.0,2267.0,111111.0,36881.0,12.0,480.0,147524.0,,,,,,,,,,,,148004.0
3001,17/02/2021,Jammu and Kashmir,151145.0,5039.0,552.0,148878.0,2267.0,111815.0,37051.0,12.0,512.0,148366.0,,,,,,,,,,,,148878.0
3002,18/02/2021,Jammu and Kashmir,166429.0,5380.0,557.0,163037.0,3392.0,124729.0,38290.0,18.0,634.0,162403.0,,,,,,,,,,,,163037.0
