,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
3181,16/01/2021,Jharkhand,344.0,60.0,53.0,344.0,0.0,111.0,233.0,0.0,0.0,344.0,,,,,,,,,,,,344.0
3182,17/01/2021,Jharkhand,344.0,136.0,62.0,344.0,0.0,111.0,233.0,0.0,0.0,344.0,,,,,,,,,,,,344.0
3183,18/01/2021,Jharkhand,749.0,263.0,66.0,749.0,0.0,208.0,541.0,0.0,0.0,749.0,,,,,,,,,,,,749.0
3184,19/01/2021,Jharkhand,1455.0,369.0,68.0,1455.0,0.0,418.0,1037.0,0.0,0.0,1455.0,,,,,,,,,,,,1455.0
3185,20/01/2021,Jharkhand,2258.0,412.0,69.0,2258.0,0.0,597.0,1661.0,0.0,0.0,2258.0,,,,,,,,,,,,2258.0
3186,21/01/2021,Jharkhand,2258.0,469.0,73.0,2258.0,0.0,597.0,1661.0,0.0,0.0,2258.0,,,,,,,,,,,,2258.0
3187,22/01/2021,Jharkhand,4023.0,493.0,77.0,4023.0,0.0,998.0,3025.0,0.0,0.0,4023.0,,,,,,,,,,,,4023.0
3188,23/01/2021,Jharkhand,4117.0,586.0,96.0,4117.0,0.0,1030.0,3087.0,0.0,0.0,4117.0,,,,,,,,,,,,4117.0
3189,24/01/2021,Jharkhand,4573.0,644.0,108.0,4573.0,0.0,1145.0,3428.0,0.0,0.0,4573.0,,,,,,,,,,,,4573.0
3190,25/01/2021,Jharkhand,8636.0,679.0,120.0,8636.0,0.0,2171.0,6465.0,0.0,0.0,8636.0,,,,,,,,,,,,8636.0
3191,26/01/2021,Jharkhand,8708.0,715.0,130.0,8708.0,0.0,2184.0,6524.0,0.0,0.0,8708.0,,,,,,,,,,,,8708.0
3192,27/01/2021,Jharkhand,15269.0,812.0,160.0,15269.0,0.0,4002.0,11267.0,0.0,0.0,15269.0,,,,,,,,,,,,15269.0
3193,28/01/2021,Jharkhand,15617.0,988.0,218.0,15617.0,0.0,4176.0,11441.0,0.0,0.0,15617.0,,,,,,,,,,,,15617.0
3194,29/01/2021,Jharkhand,23685.0,1119.0,232.0,23685.0,0.0,6302.0,17383.0,0.0,0.0,23685.0,,,,,,,,,,,,23685.0
3195,30/01/2021,Jharkhand,31477.0,1204.0,241.0,31477.0,0.0,8482.0,22995.0,0.0,0.0,31477.0,,,,,,,,,,,,31477.0
3196,31/01/2021,Jharkhand,31672.0,1390.0,252.0,31672.0,0.0,8597.0,23075.0,0.0,0.0,31672.0,,,,,,,,,,,,31672.0
3197,01/02/2021,Jharkhand,39147.0,1573.0,274.0,39147.0,0.0,10887.0,28260.0,0.0,20.0,39127.0,,,,,,,,,,,,39147.0
3198,02/02/2021,Jharkhand,46900.0,1754.0,295.0,46900.0,0.0,12742.0,34158.0,0.0,139.0,46761.0,,,,,,,,,,,,46900.0
3199,03/02/2021,Jharkhand,58991.0,1975.0,314.0,58991.0,0.0,15756.0,43235.0,0.0,315.0,58676.0,,,,,,,,,,,,58991.0
3200,04/02/2021,Jharkhand,66209.0,2190.0,327.0,66209.0,0.0,19630.0,46579.0,0.0,431.0,65778.0,,,,,,,,,,,,66209.0
