,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
3393,16/01/2021,Karnataka,3810.0,256.0,235.0,3810.0,0.0,1835.0,1975.0,0.0,78.0,3732.0,,,,,,,,,,,,3810.0
3394,17/01/2021,Karnataka,4506.0,1385.0,1139.0,4506.0,0.0,2373.0,2133.0,0.0,82.0,4424.0,,,,,,,,,,,,4506.0
3395,18/01/2021,Karnataka,14755.0,1999.0,1502.0,14755.0,0.0,6122.0,8633.0,0.0,299.0,14456.0,,,,,,,,,,,,14755.0
3396,19/01/2021,Karnataka,25142.0,2788.0,1993.0,25142.0,0.0,10492.0,14649.0,1.0,443.0,24699.0,,,,,,,,,,,,25142.0
3397,20/01/2021,Karnataka,36705.0,3687.0,2517.0,36705.0,0.0,13421.0,23283.0,1.0,547.0,36158.0,,,,,,,,,,,,36705.0
3398,21/01/2021,Karnataka,47344.0,4761.0,3098.0,47344.0,0.0,17664.0,29669.0,11.0,670.0,46674.0,,,,,,,,,,,,47344.0
3399,22/01/2021,Karnataka,77432.0,5156.0,3252.0,77432.0,0.0,26356.0,51065.0,11.0,818.0,76614.0,,,,,,,,,,,,77432.0
3400,23/01/2021,Karnataka,84585.0,5591.0,3435.0,84585.0,0.0,28948.0,55626.0,11.0,842.0,83743.0,,,,,,,,,,,,84585.0
3401,24/01/2021,Karnataka,93426.0,6385.0,3748.0,93426.0,0.0,31342.0,62056.0,28.0,889.0,92537.0,,,,,,,,,,,,93426.0
3402,25/01/2021,Karnataka,138721.0,6782.0,3884.0,138721.0,0.0,43880.0,94811.0,30.0,1186.0,137535.0,,,,,,,,,,,,138721.0
3403,26/01/2021,Karnataka,140856.0,7473.0,4122.0,140856.0,0.0,44244.0,96582.0,30.0,1407.0,139449.0,,,,,,,,,,,,140856.0
3404,27/01/2021,Karnataka,196089.0,8018.0,4235.0,196089.0,0.0,59653.0,136401.0,35.0,2208.0,193881.0,,,,,,,,,,,,196089.0
3405,28/01/2021,Karnataka,215875.0,8574.0,4347.0,215875.0,0.0,67383.0,148457.0,35.0,2738.0,213137.0,,,,,,,,,,,,215875.0
3406,29/01/2021,Karnataka,234619.0,8839.0,4371.0,234619.0,0.0,74482.0,160102.0,35.0,2912.0,231707.0,,,,,,,,,,,,234619.0
3407,30/01/2021,Karnataka,246438.0,8951.0,4391.0,246438.0,0.0,79670.0,166730.0,38.0,3230.0,243208.0,,,,,,,,,,,,246438.0
3408,31/01/2021,Karnataka,247613.0,9027.0,4393.0,247613.0,0.0,80048.0,167527.0,38.0,3237.0,244376.0,,,,,,,,,,,,247613.0
3409,01/02/2021,Karnataka,249931.0,9098.0,4408.0,249931.0,0.0,80913.0,168980.0,38.0,3237.0,246694.0,,,,,,,,,,,,249931.0
3410,02/02/2021,Karnataka,250715.0,9273.0,4455.0,250715.0,0.0,81212.0,169465.0,38.0,3237.0,247478.0,,,,,,,,,,,,250715.0
3411,03/02/2021,Karnataka,251723.0,9830.0,4554.0,251723.0,0.0,81635.0,170050.0,38.0,3237.0,248486.0,,,,,,,,,,,,251723.0
3412,04/02/2021,Karnataka,265577.0,10732.0,4689.0,265577.0,0.0,86565.0,178974.0,38.0,3347.0,262230.0,,,,,,,,,,,,265577.0
3413,05/02/2021,Karnataka,295307.0,11583.0,4794.0,295307.0,0.0,95612.0,199636.0,59.0,3611.0,291696.0,,,,,,,,,,,,295307.0
3414,06/02/2021,Karnataka,321521.0,12094.0,4900.0,321521.0,0.0,103745.0,217707.0,69.0,3960.0,317561.0,,,,,,,,,,,,321521.0
3415,07/02/2021,Karnataka,325554.0,12737.0,5064.0,325554.0,0.0,105648.0,219837.0,69.0,4641.0,320913.0,,,,,,,,,,,,325554.0
3416,08/02/2021,Karnataka,350327.0,13474.0,5173.0,350327.0,0.0,121975.0,228283.0,69.0,4714.0,345613.0,,,,,,,,,,,,350327.0
3417,09/02/2021,Karnataka,379152.0,14071.0,5259.0,379152.0,0.0,142146.0,236937.0,69.0,4754.0,374398.0,,,,,,,,,,,,379152.0
3418,10/02/2021,Karnataka,403105.0,14562.0,5326.0,403105.0,0.0,160426.0,242606.0,73.0,4760.0,398345.0,,,,,,,,,,,,403105.0
3419,11/02/2021,Karnataka,415241.0,15207.0,5443.0,415241.0,0.0,169589.0,245579.0,73.0,4772.0,410469.0,,,,,,,,,,,,415241.0
3420,12/02/2021,Karnataka,430303.0,15543.0,5492.0,430303.0,0.0,179657.0,250572.0,74.0,4782.0,425521.0,,,,,,,,,,,,430303.0
3421,13/02/2021,Karnataka,435685.0,15719.0,5547.0,435670.0,15.0,183096.0,252500.0,74.0,4782.0,430888.0,,,,,,,,,,,,435670.0
3422,14/02/2021,Karnataka,435835.0,16274.0,5560.0,435820.0,15.0,183220.0,252526.0,74.0,4782.0,431038.0,,,,,,,,,,,,435820.0
3423,15/02/2021,Karnataka,462838.0,17101.0,5594.0,451537.0,11301.0,190356.0,261104.0,77.0,5059.0,446478.0,,,,,,,,,,,,451537.0
3424,16/02/2021,Karnataka,501618.0,18099.0,5614.0,473092.0,28526.0,197243.0,275768.0,81.0,5293.0,467799.0,,,,,,,,,,,,473092.0
3425,17/02/2021,Karnataka,560044.0,18868.0,5644.0,505305.0,54739.0,205586.0,299633.0,86.0,5607.0,499698.0,,,,,,,,,,,,505305.0
3426,18/02/2021,Karnataka,537677.0,19974.0,5673.0,472428.0,65249.0,203839.0,268504.0,85.0,5433.0,466995.0,,,,,,,,,,,,472428.0
3427,19/02/2021,Karnataka,637368.0,20768.0,5706.0,535611.0,101757.0,222648.0,312875.0,88.0,5833.0,529778.0,,,,,,,,,,,,535611.0
3428,20/02/2021,Karnataka,663860.0,21643.0,5735.0,546779.0,117081.0,230000.0,316691.0,88.0,5873.0,540906.0,,,,,,,,,,,,546779.0
3429,21/02/2021,Karnataka,665580.0,25428.0,5842.0,547587.0,117993.0,230535.0,316962.0,90.0,5873.0,541714.0,,,,,,,,,,,,547587.0
3430,22/02/2021,Karnataka,705083.0,27219.0,5866.0,560544.0,144539.0,238783.0,321671.0,90.0,5965.0,554579.0,,,,,,,,,,,,560544.0
3431,23/02/2021,Karnataka,738792.0,27768.0,5878.0,575708.0,163084.0,248773.0,326853.0,82.0,6079.0,569629.0,,,,,,,,,,,,575708.0
3432,24/02/2021,Karnataka,777394.0,28762.0,5890.0,592088.0,185306.0,259552.0,332454.0,82.0,6250.0,585838.0,,,,,,,,,,,,592088.0
3433,25/02/2021,Karnataka,802101.0,30150.0,5908.0,601961.0,200140.0,266242.0,335637.0,82.0,6321.0,595640.0,,,,,,,,,,,,601961.0
3434,26/02/2021,Karnataka,833025.0,30377.0,5911.0,611335.0,221690.0,272970.0,338283.0,82.0,6374.0,604961.0,,,,,,,,,,,,611335.0
3435,27/02/2021,Karnataka,833025.0,30377.0,5911.0,611335.0,221690.0,272970.0,338283.0,82.0,6374.0,604961.0,,,,,,,,,,,,611335.0
3436,28/02/2021,Karnataka,833025.0,30421.0,5915.0,611335.0,221690.0,272970.0,338283.0,82.0,6374.0,604961.0,,,,,,,,,,,,611335.0
3437,01/03/2021,Karnataka,833025.0,31389.0,5974.0,611335.0,221690.0,272970.0,338283.0,82.0,6374.0,604961.0,,,,,,,,,,,,611335.0
3438,02/03/2021,Karnataka,845726.0,32414.0,5990.0,621289.0,224437.0,279192.0,342014.0,83.0,6415.0,614874.0,,,,,,,,,,,,621289.0
3439,03/03/2021,Karnataka,860417.0,33347.0,6002.0,633181.0,227236.0,286197.0,346903.0,81.0,6447.0,626734.0,,,,,,,,,,,,633181.0
3440,04/03/2021,Karnataka,875597.0,34949.0,6019.0,645171.0,230426.0,292928.0,352160.0,83.0,6498.0,638673.0,,,,,,,,,,,,645171.0
3441,05/03/2021,Karnataka,897268.0,41281.0,6039.0,661097.0,236171.0,301588.0,359425.0,84.0,6536.0,654561.0,,,,,,,,,,,,661097.0
3442,06/03/2021,Karnataka,923407.0,56159.0,6132.0,678604.0,244803.0,310707.0,367813.0,84.0,6561.0,672043.0,,,,,,,,,,,,678604.0
3443,07/03/2021,Karnataka,925831.0,65298.0,6200.0,680182.0,245649.0,311451.0,368647.0,84.0,6560.0,673622.0,,,,,,,,,,,,680182.0
3444,08/03/2021,Karnataka,994382.0,68505.0,6238.0,729461.0,264921.0,336214.0,393159.0,88.0,6613.0,722848.0,,,,,,,,,,,,729461.0
3445,09/03/2021,Karnataka,788948.0,163150.0,1144.0,511728.0,277220.0,364689.0,424140.0,119.0,7220.0,781675.0,,,,,,,,,,,,788948.0
3446,10/03/2021,Karnataka,879486.0,359585.0,2887.0,581668.0,297818.0,410153.0,469202.0,131.0,7364.0,872069.0,,,,,,,,,,,,879486.0
3447,11/03/2021,Karnataka,895719.0,104812.0,624.0,594042.0,301677.0,418172.0,477414.0,133.0,7364.0,888302.0,,,,,,,,,,,,895719.0
3448,12/03/2021,Karnataka,998460.0,388300.0,3094.0,680155.0,318305.0,471306.0,527012.0,142.0,7523.0,990884.0,,,,,,,,,,,,998460.0
3449,13/03/2021,Karnataka,1048543.0,237140.0,1747.0,723061.0,325482.0,496703.0,551696.0,144.0,7646.0,1040844.0,,,,,,,,,,,,1048543.0
3450,14/03/2021,Karnataka,1067628.0,104350.0,693.0,741104.0,326524.0,505972.0,561510.0,146.0,7673.0,1059902.0,,,,,,,,,,,,1067628.0
3451,15/03/2021,Karnataka,1233619.0,408780.0,3284.0,893702.0,339917.0,588259.0,645203.0,157.0,9180.0,1224386.0,,,,,,,,,,,,1233619.0
3452,16/03/2021,Karnataka,1621831.0,274440.0,2057.0,1271286.0,350545.0,608554.0,662594.0,138.0,16074.0,1605757.0,,2298.0,,,,449054.0,369813.0,451073.0,,,,1271286.0
3453,17/03/2021,Karnataka,2013637.0,427880.0,3444.0,1649513.0,364124.0,792662.0,856669.0,182.0,21237.0,1992400.0,,2306.0,,,,460322.0,444273.0,743513.0,,,,1649513.0
3454,18/03/2021,Karnataka,2124428.0,268930.0,1958.0,1752016.0,372412.0,842262.0,909560.0,194.0,28245.0,2096183.0,,2311.0,,,,467911.0,472520.0,810161.0,,,,1752016.0
3455,19/03/2021,Karnataka,2371563.0,443280.0,3548.0,1987433.0,384130.0,952427.0,1034791.0,215.0,40560.0,2331003.0,,2320.0,,,,479656.0,532481.0,973825.0,,,,1987433.0
3456,20/03/2021,Karnataka,2578280.0,451230.0,3671.0,2182510.0,395770.0,1044384.0,1137892.0,234.0,66464.0,2511816.0,,2328.0,,,,491694.0,588747.0,1100582.0,,,,2182510.0
3457,21/03/2021,Karnataka,2611299.0,144950.0,1097.0,2214176.0,397123.0,1059302.0,1154634.0,240.0,71413.0,2539886.0,,2337.0,,,,494055.0,599127.0,1119499.0,,,,2214176.0
3458,22/03/2021,Karnataka,2806130.0,484730.0,3936.0,2399962.0,406168.0,1144372.0,1255328.0,262.0,110840.0,2695290.0,,2342.0,,,,501768.0,647975.0,1248698.0,,,,2399962.0
3459,23/03/2021,Karnataka,2954336.0,375880.0,2994.0,2539195.0,415141.0,1209220.0,1329701.0,274.0,161808.0,2792528.0,,2344.0,,,,511092.0,691509.0,1335057.0,,,,2539195.0
3460,24/03/2021,Karnataka,3140034.0,514570.0,4255.0,2716069.0,423965.0,1291036.0,1424740.0,293.0,226117.0,2913917.0,,2348.0,,,,519756.0,742024.0,1452734.0,,,,2716069.0
3461,25/03/2021,Karnataka,3234506.0,327530.0,2592.0,2805919.0,428587.0,1333339.0,1472280.0,300.0,270281.0,2964225.0,,2353.0,,,,524781.0,771216.0,1508363.0,,,,2805919.0
3462,26/03/2021,Karnataka,3396982.0,525850.0,4394.0,2960802.0,436180.0,1405527.0,1554963.0,312.0,323185.0,3073797.0,,2358.0,,,,532652.0,819060.0,1607491.0,,,,2960802.0
3463,27/03/2021,Karnataka,3522500.0,447531.0,3717.0,3080769.0,441731.0,1461483.0,1618958.0,328.0,353843.0,3168657.0,,2363.0,,,,540694.0,862219.0,1676249.0,,,,3080769.0
3464,28/03/2021,Karnataka,3542620.0,219350.0,1768.0,3100377.0,442243.0,1470931.0,1629114.0,332.0,356600.0,3186020.0,,2365.0,,,,542239.0,869984.0,1686546.0,,,,3100377.0
3465,29/03/2021,Karnataka,3682325.0,522590.0,4326.0,3234131.0,448194.0,1531084.0,1702703.0,344.0,378391.0,3303934.0,,2368.0,,,,548729.0,912209.0,1771571.0,,,,3234131.0
3466,30/03/2021,Karnataka,3800933.0,452550.0,3730.0,3346567.0,454366.0,1581954.0,1764252.0,361.0,395682.0,3405251.0,,2373.0,,,,555147.0,953554.0,1836227.0,,,,3346567.0
3467,31/03/2021,Karnataka,3952215.0,541080.0,4529.0,3489527.0,462688.0,1647009.0,1842139.0,379.0,412737.0,3539478.0,,2379.0,,,,563318.0,1004149.0,1920381.0,,,,3489527.0
3468,01/04/2021,Karnataka,4066715.0,452680.0,3875.0,3599566.0,467149.0,1698361.0,1900816.0,389.0,425440.0,3641275.0,,2381.0,,,,567373.0,1067206.0,1963298.0,,,,3599566.0
3469,02/04/2021,Karnataka,4266426.0,514400.0,4568.0,3793071.0,473355.0,1788626.0,2004033.0,412.0,442763.0,3823663.0,,2386.0,,,,573707.0,1185018.0,2032646.0,,,,3793071.0
3470,03/04/2021,Karnataka,4450751.0,591470.0,5431.0,3971518.0,479233.0,1871702.0,2099382.0,434.0,454895.0,3995856.0,,2388.0,,,,579191.0,1292667.0,2097951.0,,,,3971518.0
3471,04/04/2021,Karnataka,4592345.0,510310.0,4510.0,4108669.0,483676.0,1936005.0,2172207.0,457.0,464461.0,4127884.0,,2396.0,,,,583070.0,1380617.0,2143269.0,,,,4108669.0
3472,05/04/2021,Karnataka,4765091.0,675771.0,6103.0,4274168.0,490923.0,2009976.0,2263714.0,478.0,478207.0,4286884.0,,2401.0,,,,583316.0,1480104.0,2209031.0,,,,4274168.0
3473,06/04/2021,Karnataka,4874443.0,705350.0,6304.0,4378738.0,495705.0,2057498.0,2320752.0,488.0,491658.0,4382785.0,,2405.0,,,,583468.0,1546571.0,2246979.0,,,,4378738.0
3474,07/04/2021,Karnataka,5193089.0,743223.0,6734.0,4681696.0,511393.0,2194018.0,2487150.0,528.0,522784.0,4670305.0,,2417.0,,,,583935.0,1734612.0,2361430.0,,,,4681696.0
3475,08/04/2021,Karnataka,5463170.0,739551.0,6527.0,4936256.0,526914.0,2310232.0,2625464.0,560.0,541190.0,4921980.0,,2426.0,,,,584226.0,1893421.0,2456890.0,,,,4936256.0
3476,09/04/2021,Karnataka,5788229.0,817850.0,7338.0,5241266.0,546963.0,2451971.0,2788693.0,602.0,555182.0,5233047.0,,2434.0,,,,586619.0,2086069.0,2566857.0,,,,5241266.0
3477,10/04/2021,Karnataka,6066457.0,752250.0,6838.0,5502062.0,564395.0,2575155.0,2926258.0,649.0,566845.0,5499612.0,,2442.0,,,,589227.0,2254327.0,2656782.0,,,,5502062.0
3478,11/04/2021,Karnataka,6208540.0,692240.0,6163.0,5635988.0,572552.0,2640037.0,2995283.0,668.0,572077.0,5636463.0,,2449.0,,,,590532.0,2340569.0,2703160.0,,,,5635988.0
3479,12/04/2021,Karnataka,6407151.0,779510.0,6980.0,5814005.0,593146.0,2729159.0,3084145.0,701.0,578395.0,5828756.0,,2457.0,,,,593719.0,2454248.0,2764307.0,,,,5814005.0
3480,13/04/2021,Karnataka,6446449.0,679710.0,6051.0,5848181.0,598268.0,2747459.0,3100011.0,711.0,580152.0,5866297.0,,2460.0,,,,594496.0,2477094.0,2774859.0,,,,5848181.0
3481,14/04/2021,Karnataka,6550378.0,702910.0,6246.0,5935191.0,615187.0,2789071.0,3145397.0,723.0,585978.0,5964400.0,,2463.0,,,,595473.0,2533761.0,2804222.0,,,,5935191.0
3482,15/04/2021,Karnataka,6704302.0,713610.0,6219.0,6060959.0,643343.0,2847597.0,3212623.0,739.0,595970.0,6108332.0,,2467.0,,,,597673.0,2611371.0,2850173.0,,,,6060959.0
3483,16/04/2021,Karnataka,6910211.0,753660.0,6538.0,6226534.0,683677.0,2925945.0,3299828.0,761.0,613354.0,6296857.0,,2471.0,,,,601463.0,2714568.0,2908765.0,,,,6226534.0
