,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
3605,16/01/2021,Kerala,1681.0,147.0,134.0,1681.0,0.0,593.0,1088.0,0.0,0.0,1681.0,,,,,,,,,,,,1681.0
3606,17/01/2021,Kerala,1836.0,317.0,156.0,1836.0,0.0,643.0,1193.0,0.0,0.0,1836.0,,,,,,,,,,,,1836.0
3607,18/01/2021,Kerala,2566.0,488.0,180.0,2566.0,0.0,746.0,1820.0,0.0,0.0,2566.0,,,,,,,,,,,,2566.0
3608,19/01/2021,Kerala,5355.0,544.0,185.0,5355.0,0.0,1529.0,3826.0,0.0,0.0,5355.0,,,,,,,,,,,,5355.0
3609,20/01/2021,Kerala,5398.0,716.0,216.0,5398.0,0.0,1552.0,3846.0,0.0,0.0,5398.0,,,,,,,,,,,,5398.0
3610,21/01/2021,Kerala,9175.0,883.0,236.0,9175.0,0.0,2557.0,6618.0,0.0,0.0,9175.0,,,,,,,,,,,,9175.0
3611,22/01/2021,Kerala,15501.0,1003.0,259.0,15501.0,0.0,4180.0,11321.0,0.0,0.0,15501.0,,,,,,,,,,,,15501.0
3612,23/01/2021,Kerala,21944.0,1165.0,308.0,21944.0,0.0,5715.0,16229.0,0.0,0.0,21944.0,,,,,,,,,,,,21944.0
3613,24/01/2021,Kerala,23324.0,1252.0,333.0,23324.0,0.0,6036.0,17288.0,0.0,0.0,23324.0,,,,,,,,,,,,23324.0
3614,25/01/2021,Kerala,43561.0,1302.0,347.0,43561.0,0.0,11213.0,32347.0,1.0,0.0,43561.0,,,,,,,,,,,,43561.0
