,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
3817,16/01/2021,Ladakh,9.0,1.0,1.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,,,,,,,,,,,,9.0
3818,17/01/2021,Ladakh,9.0,2.0,2.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,,,,,,,,,,,,9.0
3819,18/01/2021,Ladakh,64.0,3.0,3.0,64.0,0.0,15.0,49.0,0.0,0.0,64.0,,,,,,,,,,,,64.0
3820,19/01/2021,Ladakh,64.0,4.0,4.0,64.0,0.0,15.0,49.0,0.0,0.0,64.0,,,,,,,,,,,,64.0
3821,20/01/2021,Ladakh,66.0,5.0,5.0,66.0,0.0,16.0,50.0,0.0,0.0,66.0,,,,,,,,,,,,66.0
3822,21/01/2021,Ladakh,66.0,10.0,7.0,66.0,0.0,16.0,50.0,0.0,0.0,66.0,,,,,,,,,,,,66.0
3823,22/01/2021,Ladakh,164.0,12.0,9.0,164.0,0.0,43.0,121.0,0.0,0.0,164.0,,,,,,,,,,,,164.0
3824,23/01/2021,Ladakh,330.0,12.0,9.0,330.0,0.0,98.0,232.0,0.0,0.0,330.0,,,,,,,,,,,,330.0
3825,24/01/2021,Ladakh,337.0,13.0,10.0,337.0,0.0,104.0,233.0,0.0,0.0,337.0,,,,,,,,,,,,337.0
3826,25/01/2021,Ladakh,461.0,14.0,11.0,461.0,0.0,148.0,313.0,0.0,0.0,461.0,,,,,,,,,,,,461.0
3827,26/01/2021,Ladakh,461.0,15.0,11.0,461.0,0.0,148.0,313.0,0.0,0.0,461.0,,,,,,,,,,,,461.0
3828,27/01/2021,Ladakh,642.0,16.0,12.0,642.0,0.0,234.0,408.0,0.0,0.0,642.0,,,,,,,,,,,,642.0
3829,28/01/2021,Ladakh,652.0,18.0,13.0,652.0,0.0,241.0,411.0,0.0,0.0,652.0,,,,,,,,,,,,652.0
3830,29/01/2021,Ladakh,823.0,19.0,13.0,823.0,0.0,290.0,533.0,0.0,0.0,823.0,,,,,,,,,,,,823.0
3831,30/01/2021,Ladakh,959.0,19.0,13.0,959.0,0.0,346.0,613.0,0.0,0.0,959.0,,,,,,,,,,,,959.0
3832,31/01/2021,Ladakh,959.0,20.0,13.0,959.0,0.0,346.0,613.0,0.0,0.0,959.0,,,,,,,,,,,,959.0
3833,01/02/2021,Ladakh,1065.0,25.0,16.0,1065.0,0.0,379.0,686.0,0.0,0.0,1065.0,,,,,,,,,,,,1065.0
