,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
4029,16/01/2021,Lakshadweep,16.0,1.0,1.0,16.0,0.0,14.0,2.0,0.0,0.0,16.0,,,,,,,,,,,,16.0
4030,17/01/2021,Lakshadweep,17.0,10.0,9.0,17.0,0.0,14.0,3.0,0.0,0.0,17.0,,,,,,,,,,,,17.0
4031,18/01/2021,Lakshadweep,237.0,10.0,9.0,237.0,0.0,229.0,8.0,0.0,0.0,237.0,,,,,,,,,,,,237.0
4032,19/01/2021,Lakshadweep,622.0,10.0,9.0,622.0,0.0,533.0,89.0,0.0,0.0,622.0,,,,,,,,,,,,622.0
4033,20/01/2021,Lakshadweep,629.0,10.0,9.0,629.0,0.0,538.0,91.0,0.0,0.0,629.0,,,,,,,,,,,,629.0
4034,21/01/2021,Lakshadweep,724.0,11.0,10.0,724.0,0.0,585.0,139.0,0.0,0.0,724.0,,,,,,,,,,,,724.0
4035,22/01/2021,Lakshadweep,734.0,14.0,12.0,734.0,0.0,588.0,146.0,0.0,0.0,734.0,,,,,,,,,,,,734.0
4036,23/01/2021,Lakshadweep,734.0,14.0,12.0,734.0,0.0,588.0,146.0,0.0,0.0,734.0,,,,,,,,,,,,734.0
4037,24/01/2021,Lakshadweep,749.0,14.0,12.0,749.0,0.0,588.0,161.0,0.0,0.0,749.0,,,,,,,,,,,,749.0
4038,25/01/2021,Lakshadweep,752.0,14.0,12.0,752.0,0.0,588.0,164.0,0.0,0.0,752.0,,,,,,,,,,,,752.0
4039,26/01/2021,Lakshadweep,752.0,14.0,12.0,752.0,0.0,588.0,164.0,0.0,0.0,752.0,,,,,,,,,,,,752.0
4040,27/01/2021,Lakshadweep,765.0,19.0,12.0,765.0,0.0,612.0,153.0,0.0,0.0,765.0,,,,,,,,,,,,765.0
4041,28/01/2021,Lakshadweep,790.0,19.0,12.0,790.0,0.0,618.0,172.0,0.0,0.0,790.0,,,,,,,,,,,,790.0
4042,29/01/2021,Lakshadweep,807.0,19.0,12.0,807.0,0.0,623.0,184.0,0.0,0.0,807.0,,,,,,,,,,,,807.0
4043,30/01/2021,Lakshadweep,807.0,19.0,12.0,807.0,0.0,623.0,184.0,0.0,0.0,807.0,,,,,,,,,,,,807.0
4044,31/01/2021,Lakshadweep,807.0,19.0,12.0,807.0,0.0,623.0,184.0,0.0,0.0,807.0,,,,,,,,,,,,807.0
4045,01/02/2021,Lakshadweep,807.0,19.0,12.0,807.0,0.0,623.0,184.0,0.0,0.0,807.0,,,,,,,,,,,,807.0
4046,02/02/2021,Lakshadweep,807.0,19.0,12.0,807.0,0.0,623.0,184.0,0.0,0.0,807.0,,,,,,,,,,,,807.0
4047,03/02/2021,Lakshadweep,807.0,20.0,13.0,807.0,0.0,623.0,184.0,0.0,0.0,807.0,,,,,,,,,,,,807.0
4048,04/02/2021,Lakshadweep,807.0,23.0,13.0,807.0,0.0,623.0,184.0,0.0,0.0,807.0,,,,,,,,,,,,807.0
4049,05/02/2021,Lakshadweep,825.0,26.0,13.0,825.0,0.0,627.0,198.0,0.0,0.0,825.0,,,,,,,,,,,,825.0
4050,06/02/2021,Lakshadweep,833.0,26.0,13.0,833.0,0.0,634.0,199.0,0.0,0.0,833.0,,,,,,,,,,,,833.0
4051,07/02/2021,Lakshadweep,833.0,26.0,13.0,833.0,0.0,634.0,199.0,0.0,0.0,833.0,,,,,,,,,,,,833.0
4052,08/02/2021,Lakshadweep,839.0,30.0,13.0,839.0,0.0,639.0,200.0,0.0,0.0,839.0,,,,,,,,,,,,839.0
4053,09/02/2021,Lakshadweep,869.0,30.0,13.0,869.0,0.0,665.0,204.0,0.0,0.0,869.0,,,,,,,,,,,,869.0
4054,10/02/2021,Lakshadweep,1312.0,34.0,13.0,1312.0,0.0,1026.0,286.0,0.0,0.0,1312.0,,,,,,,,,,,,1312.0
4055,11/02/2021,Lakshadweep,1344.0,35.0,13.0,1344.0,0.0,1054.0,290.0,0.0,0.0,1344.0,,,,,,,,,,,,1344.0
4056,12/02/2021,Lakshadweep,1575.0,35.0,13.0,1575.0,0.0,1239.0,336.0,0.0,0.0,1575.0,,,,,,,,,,,,1575.0
4057,13/02/2021,Lakshadweep,1575.0,35.0,13.0,1575.0,0.0,1239.0,336.0,0.0,0.0,1575.0,,,,,,,,,,,,1575.0
4058,14/02/2021,Lakshadweep,1575.0,36.0,13.0,1575.0,0.0,1239.0,336.0,0.0,0.0,1575.0,,,,,,,,,,,,1575.0
4059,15/02/2021,Lakshadweep,1575.0,37.0,13.0,1575.0,0.0,1239.0,336.0,0.0,0.0,1575.0,,,,,,,,,,,,1575.0
4060,16/02/2021,Lakshadweep,1613.0,39.0,13.0,1594.0,19.0,1245.0,349.0,0.0,0.0,1594.0,,,,,,,,,,,,1594.0
4061,17/02/2021,Lakshadweep,1613.0,41.0,13.0,1594.0,19.0,1245.0,349.0,0.0,0.0,1594.0,,,,,,,,,,,,1594.0
4062,18/02/2021,Lakshadweep,1674.0,49.0,13.0,1623.0,51.0,1264.0,359.0,0.0,0.0,1623.0,,,,,,,,,,,,1623.0
4063,19/02/2021,Lakshadweep,1770.0,49.0,13.0,1689.0,81.0,1302.0,387.0,0.0,4.0,1685.0,,,,,,,,,,,,1689.0
4064,20/02/2021,Lakshadweep,1770.0,49.0,13.0,1689.0,81.0,1302.0,387.0,0.0,4.0,1685.0,,,,,,,,,,,,1689.0
4065,21/02/2021,Lakshadweep,1770.0,49.0,13.0,1689.0,81.0,1302.0,387.0,0.0,4.0,1685.0,,,,,,,,,,,,1689.0
4066,22/02/2021,Lakshadweep,1830.0,52.0,13.0,1748.0,82.0,1349.0,399.0,0.0,4.0,1744.0,,,,,,,,,,,,1748.0
4067,23/02/2021,Lakshadweep,1877.0,54.0,13.0,1771.0,106.0,1361.0,410.0,0.0,4.0,1767.0,,,,,,,,,,,,1771.0
4068,24/02/2021,Lakshadweep,1902.0,55.0,13.0,1796.0,106.0,1383.0,413.0,0.0,4.0,1792.0,,,,,,,,,,,,1796.0
4069,25/02/2021,Lakshadweep,1929.0,55.0,13.0,1822.0,107.0,1408.0,414.0,0.0,4.0,1818.0,,,,,,,,,,,,1822.0
4070,26/02/2021,Lakshadweep,1931.0,55.0,13.0,1824.0,107.0,1410.0,414.0,0.0,4.0,1820.0,,,,,,,,,,,,1824.0
4071,27/02/2021,Lakshadweep,1931.0,55.0,13.0,1824.0,107.0,1410.0,414.0,0.0,4.0,1820.0,,,,,,,,,,,,1824.0
4072,28/02/2021,Lakshadweep,1931.0,59.0,13.0,1824.0,107.0,1410.0,414.0,0.0,4.0,1820.0,,,,,,,,,,,,1824.0
4073,01/03/2021,Lakshadweep,1931.0,66.0,13.0,1824.0,107.0,1410.0,414.0,0.0,4.0,1820.0,,,,,,,,,,,,1824.0
4074,02/03/2021,Lakshadweep,1931.0,67.0,13.0,1824.0,107.0,1410.0,414.0,0.0,4.0,1820.0,,,,,,,,,,,,1824.0
