,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
4241,16/01/2021,Madhya Pradesh,9435.0,183.0,156.0,9435.0,0.0,5066.0,4368.0,1.0,0.0,9435.0,,,,,,,,,,,,9435.0
4242,17/01/2021,Madhya Pradesh,9435.0,458.0,158.0,9435.0,0.0,5066.0,4368.0,1.0,0.0,9435.0,,,,,,,,,,,,9435.0
4243,18/01/2021,Madhya Pradesh,15934.0,467.0,158.0,15934.0,0.0,6799.0,9134.0,1.0,0.0,15934.0,,,,,,,,,,,,15934.0
4244,19/01/2021,Madhya Pradesh,18409.0,630.0,160.0,18409.0,0.0,8067.0,10341.0,1.0,0.0,18409.0,,,,,,,,,,,,18409.0
4245,20/01/2021,Madhya Pradesh,27769.0,798.0,163.0,27769.0,0.0,10968.0,16800.0,1.0,0.0,27769.0,,,,,,,,,,,,27769.0
4246,21/01/2021,Madhya Pradesh,38425.0,798.0,163.0,38425.0,0.0,14256.0,24168.0,1.0,0.0,38425.0,,,,,,,,,,,,38425.0
4247,22/01/2021,Madhya Pradesh,38425.0,1111.0,335.0,38425.0,0.0,14256.0,24168.0,1.0,0.0,38425.0,,,,,,,,,,,,38425.0
4248,23/01/2021,Madhya Pradesh,38428.0,1749.0,491.0,38428.0,0.0,14259.0,24168.0,1.0,0.0,38428.0,,,,,,,,,,,,38428.0
4249,24/01/2021,Madhya Pradesh,38430.0,1816.0,493.0,38430.0,0.0,14261.0,24168.0,1.0,0.0,38430.0,,,,,,,,,,,,38430.0
4250,25/01/2021,Madhya Pradesh,66875.0,2294.0,711.0,66875.0,0.0,23413.0,43461.0,1.0,0.0,66875.0,,,,,,,,,,,,66875.0
4251,26/01/2021,Madhya Pradesh,66877.0,2985.0,1102.0,66877.0,0.0,23415.0,43461.0,1.0,0.0,66877.0,,,,,,,,,,,,66877.0
4252,27/01/2021,Madhya Pradesh,131099.0,3931.0,1324.0,131099.0,0.0,37622.0,93475.0,2.0,0.0,131099.0,,,,,,,,,,,,131099.0
4253,28/01/2021,Madhya Pradesh,192628.0,5111.0,1457.0,192628.0,0.0,52669.0,139957.0,2.0,0.0,192628.0,,,,,,,,,,,,192628.0
4254,29/01/2021,Madhya Pradesh,234631.0,6093.0,1544.0,234631.0,0.0,65629.0,169000.0,2.0,0.0,234631.0,,,,,,,,,,,,234631.0
