,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
4453,16/01/2021,Maharashtra,5726.0,179.0,174.0,5726.0,0.0,3668.0,2057.0,1.0,85.0,5641.0,,,,,,,,,,,,5726.0
4454,17/01/2021,Maharashtra,6521.0,269.0,216.0,6521.0,0.0,3953.0,2566.0,2.0,94.0,6427.0,,,,,,,,,,,,6521.0
4455,18/01/2021,Maharashtra,6151.0,772.0,320.0,6151.0,0.0,3569.0,2581.0,1.0,105.0,6046.0,,,,,,,,,,,,6151.0
4456,19/01/2021,Maharashtra,13699.0,1196.0,340.0,13699.0,0.0,6328.0,7367.0,4.0,214.0,13485.0,,,,,,,,,,,,13699.0
4457,20/01/2021,Maharashtra,23880.0,1547.0,347.0,23880.0,0.0,9658.0,14205.0,17.0,439.0,23441.0,,,,,,,,,,,,23880.0
4458,21/01/2021,Maharashtra,24148.0,1820.0,357.0,24148.0,0.0,9784.0,14347.0,17.0,443.0,23705.0,,,,,,,,,,,,24148.0
4459,22/01/2021,Maharashtra,44369.0,2012.0,374.0,44369.0,0.0,16546.0,27802.0,21.0,840.0,43529.0,,,,,,,,,,,,44369.0
4460,23/01/2021,Maharashtra,69295.0,2435.0,483.0,69295.0,0.0,25333.0,43937.0,25.0,1156.0,68139.0,,,,,,,,,,,,69295.0
4461,24/01/2021,Maharashtra,70196.0,2756.0,581.0,70196.0,0.0,25661.0,44510.0,25.0,1157.0,69039.0,,,,,,,,,,,,70196.0
4462,25/01/2021,Maharashtra,107073.0,3170.0,617.0,107073.0,0.0,38512.0,68527.0,34.0,1433.0,105640.0,,,,,,,,,,,,107073.0
4463,26/01/2021,Maharashtra,107338.0,3435.0,646.0,107338.0,0.0,38562.0,68728.0,48.0,1433.0,105905.0,,,,,,,,,,,,107338.0
4464,27/01/2021,Maharashtra,150102.0,4050.0,668.0,150102.0,0.0,53245.0,96795.0,62.0,1642.0,148460.0,,,,,,,,,,,,150102.0
4465,28/01/2021,Maharashtra,189743.0,4570.0,685.0,189743.0,0.0,66834.0,122840.0,69.0,1893.0,187850.0,,,,,,,,,,,,189743.0
4466,29/01/2021,Maharashtra,225132.0,4814.0,702.0,225132.0,0.0,79060.0,145999.0,73.0,2193.0,222939.0,,,,,,,,,,,,225132.0
4467,30/01/2021,Maharashtra,233693.0,5150.0,723.0,233693.0,0.0,82464.0,151156.0,73.0,2282.0,231411.0,,,,,,,,,,,,233693.0
4468,31/01/2021,Maharashtra,234150.0,5309.0,733.0,234150.0,0.0,82628.0,151449.0,73.0,2282.0,231868.0,,,,,,,,,,,,234150.0
4469,01/02/2021,Maharashtra,275348.0,5753.0,744.0,275348.0,0.0,99441.0,175829.0,78.0,2708.0,272640.0,,,,,,,,,,,,275348.0
4470,02/02/2021,Maharashtra,284107.0,6234.0,778.0,284107.0,0.0,103217.0,180812.0,78.0,2760.0,281347.0,,,,,,,,,,,,284107.0
4471,03/02/2021,Maharashtra,318918.0,6895.0,830.0,318918.0,0.0,117360.0,201467.0,91.0,3170.0,315748.0,,,,,,,,,,,,318918.0
4472,04/02/2021,Maharashtra,352676.0,7584.0,874.0,352676.0,0.0,131909.0,220669.0,98.0,3691.0,348985.0,,,,,,,,,,,,352676.0
4473,05/02/2021,Maharashtra,397889.0,8449.0,926.0,397889.0,0.0,152168.0,245610.0,111.0,3942.0,393947.0,,,,,,,,,,,,397889.0
4474,06/02/2021,Maharashtra,436229.0,9141.0,955.0,436229.0,0.0,171578.0,264525.0,126.0,4205.0,432024.0,,,,,,,,,,,,436229.0
