,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
4665,16/01/2021,Manipur,181.0,10.0,10.0,181.0,0.0,112.0,69.0,0.0,0.0,181.0,,,,,,,,,,,,181.0
4666,17/01/2021,Manipur,192.0,19.0,12.0,192.0,0.0,116.0,76.0,0.0,0.0,192.0,,,,,,,,,,,,192.0
4667,18/01/2021,Manipur,169.0,40.0,15.0,169.0,0.0,96.0,73.0,0.0,0.0,169.0,,,,,,,,,,,,169.0
4668,19/01/2021,Manipur,267.0,58.0,16.0,267.0,0.0,163.0,104.0,0.0,0.0,267.0,,,,,,,,,,,,267.0
4669,20/01/2021,Manipur,426.0,61.0,16.0,426.0,0.0,246.0,180.0,0.0,0.0,426.0,,,,,,,,,,,,426.0
4670,21/01/2021,Manipur,426.0,73.0,17.0,426.0,0.0,246.0,180.0,0.0,0.0,426.0,,,,,,,,,,,,426.0
4671,22/01/2021,Manipur,693.0,81.0,19.0,693.0,0.0,380.0,313.0,0.0,0.0,693.0,,,,,,,,,,,,693.0
4672,23/01/2021,Manipur,1097.0,83.0,19.0,1097.0,0.0,562.0,535.0,0.0,0.0,1097.0,,,,,,,,,,,,1097.0
4673,24/01/2021,Manipur,1109.0,83.0,19.0,1109.0,0.0,569.0,540.0,0.0,0.0,1109.0,,,,,,,,,,,,1109.0
4674,25/01/2021,Manipur,1319.0,83.0,19.0,1319.0,0.0,670.0,649.0,0.0,0.0,1319.0,,,,,,,,,,,,1319.0
4675,26/01/2021,Manipur,1328.0,89.0,19.0,1328.0,0.0,677.0,651.0,0.0,0.0,1328.0,,,,,,,,,,,,1328.0
4676,27/01/2021,Manipur,1873.0,95.0,19.0,1873.0,0.0,877.0,996.0,0.0,0.0,1873.0,,,,,,,,,,,,1873.0
4677,28/01/2021,Manipur,1909.0,101.0,21.0,1909.0,0.0,893.0,1016.0,0.0,0.0,1909.0,,,,,,,,,,,,1909.0
4678,29/01/2021,Manipur,2394.0,108.0,22.0,2394.0,0.0,1113.0,1281.0,0.0,0.0,2394.0,,,,,,,,,,,,2394.0
4679,30/01/2021,Manipur,2933.0,110.0,23.0,2933.0,0.0,1394.0,1539.0,0.0,0.0,2933.0,,,,,,,,,,,,2933.0
4680,31/01/2021,Manipur,2947.0,113.0,23.0,2947.0,0.0,1400.0,1547.0,0.0,0.0,2947.0,,,,,,,,,,,,2947.0
4681,01/02/2021,Manipur,3321.0,124.0,27.0,3321.0,0.0,1581.0,1740.0,0.0,0.0,3321.0,,,,,,,,,,,,3321.0
4682,02/02/2021,Manipur,3614.0,140.0,33.0,3614.0,0.0,1688.0,1926.0,0.0,0.0,3614.0,,,,,,,,,,,,3614.0
4683,03/02/2021,Manipur,4683.0,149.0,37.0,4683.0,0.0,2086.0,2596.0,1.0,0.0,4683.0,,,,,,,,,,,,4683.0
4684,04/02/2021,Manipur,4882.0,159.0,39.0,4882.0,0.0,2122.0,2759.0,1.0,0.0,4882.0,,,,,,,,,,,,4882.0
4685,05/02/2021,Manipur,5638.0,185.0,52.0,5638.0,0.0,2358.0,3279.0,1.0,0.0,5638.0,,,,,,,,,,,,5638.0
4686,06/02/2021,Manipur,6981.0,194.0,55.0,6981.0,0.0,2884.0,4096.0,1.0,0.0,6981.0,,,,,,,,,,,,6981.0
4687,07/02/2021,Manipur,7085.0,209.0,64.0,7085.0,0.0,2902.0,4182.0,1.0,0.0,7085.0,,,,,,,,,,,,7085.0
4688,08/02/2021,Manipur,8785.0,236.0,74.0,8785.0,0.0,3542.0,5242.0,1.0,0.0,8785.0,,,,,,,,,,,,8785.0
4689,09/02/2021,Manipur,9895.0,281.0,98.0,9895.0,0.0,3979.0,5915.0,1.0,0.0,9895.0,,,,,,,,,,,,9895.0
4690,10/02/2021,Manipur,12509.0,321.0,118.0,12509.0,0.0,5131.0,7377.0,1.0,0.0,12509.0,,,,,,,,,,,,12509.0
4691,11/02/2021,Manipur,14562.0,383.0,136.0,14562.0,0.0,5917.0,8644.0,1.0,0.0,14562.0,,,,,,,,,,,,14562.0
4692,12/02/2021,Manipur,17996.0,445.0,147.0,17996.0,0.0,7067.0,10928.0,1.0,3.0,17993.0,,,,,,,,,,,,17996.0
4693,13/02/2021,Manipur,20866.0,478.0,153.0,20811.0,55.0,7955.0,12855.0,1.0,4.0,20807.0,,,,,,,,,,,,20811.0
4694,14/02/2021,Manipur,21453.0,534.0,157.0,21284.0,169.0,8037.0,13246.0,1.0,4.0,21280.0,,,,,,,,,,,,21284.0
4695,15/02/2021,Manipur,24428.0,593.0,161.0,24144.0,284.0,9269.0,14874.0,1.0,4.0,24140.0,,,,,,,,,,,,24144.0
4696,16/02/2021,Manipur,27506.0,682.0,173.0,27091.0,415.0,10626.0,16464.0,1.0,8.0,27083.0,,,,,,,,,,,,27091.0
4697,17/02/2021,Manipur,31661.0,759.0,176.0,30988.0,673.0,12133.0,18854.0,1.0,9.0,30979.0,,,,,,,,,,,,30988.0
4698,18/02/2021,Manipur,34103.0,834.0,177.0,33302.0,801.0,13252.0,20049.0,1.0,19.0,33283.0,,,,,,,,,,,,33302.0
4699,19/02/2021,Manipur,37210.0,906.0,179.0,36102.0,1108.0,14822.0,21279.0,1.0,28.0,36074.0,,,,,,,,,,,,36102.0
4700,20/02/2021,Manipur,38877.0,935.0,182.0,37523.0,1354.0,15907.0,21615.0,1.0,29.0,37494.0,,,,,,,,,,,,37523.0
4701,21/02/2021,Manipur,39179.0,964.0,184.0,37813.0,1366.0,16014.0,21798.0,1.0,29.0,37784.0,,,,,,,,,,,,37813.0
4702,22/02/2021,Manipur,40640.0,1004.0,185.0,39019.0,1621.0,17144.0,21874.0,1.0,30.0,38989.0,,,,,,,,,,,,39019.0
