,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
4877,16/01/2021,Meghalaya,102.0,12.0,10.0,102.0,0.0,23.0,79.0,0.0,0.0,102.0,,,,,,,,,,,,102.0
4878,17/01/2021,Meghalaya,102.0,12.0,10.0,102.0,0.0,23.0,79.0,0.0,0.0,102.0,,,,,,,,,,,,102.0
4879,18/01/2021,Meghalaya,58.0,44.0,13.0,58.0,0.0,14.0,44.0,0.0,0.0,58.0,,,,,,,,,,,,58.0
4880,19/01/2021,Meghalaya,170.0,53.0,17.0,170.0,0.0,43.0,127.0,0.0,0.0,170.0,,,,,,,,,,,,170.0
4881,20/01/2021,Meghalaya,189.0,66.0,21.0,189.0,0.0,52.0,137.0,0.0,0.0,189.0,,,,,,,,,,,,189.0
4882,21/01/2021,Meghalaya,380.0,85.0,25.0,380.0,0.0,134.0,246.0,0.0,0.0,380.0,,,,,,,,,,,,380.0
4883,22/01/2021,Meghalaya,525.0,90.0,28.0,525.0,0.0,179.0,346.0,0.0,0.0,525.0,,,,,,,,,,,,525.0
4884,23/01/2021,Meghalaya,709.0,93.0,30.0,709.0,0.0,219.0,490.0,0.0,0.0,709.0,,,,,,,,,,,,709.0
4885,24/01/2021,Meghalaya,713.0,98.0,32.0,713.0,0.0,220.0,493.0,0.0,0.0,713.0,,,,,,,,,,,,713.0
4886,25/01/2021,Meghalaya,1249.0,100.0,32.0,1249.0,0.0,409.0,840.0,0.0,0.0,1249.0,,,,,,,,,,,,1249.0
4887,26/01/2021,Meghalaya,1256.0,110.0,38.0,1256.0,0.0,411.0,845.0,0.0,0.0,1256.0,,,,,,,,,,,,1256.0
4888,27/01/2021,Meghalaya,1964.0,126.0,44.0,1964.0,0.0,607.0,1357.0,0.0,0.0,1964.0,,,,,,,,,,,,1964.0
4889,28/01/2021,Meghalaya,2609.0,133.0,47.0,2609.0,0.0,848.0,1761.0,0.0,0.0,2609.0,,,,,,,,,,,,2609.0
4890,29/01/2021,Meghalaya,2925.0,136.0,50.0,2925.0,0.0,952.0,1973.0,0.0,0.0,2925.0,,,,,,,,,,,,2925.0
4891,30/01/2021,Meghalaya,3070.0,137.0,50.0,3070.0,0.0,1036.0,2034.0,0.0,0.0,3070.0,,,,,,,,,,,,3070.0
4892,31/01/2021,Meghalaya,3076.0,140.0,52.0,3076.0,0.0,1037.0,2039.0,0.0,0.0,3076.0,,,,,,,,,,,,3076.0
4893,01/02/2021,Meghalaya,3317.0,144.0,53.0,3317.0,0.0,1147.0,2170.0,0.0,0.0,3317.0,,,,,,,,,,,,3317.0
4894,02/02/2021,Meghalaya,3451.0,149.0,55.0,3451.0,0.0,1208.0,2243.0,0.0,0.0,3451.0,,,,,,,,,,,,3451.0
4895,03/02/2021,Meghalaya,3565.0,172.0,67.0,3565.0,0.0,1253.0,2312.0,0.0,0.0,3565.0,,,,,,,,,,,,3565.0
4896,04/02/2021,Meghalaya,4216.0,198.0,86.0,4216.0,0.0,1463.0,2753.0,0.0,0.0,4216.0,,,,,,,,,,,,4216.0
4897,05/02/2021,Meghalaya,4933.0,211.0,95.0,4933.0,0.0,1692.0,3241.0,0.0,0.0,4933.0,,,,,,,,,,,,4933.0
4898,06/02/2021,Meghalaya,5585.0,222.0,103.0,5585.0,0.0,1800.0,3785.0,0.0,0.0,5585.0,,,,,,,,,,,,5585.0
4899,07/02/2021,Meghalaya,5585.0,251.0,117.0,5585.0,0.0,1800.0,3785.0,0.0,0.0,5585.0,,,,,,,,,,,,5585.0
4900,08/02/2021,Meghalaya,6394.0,293.0,127.0,6394.0,0.0,2054.0,4337.0,3.0,0.0,6394.0,,,,,,,,,,,,6394.0
4901,09/02/2021,Meghalaya,7806.0,317.0,139.0,7806.0,0.0,2465.0,5338.0,3.0,0.0,7806.0,,,,,,,,,,,,7806.0
4902,10/02/2021,Meghalaya,8557.0,359.0,152.0,8557.0,0.0,2691.0,5863.0,3.0,0.0,8557.0,,,,,,,,,,,,8557.0
4903,11/02/2021,Meghalaya,10420.0,386.0,160.0,10420.0,0.0,3246.0,7171.0,3.0,0.0,10420.0,,,,,,,,,,,,10420.0
4904,12/02/2021,Meghalaya,11614.0,410.0,168.0,11614.0,0.0,3872.0,7739.0,3.0,3.0,11611.0,,,,,,,,,,,,11614.0
4905,13/02/2021,Meghalaya,12996.0,433.0,172.0,12905.0,91.0,4375.0,8526.0,4.0,3.0,12902.0,,,,,,,,,,,,12905.0
4906,14/02/2021,Meghalaya,12997.0,503.0,187.0,12906.0,91.0,4376.0,8526.0,4.0,4.0,12902.0,,,,,,,,,,,,12906.0
4907,15/02/2021,Meghalaya,15270.0,576.0,194.0,15019.0,251.0,5538.0,9477.0,4.0,5.0,15014.0,,,,,,,,,,,,15019.0
4908,16/02/2021,Meghalaya,17969.0,689.0,204.0,17479.0,490.0,6797.0,10678.0,4.0,5.0,17474.0,,,,,,,,,,,,17479.0
4909,17/02/2021,Meghalaya,21964.0,784.0,213.0,21153.0,811.0,8535.0,12614.0,4.0,5.0,21148.0,,,,,,,,,,,,21153.0
4910,18/02/2021,Meghalaya,25231.0,904.0,220.0,23995.0,1236.0,10578.0,13413.0,4.0,6.0,23989.0,,,,,,,,,,,,23995.0
4911,19/02/2021,Meghalaya,29028.0,1012.0,227.0,27429.0,1599.0,12508.0,14917.0,4.0,9.0,27420.0,,,,,,,,,,,,27429.0
4912,20/02/2021,Meghalaya,31111.0,1058.0,232.0,29428.0,1683.0,14109.0,15315.0,4.0,49.0,29379.0,,,,,,,,,,,,29428.0
4913,21/02/2021,Meghalaya,31142.0,1162.0,237.0,29459.0,1683.0,14116.0,15339.0,4.0,49.0,29410.0,,,,,,,,,,,,29459.0
4914,22/02/2021,Meghalaya,34056.0,1244.0,239.0,31976.0,2080.0,16327.0,15645.0,4.0,101.0,31875.0,,,,,,,,,,,,31976.0
4915,23/02/2021,Meghalaya,37186.0,1372.0,243.0,34889.0,2297.0,18956.0,15929.0,4.0,117.0,34772.0,,,,,,,,,,,,34889.0
4916,24/02/2021,Meghalaya,39128.0,1486.0,243.0,36656.0,2472.0,20427.0,16225.0,4.0,131.0,36525.0,,,,,,,,,,,,36656.0
4917,25/02/2021,Meghalaya,41799.0,1586.0,244.0,38638.0,3161.0,21940.0,16694.0,4.0,146.0,38492.0,,,,,,,,,,,,38638.0
4918,26/02/2021,Meghalaya,43820.0,1609.0,245.0,40214.0,3606.0,23340.0,16870.0,4.0,147.0,40067.0,,,,,,,,,,,,40214.0
4919,27/02/2021,Meghalaya,43820.0,1609.0,245.0,40214.0,3606.0,23340.0,16870.0,4.0,147.0,40067.0,,,,,,,,,,,,40214.0
4920,28/02/2021,Meghalaya,43820.0,1743.0,245.0,40214.0,3606.0,23340.0,16870.0,4.0,147.0,40067.0,,,,,,,,,,,,40214.0
4921,01/03/2021,Meghalaya,43820.0,1974.0,245.0,40214.0,3606.0,23340.0,16870.0,4.0,147.0,40067.0,,,,,,,,,,,,40214.0
4922,02/03/2021,Meghalaya,46335.0,2178.0,245.0,42313.0,4022.0,24820.0,17489.0,4.0,147.0,42166.0,,,,,,,,,,,,42313.0
4923,03/03/2021,Meghalaya,48103.0,3094.0,245.0,43856.0,4247.0,25853.0,17999.0,4.0,147.0,43709.0,,,,,,,,,,,,43856.0
4924,04/03/2021,Meghalaya,49906.0,3418.0,248.0,45315.0,4591.0,26619.0,18691.0,5.0,147.0,45168.0,,,,,,,,,,,,45315.0
4925,05/03/2021,Meghalaya,51694.0,3473.0,249.0,46494.0,5200.0,27284.0,19205.0,5.0,149.0,46345.0,,,,,,,,,,,,46494.0
4926,06/03/2021,Meghalaya,52850.0,3542.0,249.0,47342.0,5508.0,27836.0,19501.0,5.0,153.0,47189.0,,,,,,,,,,,,47342.0
4927,07/03/2021,Meghalaya,52918.0,3782.0,275.0,47343.0,5575.0,27837.0,19501.0,5.0,153.0,47190.0,,,,,,,,,,,,47343.0
4928,08/03/2021,Meghalaya,55701.0,4058.0,292.0,49452.0,6249.0,29047.0,20400.0,5.0,158.0,49294.0,,,,,,,,,,,,49452.0
4929,09/03/2021,Meghalaya,52598.0,16750.0,155.0,45459.0,7139.0,30243.0,22348.0,7.0,0.0,52595.0,,,,,,,,,,,,52598.0
4930,10/03/2021,Meghalaya,55012.0,12250.0,112.0,47038.0,7974.0,31228.0,23776.0,8.0,0.0,55009.0,,,,,,,,,,,,55012.0
4931,11/03/2021,Meghalaya,58246.0,18920.0,179.0,49110.0,9136.0,32437.0,25800.0,9.0,0.0,58243.0,,,,,,,,,,,,58246.0
4932,12/03/2021,Meghalaya,60371.0,12650.0,122.0,50237.0,10134.0,33516.0,26846.0,9.0,0.0,60368.0,,,,,,,,,,,,60371.0
4933,13/03/2021,Meghalaya,61887.0,9950.0,96.0,50933.0,10954.0,34374.0,27504.0,9.0,0.0,61884.0,,,,,,,,,,,,61887.0
4934,14/03/2021,Meghalaya,61893.0,200.0,2.0,50935.0,10958.0,34374.0,27510.0,9.0,0.0,61890.0,,,,,,,,,,,,61893.0
4935,15/03/2021,Meghalaya,64637.0,15450.0,147.0,52440.0,12197.0,35753.0,28875.0,9.0,0.0,64634.0,,,,,,,,,,,,64637.0
4936,16/03/2021,Meghalaya,75591.0,17050.0,166.0,61441.0,14150.0,35116.0,26319.0,6.0,0.0,75591.0,,218.0,,,,30323.0,21472.0,9626.0,,,,61441.0
4937,17/03/2021,Meghalaya,79544.0,15350.0,141.0,63623.0,15921.0,36280.0,27337.0,6.0,0.0,79544.0,,219.0,,,,30694.0,22189.0,10720.0,,,,63623.0
4938,18/03/2021,Meghalaya,83678.0,18600.0,177.0,65544.0,18134.0,37342.0,28196.0,6.0,0.0,83678.0,,219.0,,,,31073.0,22909.0,11542.0,,,,65544.0
4939,19/03/2021,Meghalaya,87664.0,14600.0,137.0,67370.0,20294.0,38351.0,29013.0,6.0,0.0,87664.0,,219.0,,,,31516.0,23579.0,12255.0,,,,67370.0
4940,20/03/2021,Meghalaya,89583.0,8700.0,82.0,68157.0,21426.0,38852.0,29298.0,7.0,0.0,89583.0,,219.0,,,,31755.0,23855.0,12527.0,,,,68157.0
4941,21/03/2021,Meghalaya,89631.0,0.0,0.0,68189.0,21442.0,38864.0,29318.0,7.0,0.0,89631.0,,220.0,,,,31761.0,23865.0,12543.0,,,,68189.0
