,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
5089,16/01/2021,Mizoram,105.0,6.0,5.0,105.0,0.0,37.0,68.0,0.0,0.0,105.0,,,,,,,,,,,,105.0
5090,17/01/2021,Mizoram,105.0,11.0,6.0,105.0,0.0,37.0,68.0,0.0,0.0,105.0,,,,,,,,,,,,105.0
5091,18/01/2021,Mizoram,98.0,38.0,9.0,98.0,0.0,34.0,64.0,0.0,0.0,98.0,,,,,,,,,,,,98.0
5092,19/01/2021,Mizoram,259.0,58.0,13.0,259.0,0.0,102.0,157.0,0.0,0.0,259.0,,,,,,,,,,,,259.0
5093,20/01/2021,Mizoram,291.0,81.0,22.0,291.0,0.0,121.0,170.0,0.0,0.0,291.0,,,,,,,,,,,,291.0
5094,21/01/2021,Mizoram,632.0,123.0,45.0,632.0,0.0,228.0,404.0,0.0,0.0,632.0,,,,,,,,,,,,632.0
5095,22/01/2021,Mizoram,1494.0,136.0,51.0,1494.0,0.0,461.0,1033.0,0.0,0.0,1494.0,,,,,,,,,,,,1494.0
5096,23/01/2021,Mizoram,1870.0,140.0,51.0,1870.0,0.0,544.0,1326.0,0.0,0.0,1870.0,,,,,,,,,,,,1870.0
5097,24/01/2021,Mizoram,1945.0,160.0,58.0,1945.0,0.0,573.0,1372.0,0.0,0.0,1945.0,,,,,,,,,,,,1945.0
5098,25/01/2021,Mizoram,3087.0,172.0,61.0,3087.0,0.0,960.0,2127.0,0.0,0.0,3087.0,,,,,,,,,,,,3087.0
5099,26/01/2021,Mizoram,3115.0,192.0,73.0,3115.0,0.0,967.0,2148.0,0.0,0.0,3115.0,,,,,,,,,,,,3115.0
5100,27/01/2021,Mizoram,4782.0,221.0,97.0,4782.0,0.0,1512.0,3270.0,0.0,0.0,4782.0,,,,,,,,,,,,4782.0
5101,28/01/2021,Mizoram,5391.0,247.0,110.0,5391.0,0.0,1697.0,3694.0,0.0,0.0,5391.0,,,,,,,,,,,,5391.0
5102,29/01/2021,Mizoram,7065.0,260.0,115.0,7065.0,0.0,2107.0,4958.0,0.0,0.0,7065.0,,,,,,,,,,,,7065.0
5103,30/01/2021,Mizoram,7977.0,268.0,115.0,7977.0,0.0,2332.0,5645.0,0.0,0.0,7977.0,,,,,,,,,,,,7977.0
5104,31/01/2021,Mizoram,7977.0,282.0,119.0,7977.0,0.0,2332.0,5645.0,0.0,0.0,7977.0,,,,,,,,,,,,7977.0
5105,01/02/2021,Mizoram,8462.0,285.0,121.0,8462.0,0.0,2467.0,5995.0,0.0,0.0,8462.0,,,,,,,,,,,,8462.0
5106,02/02/2021,Mizoram,8462.0,287.0,123.0,8462.0,0.0,2467.0,5995.0,0.0,0.0,8462.0,,,,,,,,,,,,8462.0
5107,03/02/2021,Mizoram,8525.0,287.0,123.0,8525.0,0.0,2478.0,6047.0,0.0,0.0,8525.0,,,,,,,,,,,,8525.0
5108,04/02/2021,Mizoram,8583.0,303.0,126.0,8583.0,0.0,2496.0,6087.0,0.0,0.0,8583.0,,,,,,,,,,,,8583.0
5109,05/02/2021,Mizoram,9110.0,318.0,127.0,9110.0,0.0,2663.0,6447.0,0.0,0.0,9110.0,,,,,,,,,,,,9110.0
5110,06/02/2021,Mizoram,9470.0,318.0,127.0,9470.0,0.0,2757.0,6713.0,0.0,1.0,9469.0,,,,,,,,,,,,9470.0
5111,07/02/2021,Mizoram,9476.0,318.0,127.0,9476.0,0.0,2761.0,6715.0,0.0,1.0,9475.0,,,,,,,,,,,,9476.0
5112,08/02/2021,Mizoram,9492.0,322.0,128.0,9492.0,0.0,2765.0,6727.0,0.0,1.0,9491.0,,,,,,,,,,,,9492.0
5113,09/02/2021,Mizoram,9603.0,325.0,130.0,9603.0,0.0,2829.0,6774.0,0.0,1.0,9602.0,,,,,,,,,,,,9603.0
5114,10/02/2021,Mizoram,9642.0,330.0,131.0,9642.0,0.0,2833.0,6809.0,0.0,1.0,9641.0,,,,,,,,,,,,9642.0
5115,11/02/2021,Mizoram,9642.0,339.0,136.0,9642.0,0.0,2833.0,6809.0,0.0,1.0,9641.0,,,,,,,,,,,,9642.0
5116,12/02/2021,Mizoram,9941.0,359.0,142.0,9941.0,0.0,3052.0,6889.0,0.0,1.0,9940.0,,,,,,,,,,,,9941.0
5117,13/02/2021,Mizoram,10254.0,371.0,146.0,10179.0,75.0,3204.0,6975.0,0.0,1.0,10178.0,,,,,,,,,,,,10179.0
5118,14/02/2021,Mizoram,10440.0,374.0,146.0,10365.0,75.0,3390.0,6975.0,0.0,1.0,10364.0,,,,,,,,,,,,10365.0
5119,15/02/2021,Mizoram,11394.0,383.0,148.0,11167.0,227.0,3993.0,7174.0,0.0,2.0,11165.0,,,,,,,,,,,,11167.0
5120,16/02/2021,Mizoram,11402.0,412.0,155.0,11175.0,227.0,4001.0,7174.0,0.0,2.0,11173.0,,,,,,,,,,,,11175.0
5121,17/02/2021,Mizoram,12755.0,450.0,157.0,12174.0,581.0,4658.0,7516.0,0.0,2.0,12172.0,,,,,,,,,,,,12174.0
5122,18/02/2021,Mizoram,14305.0,484.0,160.0,12914.0,1391.0,5305.0,7609.0,0.0,4.0,12910.0,,,,,,,,,,,,12914.0
5123,19/02/2021,Mizoram,16672.0,504.0,172.0,14481.0,2191.0,6282.0,8199.0,0.0,4.0,14477.0,,,,,,,,,,,,14481.0
5124,20/02/2021,Mizoram,16918.0,524.0,182.0,14684.0,2234.0,6476.0,8208.0,0.0,4.0,14680.0,,,,,,,,,,,,14684.0
5125,21/02/2021,Mizoram,16918.0,563.0,191.0,14684.0,2234.0,6476.0,8208.0,0.0,4.0,14680.0,,,,,,,,,,,,14684.0
5126,22/02/2021,Mizoram,18808.0,620.0,214.0,15775.0,3033.0,7396.0,8379.0,0.0,4.0,15771.0,,,,,,,,,,,,15775.0
5127,23/02/2021,Mizoram,20689.0,674.0,231.0,17217.0,3472.0,8709.0,8508.0,0.0,4.0,17213.0,,,,,,,,,,,,17217.0
5128,24/02/2021,Mizoram,23483.0,735.0,245.0,19505.0,3978.0,10779.0,8726.0,0.0,4.0,19501.0,,,,,,,,,,,,19505.0
5129,25/02/2021,Mizoram,25618.0,767.0,251.0,20768.0,4850.0,11917.0,8851.0,0.0,6.0,20762.0,,,,,,,,,,,,20768.0
5130,26/02/2021,Mizoram,27554.0,783.0,252.0,21922.0,5632.0,12996.0,8926.0,0.0,6.0,21916.0,,,,,,,,,,,,21922.0
5131,27/02/2021,Mizoram,27554.0,783.0,252.0,21922.0,5632.0,12996.0,8926.0,0.0,6.0,21916.0,,,,,,,,,,,,21922.0
5132,28/02/2021,Mizoram,27558.0,859.0,253.0,21926.0,5632.0,13000.0,8926.0,0.0,6.0,21920.0,,,,,,,,,,,,21926.0
5133,01/03/2021,Mizoram,27558.0,890.0,252.0,21926.0,5632.0,13000.0,8926.0,0.0,6.0,21920.0,,,,,,,,,,,,21926.0
5134,02/03/2021,Mizoram,33404.0,973.0,255.0,25609.0,7795.0,15371.0,10238.0,0.0,6.0,25603.0,,,,,,,,,,,,25609.0
5135,03/03/2021,Mizoram,37776.0,1080.0,258.0,28887.0,8889.0,17565.0,11322.0,0.0,6.0,28881.0,,,,,,,,,,,,28887.0
5136,04/03/2021,Mizoram,40949.0,1149.0,262.0,31897.0,9052.0,19516.0,12381.0,0.0,9.0,31888.0,,,,,,,,,,,,31897.0
5137,05/03/2021,Mizoram,41973.0,1185.0,265.0,32860.0,9113.0,20179.0,12681.0,0.0,10.0,32850.0,,,,,,,,,,,,32860.0
5138,06/03/2021,Mizoram,43202.0,1224.0,268.0,34027.0,9175.0,21069.0,12957.0,1.0,10.0,34017.0,,,,,,,,,,,,34027.0
5139,07/03/2021,Mizoram,43295.0,1248.0,270.0,34115.0,9180.0,21129.0,12985.0,1.0,10.0,34105.0,,,,,,,,,,,,34115.0
5140,08/03/2021,Mizoram,44969.0,1310.0,279.0,35707.0,9262.0,21934.0,13772.0,1.0,13.0,35694.0,,,,,,,,,,,,35707.0
5141,09/03/2021,Mizoram,38483.0,6900.0,31.0,29116.0,9367.0,23501.0,14981.0,1.0,0.0,38482.0,,,,,,,,,,,,38483.0
5142,10/03/2021,Mizoram,42391.0,7700.0,35.0,32615.0,9776.0,25577.0,16813.0,1.0,0.0,42390.0,,,,,,,,,,,,42391.0
5143,11/03/2021,Mizoram,44393.0,3300.0,15.0,34423.0,9970.0,26551.0,17841.0,1.0,0.0,44392.0,,,,,,,,,,,,44393.0
5144,12/03/2021,Mizoram,45638.0,2550.0,12.0,35607.0,10031.0,27221.0,18416.0,1.0,0.0,45637.0,,,,,,,,,,,,45638.0
5145,13/03/2021,Mizoram,46187.0,650.0,3.0,36085.0,10102.0,27508.0,18678.0,1.0,0.0,46186.0,,,,,,,,,,,,46187.0
5146,14/03/2021,Mizoram,46297.0,400.0,4.0,36127.0,10170.0,27594.0,18702.0,1.0,0.0,46296.0,,,,,,,,,,,,46297.0
5147,15/03/2021,Mizoram,48167.0,4720.0,16.0,37646.0,10521.0,28583.0,19583.0,1.0,0.0,48166.0,,,,,,,,,,,,48167.0
5148,16/03/2021,Mizoram,60487.0,4200.0,14.0,49846.0,10641.0,29373.0,20472.0,1.0,0.0,60487.0,,417.0,,,,17076.0,17270.0,15485.0,,,,49846.0
5149,17/03/2021,Mizoram,61546.0,2400.0,7.0,50734.0,10812.0,29817.0,20916.0,1.0,0.0,61546.0,,417.0,,,,17144.0,17439.0,16136.0,,,,50734.0
5150,18/03/2021,Mizoram,62606.0,3350.0,12.0,51317.0,11289.0,30177.0,21139.0,1.0,0.0,62606.0,,418.0,,,,17275.0,17640.0,16387.0,,,,51317.0
5151,19/03/2021,Mizoram,63610.0,1870.0,12.0,51766.0,11844.0,30487.0,21278.0,1.0,0.0,63610.0,,419.0,,,,17395.0,17794.0,16562.0,,,,51766.0
5152,20/03/2021,Mizoram,64315.0,850.0,5.0,52285.0,12030.0,30780.0,21504.0,1.0,0.0,64315.0,,421.0,,,,17439.0,17877.0,16954.0,,,,52285.0
5153,21/03/2021,Mizoram,64323.0,100.0,1.0,52290.0,12033.0,30784.0,21505.0,1.0,0.0,64323.0,,422.0,,,,17441.0,17879.0,16955.0,,,,52290.0
5154,22/03/2021,Mizoram,65068.0,2250.0,7.0,52737.0,12331.0,31154.0,21582.0,1.0,0.0,65068.0,,422.0,,,,17596.0,18067.0,17059.0,,,,52737.0
5155,23/03/2021,Mizoram,65994.0,2450.0,12.0,53292.0,12702.0,31535.0,21756.0,1.0,0.0,65994.0,,422.0,,,,17793.0,18268.0,17216.0,,,,53292.0
5156,24/03/2021,Mizoram,66383.0,1100.0,6.0,53576.0,12807.0,31727.0,21848.0,1.0,0.0,66383.0,,422.0,,,,17860.0,18379.0,17322.0,,,,53576.0
5157,25/03/2021,Mizoram,67197.0,1900.0,11.0,54238.0,12959.0,32167.0,22070.0,1.0,0.0,67197.0,,422.0,,,,17994.0,18605.0,17624.0,,,,54238.0
5158,26/03/2021,Mizoram,68394.0,2700.0,11.0,55046.0,13348.0,32715.0,22329.0,2.0,0.0,68394.0,,425.0,,,,18232.0,18953.0,17845.0,,,,55046.0
5159,27/03/2021,Mizoram,68478.0,0.0,0.0,55117.0,13361.0,32762.0,22353.0,2.0,0.0,68478.0,,425.0,,,,18252.0,18992.0,17857.0,,,,55117.0
5160,28/03/2021,Mizoram,68478.0,4380.0,26.0,55117.0,13361.0,32762.0,22353.0,2.0,0.0,68478.0,,425.0,,,,18252.0,18992.0,17857.0,,,,55117.0
5161,29/03/2021,Mizoram,68563.0,5440.0,32.0,55127.0,13436.0,32770.0,22355.0,2.0,0.0,68563.0,,425.0,,,,18259.0,18995.0,17857.0,,,,55127.0
5162,30/03/2021,Mizoram,69079.0,8375.0,43.0,55372.0,13707.0,32930.0,22440.0,2.0,0.0,69079.0,,425.0,,,,18309.0,19088.0,17959.0,,,,55372.0
5163,31/03/2021,Mizoram,69467.0,6950.0,37.0,55525.0,13942.0,33044.0,22479.0,2.0,0.0,69467.0,,425.0,,,,18330.0,19166.0,18013.0,,,,55525.0
5164,01/04/2021,Mizoram,70821.0,4100.0,22.0,56300.0,14521.0,33456.0,22842.0,2.0,0.0,70821.0,,425.0,,,,18411.0,19541.0,18331.0,,,,56300.0
5165,02/04/2021,Mizoram,71071.0,2700.0,15.0,56479.0,14592.0,33539.0,22938.0,2.0,0.0,71071.0,,425.0,,,,18408.0,19636.0,18418.0,,,,56479.0
5166,03/04/2021,Mizoram,71115.0,100.0,1.0,56509.0,14606.0,33566.0,22941.0,2.0,0.0,71115.0,,425.0,,,,18425.0,19646.0,18421.0,,,,56509.0
5167,04/04/2021,Mizoram,71104.0,2400.0,19.0,56489.0,14615.0,33539.0,22948.0,2.0,0.0,71104.0,,430.0,,,,18411.0,19636.0,18425.0,,,,56489.0
5168,05/04/2021,Mizoram,72921.0,7620.0,41.0,57385.0,15536.0,33940.0,23443.0,2.0,0.0,72921.0,,430.0,,,,18420.0,20053.0,18895.0,,,,57385.0
5169,06/04/2021,Mizoram,74692.0,11450.0,46.0,58483.0,16209.0,34449.0,24032.0,2.0,0.0,74692.0,,430.0,,,,18428.0,20668.0,19370.0,,,,58483.0
5170,07/04/2021,Mizoram,81395.0,6500.0,30.0,63319.0,18076.0,36562.0,26755.0,2.0,0.0,81395.0,,430.0,,,,18448.0,23775.0,21079.0,,,,63319.0
5171,08/04/2021,Mizoram,86987.0,6800.0,29.0,67481.0,19506.0,38486.0,28993.0,2.0,0.0,86987.0,,432.0,,,,18456.0,26526.0,22482.0,,,,67481.0
5172,09/04/2021,Mizoram,92638.0,10850.0,39.0,71502.0,21136.0,40347.0,31153.0,2.0,0.0,92638.0,,432.0,,,,18507.0,28926.0,24052.0,,,,71502.0
5173,10/04/2021,Mizoram,95185.0,4100.0,19.0,73602.0,21583.0,41310.0,32290.0,2.0,0.0,95185.0,,432.0,,,,18563.0,30351.0,24671.0,,,,73602.0
5174,11/04/2021,Mizoram,95806.0,2270.0,11.0,73831.0,21975.0,41391.0,32438.0,2.0,0.0,95806.0,,432.0,,,,18538.0,30485.0,24791.0,,,,73831.0
5175,12/04/2021,Mizoram,104685.0,13550.0,54.0,80821.0,23864.0,44647.0,36171.0,3.0,0.0,104685.0,,432.0,,,,18631.0,34498.0,27675.0,,,,80821.0
5176,13/04/2021,Mizoram,112978.0,11450.0,51.0,87233.0,25745.0,47632.0,39598.0,3.0,0.0,112978.0,,446.0,,,,18808.0,38530.0,29878.0,,,,87233.0
5177,14/04/2021,Mizoram,123061.0,11200.0,50.0,94676.0,28385.0,51060.0,43613.0,3.0,0.0,123061.0,,447.0,,,,18913.0,42511.0,33235.0,,,,94676.0
5178,15/04/2021,Mizoram,135355.0,12850.0,54.0,105054.0,30301.0,55665.0,49384.0,5.0,0.0,135355.0,,454.0,,,,19089.0,48979.0,36968.0,,,,105054.0
5179,16/04/2021,Mizoram,148073.0,12920.0,53.0,117031.0,31042.0,60831.0,56195.0,5.0,0.0,148073.0,,456.0,,,,19436.0,56385.0,41191.0,,,,117031.0
5180,17/04/2021,Mizoram,153856.0,5900.0,27.0,122168.0,31688.0,62986.0,59177.0,5.0,0.0,153856.0,,464.0,,,,19508.0,59470.0,43171.0,,,,122168.0
5181,18/04/2021,Mizoram,154183.0,450.0,4.0,122419.0,31764.0,63134.0,59280.0,5.0,0.0,154183.0,,467.0,,,,19519.0,59656.0,43225.0,,,,122419.0
5182,19/04/2021,Mizoram,164801.0,13650.0,59.0,131756.0,33045.0,67388.0,64362.0,6.0,0.0,164801.0,,469.0,,,,19663.0,65416.0,46659.0,,,,131756.0
5183,20/04/2021,Mizoram,174363.0,19650.0,57.0,139758.0,34605.0,71205.0,68547.0,6.0,0.0,174363.0,,469.0,,,,19794.0,70165.0,49781.0,,,,139758.0
5184,21/04/2021,Mizoram,180790.0,16200.0,49.0,144492.0,36298.0,73668.0,70818.0,6.0,0.0,180790.0,,469.0,,,,20013.0,72974.0,51487.0,,,,144492.0
5185,22/04/2021,Mizoram,194062.0,20720.0,65.0,156035.0,38027.0,79146.0,76883.0,6.0,0.0,194062.0,,480.0,,,,20438.0,80259.0,55320.0,,,,156035.0
5186,23/04/2021,Mizoram,206177.0,17500.0,56.0,166665.0,39512.0,84167.0,82491.0,7.0,0.0,206177.0,,493.0,,,,21278.0,87234.0,58134.0,,,,166665.0
5187,24/04/2021,Mizoram,211110.0,8040.0,29.0,170765.0,40345.0,86195.0,84563.0,7.0,0.0,211110.0,,528.0,,,,21532.0,89894.0,59292.0,,,,170765.0
5188,25/04/2021,Mizoram,211220.0,550.0,4.0,170856.0,40364.0,86239.0,84610.0,7.0,0.0,211220.0,,542.0,,,,21530.0,89960.0,59319.0,,,,170856.0
5189,26/04/2021,Mizoram,223397.0,16362.0,57.0,181115.0,42282.0,91102.0,90006.0,7.0,0.0,223397.0,,544.0,,,,21924.0,96158.0,62965.0,,,,181115.0
5190,27/04/2021,Mizoram,235041.0,25810.0,65.0,191344.0,43697.0,95978.0,95359.0,7.0,0.0,235041.0,,545.0,,,,29137.0,95973.0,66165.0,,,,191344.0
5191,28/04/2021,Mizoram,243364.0,16939.0,49.0,199452.0,43912.0,99905.0,99540.0,7.0,0.0,243364.0,,557.0,,,,29294.0,101066.0,69021.0,,,,199452.0
5192,29/04/2021,Mizoram,250446.0,16685.0,48.0,206116.0,44330.0,103083.0,103024.0,9.0,0.0,250446.0,,562.0,,,,29451.0,105182.0,71471.0,,,,206116.0
5193,30/04/2021,Mizoram,256067.0,13050.0,47.0,211334.0,44733.0,105870.0,105455.0,9.0,0.0,256067.0,,566.0,,,,30297.0,108176.0,72848.0,,,,211334.0
5194,01/05/2021,Mizoram,258683.0,5823.0,16.0,213866.0,44817.0,107117.0,106740.0,9.0,0.0,258683.0,,569.0,,,,30449.0,109639.0,73765.0,,,,213866.0
5195,02/05/2021,Mizoram,258830.0,0.0,0.0,213944.0,44886.0,107163.0,106772.0,9.0,0.0,258830.0,,572.0,,,,30436.0,109721.0,73775.0,,,,213944.0
5196,03/05/2021,Mizoram,263667.0,10950.0,37.0,218549.0,45118.0,109485.0,109055.0,9.0,0.0,263667.0,,573.0,,,,30716.0,112391.0,75430.0,,,,218549.0
5197,04/05/2021,Mizoram,267561.0,15500.0,44.0,221866.0,45695.0,111268.0,110589.0,9.0,0.0,267561.0,,592.0,,,,31382.0,114302.0,76170.0,,,,221866.0
5198,05/05/2021,Mizoram,271141.0,11100.0,35.0,225232.0,45909.0,113033.0,112190.0,9.0,0.0,271141.0,,592.0,,,,31810.0,116294.0,77116.0,,,,225232.0
5199,06/05/2021,Mizoram,275391.0,11133.0,44.0,229045.0,46346.0,115040.0,113996.0,9.0,0.0,275391.0,,594.0,,,,32443.0,118520.0,78069.0,,,,229045.0
5200,07/05/2021,Mizoram,277545.0,9915.0,36.0,230710.0,46835.0,115942.0,114759.0,9.0,0.0,277545.0,,611.0,,,,32676.0,119508.0,78513.0,,,,230710.0
5201,08/05/2021,Mizoram,278197.0,2400.0,12.0,231165.0,47032.0,116223.0,114933.0,9.0,0.0,278197.0,,611.0,,,,32739.0,119776.0,78637.0,,,,231165.0
5202,09/05/2021,Mizoram,278252.0,200.0,1.0,231200.0,47052.0,116257.0,114934.0,9.0,0.0,278252.0,,611.0,,,,32765.0,119785.0,78637.0,,,,231200.0
5203,10/05/2021,Mizoram,281704.0,12763.0,42.0,232953.0,48751.0,117250.0,115693.0,10.0,0.0,281704.0,,611.0,,,,33227.0,120706.0,79006.0,,,,232953.0
5204,11/05/2021,Mizoram,284591.0,7700.0,44.0,234267.0,50324.0,117951.0,116306.0,10.0,0.0,284591.0,,611.0,,,,33405.0,121538.0,79310.0,,,,234267.0
5205,12/05/2021,Mizoram,286159.0,10840.0,50.0,235691.0,50468.0,118730.0,116951.0,10.0,0.0,286159.0,,611.0,,,,33551.0,122455.0,79671.0,,,,235691.0
5206,13/05/2021,Mizoram,288186.0,10318.0,46.0,237420.0,50766.0,119619.0,117791.0,10.0,0.0,288186.0,,623.0,,,,33840.0,123522.0,80043.0,,,,237420.0
