,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
5301,16/01/2021,Nagaland,94.0,9.0,9.0,94.0,0.0,50.0,44.0,0.0,0.0,94.0,,,,,,,,,,,,94.0
5302,17/01/2021,Nagaland,94.0,36.0,21.0,94.0,0.0,50.0,44.0,0.0,0.0,94.0,,,,,,,,,,,,94.0
5303,18/01/2021,Nagaland,315.0,86.0,53.0,315.0,0.0,133.0,182.0,0.0,0.0,315.0,,,,,,,,,,,,315.0
5304,19/01/2021,Nagaland,649.0,120.0,78.0,649.0,0.0,240.0,409.0,0.0,0.0,649.0,,,,,,,,,,,,649.0
5305,20/01/2021,Nagaland,1070.0,159.0,101.0,1070.0,0.0,394.0,676.0,0.0,0.0,1070.0,,,,,,,,,,,,1070.0
5306,21/01/2021,Nagaland,1267.0,169.0,109.0,1267.0,0.0,461.0,806.0,0.0,0.0,1267.0,,,,,,,,,,,,1267.0
5307,22/01/2021,Nagaland,1563.0,171.0,109.0,1563.0,0.0,563.0,1000.0,0.0,0.0,1563.0,,,,,,,,,,,,1563.0
5308,23/01/2021,Nagaland,1574.0,179.0,111.0,1574.0,0.0,568.0,1006.0,0.0,0.0,1574.0,,,,,,,,,,,,1574.0
5309,24/01/2021,Nagaland,1583.0,193.0,114.0,1583.0,0.0,573.0,1010.0,0.0,0.0,1583.0,,,,,,,,,,,,1583.0
5310,25/01/2021,Nagaland,2447.0,193.0,114.0,2447.0,0.0,857.0,1590.0,0.0,0.0,2447.0,,,,,,,,,,,,2447.0
5311,26/01/2021,Nagaland,2491.0,214.0,118.0,2491.0,0.0,870.0,1621.0,0.0,0.0,2491.0,,,,,,,,,,,,2491.0
5312,27/01/2021,Nagaland,3371.0,215.0,118.0,3371.0,0.0,1269.0,2101.0,1.0,0.0,3371.0,,,,,,,,,,,,3371.0
5313,28/01/2021,Nagaland,3485.0,215.0,118.0,3485.0,0.0,1316.0,2168.0,1.0,0.0,3485.0,,,,,,,,,,,,3485.0
5314,29/01/2021,Nagaland,3509.0,215.0,118.0,3509.0,0.0,1322.0,2186.0,1.0,0.0,3509.0,,,,,,,,,,,,3509.0
5315,30/01/2021,Nagaland,3529.0,215.0,118.0,3529.0,0.0,1339.0,2189.0,1.0,0.0,3529.0,,,,,,,,,,,,3529.0
5316,31/01/2021,Nagaland,3530.0,216.0,118.0,3530.0,0.0,1339.0,2190.0,1.0,0.0,3530.0,,,,,,,,,,,,3530.0
5317,01/02/2021,Nagaland,3535.0,219.0,118.0,3535.0,0.0,1340.0,2194.0,1.0,0.0,3535.0,,,,,,,,,,,,3535.0
5318,02/02/2021,Nagaland,3630.0,230.0,119.0,3630.0,0.0,1394.0,2235.0,1.0,0.0,3630.0,,,,,,,,,,,,3630.0
5319,03/02/2021,Nagaland,3781.0,237.0,121.0,3781.0,0.0,1434.0,2346.0,1.0,0.0,3781.0,,,,,,,,,,,,3781.0
5320,04/02/2021,Nagaland,3958.0,241.0,123.0,3958.0,0.0,1511.0,2446.0,1.0,0.0,3958.0,,,,,,,,,,,,3958.0
5321,05/02/2021,Nagaland,4068.0,243.0,124.0,4068.0,0.0,1576.0,2491.0,1.0,0.0,4068.0,,,,,,,,,,,,4068.0
5322,06/02/2021,Nagaland,4092.0,248.0,126.0,4092.0,0.0,1582.0,2509.0,1.0,0.0,4092.0,,,,,,,,,,,,4092.0
