,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
5513,16/01/2021,Odisha,3420.0,138.0,127.0,3420.0,0.0,1440.0,1980.0,0.0,19.0,3401.0,,,,,,,,,,,,3420.0
5514,17/01/2021,Odisha,3536.0,322.0,210.0,3536.0,0.0,1487.0,2049.0,0.0,19.0,3517.0,,,,,,,,,,,,3536.0
5515,18/01/2021,Odisha,7591.0,559.0,314.0,7591.0,0.0,2729.0,4861.0,1.0,184.0,7407.0,,,,,,,,,,,,7591.0
5516,19/01/2021,Odisha,14807.0,678.0,341.0,14807.0,0.0,5840.0,8966.0,1.0,615.0,14192.0,,,,,,,,,,,,14807.0
5517,20/01/2021,Odisha,18568.0,1010.0,436.0,18568.0,0.0,7559.0,11008.0,1.0,1020.0,17548.0,,,,,,,,,,,,18568.0
5518,21/01/2021,Odisha,45331.0,1284.0,512.0,45331.0,0.0,13164.0,32163.0,4.0,1405.0,43926.0,,,,,,,,,,,,45331.0
5519,22/01/2021,Odisha,59241.0,1527.0,531.0,59241.0,0.0,17110.0,42127.0,4.0,2171.0,57070.0,,,,,,,,,,,,59241.0
5520,23/01/2021,Odisha,89092.0,1670.0,548.0,89092.0,0.0,22704.0,66382.0,6.0,3082.0,86010.0,,,,,,,,,,,,89092.0
5521,24/01/2021,Odisha,93846.0,1872.0,564.0,93846.0,0.0,24368.0,69472.0,6.0,3806.0,90040.0,,,,,,,,,,,,93846.0
5522,25/01/2021,Odisha,120698.0,1936.0,571.0,120698.0,0.0,29445.0,91246.0,7.0,4475.0,116223.0,,,,,,,,,,,,120698.0
5523,26/01/2021,Odisha,122870.0,1973.0,578.0,122870.0,0.0,29962.0,92901.0,7.0,4754.0,118116.0,,,,,,,,,,,,122870.0
5524,27/01/2021,Odisha,130317.0,2246.0,664.0,130317.0,0.0,32368.0,97942.0,7.0,6138.0,124179.0,,,,,,,,,,,,130317.0
5525,28/01/2021,Odisha,145998.0,2437.0,680.0,145998.0,0.0,36600.0,109390.0,8.0,7249.0,138749.0,,,,,,,,,,,,145998.0
5526,29/01/2021,Odisha,156711.0,2481.0,690.0,156711.0,0.0,39388.0,117315.0,8.0,8193.0,148518.0,,,,,,,,,,,,156711.0
5527,30/01/2021,Odisha,158329.0,2514.0,698.0,158329.0,0.0,40124.0,118197.0,8.0,9217.0,149112.0,,,,,,,,,,,,158329.0
5528,31/01/2021,Odisha,158567.0,2535.0,701.0,158567.0,0.0,40234.0,118325.0,8.0,9381.0,149186.0,,,,,,,,,,,,158567.0
5529,01/02/2021,Odisha,159914.0,2606.0,718.0,159914.0,0.0,40804.0,119102.0,8.0,10316.0,149598.0,,,,,,,,,,,,159914.0
5530,02/02/2021,Odisha,161078.0,2749.0,753.0,161078.0,0.0,41311.0,119759.0,8.0,11119.0,149959.0,,,,,,,,,,,,161078.0
5531,03/02/2021,Odisha,165753.0,2976.0,794.0,165753.0,0.0,42700.0,123044.0,9.0,11851.0,153902.0,,,,,,,,,,,,165753.0
5532,04/02/2021,Odisha,186187.0,3130.0,846.0,186187.0,0.0,46063.0,140115.0,9.0,12225.0,173962.0,,,,,,,,,,,,186187.0
5533,05/02/2021,Odisha,190943.0,3357.0,999.0,190943.0,0.0,47344.0,143573.0,26.0,12710.0,178233.0,,,,,,,,,,,,190943.0
5534,06/02/2021,Odisha,220401.0,3606.0,1082.0,220401.0,0.0,64690.0,155685.0,26.0,13430.0,206971.0,,,,,,,,,,,,220401.0
5535,07/02/2021,Odisha,223714.0,3909.0,1149.0,223714.0,0.0,66824.0,156864.0,26.0,13430.0,210284.0,,,,,,,,,,,,223714.0
5536,08/02/2021,Odisha,255650.0,4124.0,1173.0,255650.0,0.0,87507.0,168112.0,31.0,15216.0,240434.0,,,,,,,,,,,,255650.0
5537,09/02/2021,Odisha,282491.0,4406.0,1214.0,282491.0,0.0,106597.0,175862.0,32.0,17942.0,264549.0,,,,,,,,,,,,282491.0
5538,10/02/2021,Odisha,316166.0,4630.0,1250.0,316166.0,0.0,126258.0,189872.0,36.0,20655.0,295511.0,,,,,,,,,,,,316166.0
5539,11/02/2021,Odisha,334559.0,4864.0,1266.0,334559.0,0.0,140425.0,194094.0,40.0,23098.0,311461.0,,,,,,,,,,,,334559.0
5540,12/02/2021,Odisha,350417.0,5079.0,1269.0,350417.0,0.0,151452.0,198925.0,40.0,25260.0,325157.0,,,,,,,,,,,,350417.0
5541,13/02/2021,Odisha,360206.0,5218.0,1274.0,360203.0,3.0,157507.0,202655.0,41.0,28009.0,332194.0,,,,,,,,,,,,360203.0
5542,14/02/2021,Odisha,360679.0,5310.0,1279.0,360676.0,3.0,157780.0,202855.0,41.0,28086.0,332590.0,,,,,,,,,,,,360676.0
5543,15/02/2021,Odisha,377078.0,5442.0,1284.0,370662.0,6416.0,163428.0,207190.0,44.0,29113.0,341549.0,,,,,,,,,,,,370662.0
5544,16/02/2021,Odisha,380202.0,5531.0,1286.0,373167.0,7035.0,165357.0,207766.0,44.0,30088.0,343079.0,,,,,,,,,,,,373167.0
5545,17/02/2021,Odisha,392505.0,5863.0,1305.0,380869.0,11636.0,169717.0,211108.0,44.0,31367.0,349502.0,,,,,,,,,,,,380869.0
5546,18/02/2021,Odisha,407988.0,6103.0,1315.0,373908.0,34080.0,172003.0,201859.0,46.0,30707.0,343201.0,,,,,,,,,,,,373908.0
5547,19/02/2021,Odisha,462576.0,6421.0,1326.0,414702.0,47874.0,184788.0,229867.0,47.0,32942.0,381760.0,,,,,,,,,,,,414702.0
5548,20/02/2021,Odisha,489793.0,6585.0,1329.0,419252.0,70541.0,187866.0,231339.0,47.0,33417.0,385835.0,,,,,,,,,,,,419252.0
5549,21/02/2021,Odisha,491506.0,6717.0,1330.0,419492.0,72014.0,188029.0,231416.0,47.0,33428.0,386064.0,,,,,,,,,,,,419492.0
5550,22/02/2021,Odisha,519365.0,6897.0,1338.0,423769.0,95596.0,190642.0,233080.0,47.0,34232.0,389537.0,,,,,,,,,,,,423769.0
5551,23/02/2021,Odisha,531427.0,7035.0,1341.0,427468.0,103959.0,193269.0,234152.0,47.0,34630.0,392838.0,,,,,,,,,,,,427468.0
5552,24/02/2021,Odisha,539997.0,7302.0,1352.0,430731.0,109266.0,195441.0,235243.0,47.0,35369.0,395362.0,,,,,,,,,,,,430731.0
