,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
5725,16/01/2021,Puducherry,92.0,11.0,9.0,92.0,0.0,52.0,40.0,0.0,0.0,92.0,,,,,,,,,,,,92.0
5726,17/01/2021,Puducherry,92.0,19.0,9.0,92.0,0.0,52.0,40.0,0.0,0.0,92.0,,,,,,,,,,,,92.0
5727,18/01/2021,Puducherry,128.0,25.0,9.0,128.0,0.0,77.0,51.0,0.0,0.0,128.0,,,,,,,,,,,,128.0
5728,19/01/2021,Puducherry,249.0,31.0,9.0,249.0,0.0,138.0,111.0,0.0,0.0,249.0,,,,,,,,,,,,249.0
5729,20/01/2021,Puducherry,249.0,31.0,9.0,249.0,0.0,138.0,111.0,0.0,0.0,249.0,,,,,,,,,,,,249.0
5730,21/01/2021,Puducherry,249.0,36.0,9.0,249.0,0.0,138.0,111.0,0.0,0.0,249.0,,,,,,,,,,,,249.0
5731,22/01/2021,Puducherry,440.0,50.0,9.0,440.0,0.0,255.0,185.0,0.0,0.0,440.0,,,,,,,,,,,,440.0
5732,23/01/2021,Puducherry,813.0,55.0,9.0,813.0,0.0,454.0,359.0,0.0,0.0,813.0,,,,,,,,,,,,813.0
5733,24/01/2021,Puducherry,870.0,57.0,9.0,870.0,0.0,477.0,393.0,0.0,0.0,870.0,,,,,,,,,,,,870.0
5734,25/01/2021,Puducherry,1200.0,62.0,9.0,1200.0,0.0,621.0,579.0,0.0,0.0,1200.0,,,,,,,,,,,,1200.0
5735,26/01/2021,Puducherry,1205.0,62.0,9.0,1205.0,0.0,622.0,583.0,0.0,0.0,1205.0,,,,,,,,,,,,1205.0
5736,27/01/2021,Puducherry,1274.0,62.0,9.0,1274.0,0.0,648.0,626.0,0.0,0.0,1274.0,,,,,,,,,,,,1274.0
5737,28/01/2021,Puducherry,1302.0,74.0,10.0,1302.0,0.0,665.0,637.0,0.0,0.0,1302.0,,,,,,,,,,,,1302.0
5738,29/01/2021,Puducherry,1684.0,82.0,10.0,1684.0,0.0,820.0,863.0,1.0,0.0,1684.0,,,,,,,,,,,,1684.0
5739,30/01/2021,Puducherry,2069.0,84.0,10.0,2069.0,0.0,961.0,1106.0,2.0,0.0,2069.0,,,,,,,,,,,,2069.0
5740,31/01/2021,Puducherry,2077.0,95.0,14.0,2077.0,0.0,967.0,1108.0,2.0,0.0,2077.0,,,,,,,,,,,,2077.0
5741,01/02/2021,Puducherry,2316.0,100.0,14.0,2316.0,0.0,1087.0,1227.0,2.0,0.0,2316.0,,,,,,,,,,,,2316.0
5742,02/02/2021,Puducherry,2472.0,108.0,14.0,2472.0,0.0,1182.0,1288.0,2.0,0.0,2472.0,,,,,,,,,,,,2472.0
5743,03/02/2021,Puducherry,2640.0,121.0,16.0,2640.0,0.0,1285.0,1353.0,2.0,0.0,2640.0,,,,,,,,,,,,2640.0
5744,04/02/2021,Puducherry,2640.0,139.0,17.0,2640.0,0.0,1285.0,1353.0,2.0,0.0,2640.0,,,,,,,,,,,,2640.0
5745,05/02/2021,Puducherry,2984.0,139.0,17.0,2984.0,0.0,1471.0,1511.0,2.0,0.0,2984.0,,,,,,,,,,,,2984.0
5746,06/02/2021,Puducherry,2984.0,141.0,17.0,2984.0,0.0,1471.0,1511.0,2.0,0.0,2984.0,,,,,,,,,,,,2984.0
5747,07/02/2021,Puducherry,2984.0,146.0,17.0,2984.0,0.0,1471.0,1511.0,2.0,0.0,2984.0,,,,,,,,,,,,2984.0
5748,08/02/2021,Puducherry,3326.0,150.0,17.0,3326.0,0.0,1656.0,1668.0,2.0,0.0,3326.0,,,,,,,,,,,,3326.0
5749,09/02/2021,Puducherry,3728.0,157.0,17.0,3728.0,0.0,1842.0,1884.0,2.0,0.0,3728.0,,,,,,,,,,,,3728.0
5750,10/02/2021,Puducherry,4135.0,167.0,19.0,4135.0,0.0,2056.0,2077.0,2.0,0.0,4135.0,,,,,,,,,,,,4135.0
5751,11/02/2021,Puducherry,4144.0,172.0,19.0,4144.0,0.0,2063.0,2079.0,2.0,0.0,4144.0,,,,,,,,,,,,4144.0
5752,12/02/2021,Puducherry,4740.0,176.0,20.0,4740.0,0.0,2357.0,2381.0,2.0,0.0,4740.0,,,,,,,,,,,,4740.0
5753,13/02/2021,Puducherry,5311.0,188.0,22.0,5243.0,68.0,2616.0,2625.0,2.0,0.0,5243.0,,,,,,,,,,,,5243.0
5754,14/02/2021,Puducherry,5311.0,201.0,22.0,5243.0,68.0,2616.0,2625.0,2.0,0.0,5243.0,,,,,,,,,,,,5243.0
5755,15/02/2021,Puducherry,5974.0,217.0,22.0,5784.0,190.0,2863.0,2919.0,2.0,0.0,5784.0,,,,,,,,,,,,5784.0
5756,16/02/2021,Puducherry,6502.0,253.0,24.0,6197.0,305.0,3077.0,3118.0,2.0,0.0,6197.0,,,,,,,,,,,,6197.0
5757,17/02/2021,Puducherry,7072.0,266.0,24.0,6715.0,357.0,3329.0,3384.0,2.0,0.0,6715.0,,,,,,,,,,,,6715.0
5758,18/02/2021,Puducherry,7433.0,283.0,28.0,7023.0,410.0,3458.0,3563.0,2.0,0.0,7023.0,,,,,,,,,,,,7023.0
5759,19/02/2021,Puducherry,8863.0,291.0,28.0,8264.0,599.0,4009.0,4253.0,2.0,0.0,8264.0,,,,,,,,,,,,8264.0
5760,20/02/2021,Puducherry,9790.0,295.0,28.0,8983.0,807.0,4285.0,4696.0,2.0,0.0,8983.0,,,,,,,,,,,,8983.0
5761,21/02/2021,Puducherry,9790.0,300.0,28.0,8983.0,807.0,4285.0,4696.0,2.0,0.0,8983.0,,,,,,,,,,,,8983.0
5762,22/02/2021,Puducherry,10023.0,330.0,28.0,9092.0,931.0,4336.0,4754.0,2.0,0.0,9092.0,,,,,,,,,,,,9092.0
5763,23/02/2021,Puducherry,10132.0,337.0,28.0,9167.0,965.0,4374.0,4791.0,2.0,0.0,9167.0,,,,,,,,,,,,9167.0
5764,24/02/2021,Puducherry,10288.0,349.0,29.0,9295.0,993.0,4426.0,4867.0,2.0,0.0,9295.0,,,,,,,,,,,,9295.0
5765,25/02/2021,Puducherry,10599.0,361.0,29.0,9583.0,1016.0,4548.0,5033.0,2.0,0.0,9583.0,,,,,,,,,,,,9583.0
5766,26/02/2021,Puducherry,11254.0,370.0,30.0,10049.0,1205.0,4872.0,5175.0,2.0,0.0,10049.0,,,,,,,,,,,,10049.0
5767,27/02/2021,Puducherry,11254.0,370.0,30.0,10049.0,1205.0,4872.0,5175.0,2.0,0.0,10049.0,,,,,,,,,,,,10049.0
5768,28/02/2021,Puducherry,11254.0,384.0,32.0,10049.0,1205.0,4872.0,5175.0,2.0,0.0,10049.0,,,,,,,,,,,,10049.0
5769,01/03/2021,Puducherry,11254.0,426.0,33.0,10049.0,1205.0,4872.0,5175.0,2.0,0.0,10049.0,,,,,,,,,,,,10049.0
5770,02/03/2021,Puducherry,11912.0,505.0,44.0,10508.0,1404.0,5153.0,5353.0,2.0,0.0,10508.0,,,,,,,,,,,,10508.0
5771,03/03/2021,Puducherry,13087.0,618.0,44.0,11468.0,1619.0,5765.0,5701.0,2.0,0.0,11468.0,,,,,,,,,,,,11468.0
5772,04/03/2021,Puducherry,14349.0,677.0,46.0,12632.0,1717.0,6522.0,6108.0,2.0,0.0,12632.0,,,,,,,,,,,,12632.0
5773,05/03/2021,Puducherry,15833.0,1276.0,46.0,13862.0,1971.0,7318.0,6542.0,2.0,0.0,13862.0,,,,,,,,,,,,13862.0
5774,06/03/2021,Puducherry,17181.0,1312.0,46.0,14965.0,2216.0,7922.0,7041.0,2.0,0.0,14965.0,,,,,,,,,,,,14965.0
5775,07/03/2021,Puducherry,17186.0,1320.0,46.0,14969.0,2217.0,7925.0,7042.0,2.0,0.0,14969.0,,,,,,,,,,,,14969.0
5776,08/03/2021,Puducherry,18840.0,1344.0,47.0,16432.0,2408.0,8793.0,7637.0,2.0,0.0,16432.0,,,,,,,,,,,,16432.0
5777,09/03/2021,Puducherry,17940.0,6700.0,31.0,15179.0,2761.0,9676.0,8262.0,2.0,0.0,17939.0,,,,,,,,,,,,17940.0
5778,10/03/2021,Puducherry,19610.0,6600.0,32.0,16605.0,3005.0,10716.0,8892.0,2.0,0.0,19609.0,,,,,,,,,,,,19610.0
5779,11/03/2021,Puducherry,21232.0,6900.0,34.0,18039.0,3193.0,11713.0,9517.0,2.0,0.0,21231.0,,,,,,,,,,,,21232.0
5780,12/03/2021,Puducherry,22707.0,6700.0,32.0,19243.0,3464.0,12473.0,10232.0,2.0,0.0,22706.0,,,,,,,,,,,,22707.0
5781,13/03/2021,Puducherry,24491.0,6900.0,33.0,20730.0,3761.0,13382.0,11107.0,2.0,0.0,24490.0,,,,,,,,,,,,24491.0
5782,14/03/2021,Puducherry,24531.0,0.0,0.0,20768.0,3763.0,13398.0,11131.0,2.0,0.0,24530.0,,,,,,,,,,,,24531.0
5783,15/03/2021,Puducherry,26694.0,6650.0,33.0,22703.0,3991.0,14546.0,12146.0,2.0,0.0,26693.0,,,,,,,,,,,,26694.0
5784,16/03/2021,Puducherry,32136.0,7100.0,37.0,27876.0,4260.0,15179.0,12695.0,2.0,0.0,32136.0,,11.0,,,,10903.0,9159.0,7788.0,,,,27876.0
5785,17/03/2021,Puducherry,36669.0,7150.0,38.0,32194.0,4475.0,17454.0,14737.0,3.0,0.0,36669.0,,11.0,,,,11889.0,10348.0,9930.0,,,,32194.0
5786,18/03/2021,Puducherry,39618.0,7150.0,38.0,34800.0,4818.0,18906.0,15891.0,3.0,0.0,39618.0,,11.0,,,,12637.0,11245.0,10889.0,,,,34800.0
5787,19/03/2021,Puducherry,42192.0,7100.0,36.0,36968.0,5224.0,20063.0,16902.0,3.0,0.0,42192.0,,11.0,,,,13346.0,11945.0,11648.0,,,,36968.0
5788,20/03/2021,Puducherry,45828.0,7000.0,38.0,40127.0,5701.0,21511.0,18612.0,4.0,0.0,45828.0,,11.0,,,,14777.0,12848.0,12472.0,,,,40127.0
5789,21/03/2021,Puducherry,45978.0,0.0,0.0,40268.0,5710.0,21591.0,18673.0,4.0,0.0,45978.0,,11.0,,,,14817.0,12907.0,12514.0,,,,40268.0
5790,22/03/2021,Puducherry,48951.0,5900.0,39.0,43031.0,5920.0,22945.0,20082.0,4.0,0.0,48951.0,,11.0,,,,15636.0,13749.0,13615.0,,,,43031.0
5791,23/03/2021,Puducherry,52280.0,5900.0,38.0,46116.0,6164.0,24502.0,21610.0,4.0,38.0,52242.0,,11.0,,,,16697.0,14695.0,14691.0,,,,46116.0
5792,24/03/2021,Puducherry,56958.0,6100.0,37.0,50684.0,6274.0,26685.0,23995.0,4.0,74.0,56884.0,,12.0,,,,18682.0,16073.0,15891.0,,,,50684.0
