,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
5937,16/01/2021,Punjab,336.0,63.0,55.0,336.0,0.0,172.0,164.0,0.0,0.0,336.0,,,,,,,,,,,,336.0
5938,17/01/2021,Punjab,338.0,141.0,66.0,338.0,0.0,172.0,166.0,0.0,0.0,338.0,,,,,,,,,,,,338.0
5939,18/01/2021,Punjab,678.0,223.0,92.0,678.0,0.0,328.0,350.0,0.0,0.0,678.0,,,,,,,,,,,,678.0
5940,19/01/2021,Punjab,1529.0,286.0,118.0,1529.0,0.0,759.0,770.0,0.0,0.0,1529.0,,,,,,,,,,,,1529.0
5941,20/01/2021,Punjab,2432.0,398.0,163.0,2432.0,0.0,1221.0,1211.0,0.0,0.0,2432.0,,,,,,,,,,,,2432.0
5942,21/01/2021,Punjab,4780.0,656.0,266.0,4780.0,0.0,2434.0,2346.0,0.0,0.0,4780.0,,,,,,,,,,,,4780.0
5943,22/01/2021,Punjab,9676.0,885.0,319.0,9676.0,0.0,4784.0,4892.0,0.0,0.0,9676.0,,,,,,,,,,,,9676.0
5944,23/01/2021,Punjab,16519.0,988.0,324.0,16519.0,0.0,8277.0,8242.0,0.0,0.0,16519.0,,,,,,,,,,,,16519.0
5945,24/01/2021,Punjab,17712.0,1189.0,352.0,17712.0,0.0,8813.0,8899.0,0.0,0.0,17712.0,,,,,,,,,,,,17712.0
5946,25/01/2021,Punjab,26017.0,1277.0,359.0,26017.0,0.0,12818.0,13198.0,1.0,0.0,26017.0,,,,,,,,,,,,26017.0
5947,26/01/2021,Punjab,26213.0,1375.0,361.0,26213.0,0.0,12930.0,13282.0,1.0,0.0,26213.0,,,,,,,,,,,,26213.0
5948,27/01/2021,Punjab,33121.0,1621.0,367.0,33121.0,0.0,16431.0,16689.0,1.0,0.0,33121.0,,,,,,,,,,,,33121.0
5949,28/01/2021,Punjab,39511.0,1835.0,373.0,39511.0,0.0,19300.0,20209.0,2.0,0.0,39511.0,,,,,,,,,,,,39511.0
5950,29/01/2021,Punjab,42210.0,1952.0,375.0,42210.0,0.0,20500.0,21708.0,2.0,0.0,42210.0,,,,,,,,,,,,42210.0
5951,30/01/2021,Punjab,45648.0,2001.0,375.0,45648.0,0.0,22046.0,23600.0,2.0,0.0,45648.0,,,,,,,,,,,,45648.0
5952,31/01/2021,Punjab,45738.0,2107.0,375.0,45738.0,0.0,22100.0,23636.0,2.0,0.0,45738.0,,,,,,,,,,,,45738.0
5953,01/02/2021,Punjab,47903.0,2230.0,375.0,47903.0,0.0,23207.0,24694.0,2.0,0.0,47903.0,,,,,,,,,,,,47903.0
5954,02/02/2021,Punjab,49663.0,2375.0,387.0,49663.0,0.0,23975.0,25686.0,2.0,0.0,49663.0,,,,,,,,,,,,49663.0
5955,03/02/2021,Punjab,52241.0,2612.0,408.0,52241.0,0.0,25252.0,26986.0,3.0,0.0,52241.0,,,,,,,,,,,,52241.0
5956,04/02/2021,Punjab,56208.0,2856.0,418.0,56208.0,0.0,27820.0,28384.0,4.0,0.0,56208.0,,,,,,,,,,,,56208.0
5957,05/02/2021,Punjab,60878.0,3030.0,432.0,60878.0,0.0,31099.0,29775.0,4.0,0.0,60878.0,,,,,,,,,,,,60878.0
5958,06/02/2021,Punjab,64399.0,3108.0,432.0,64399.0,0.0,33847.0,30545.0,7.0,0.0,64399.0,,,,,,,,,,,,64399.0
5959,07/02/2021,Punjab,64401.0,3277.0,433.0,64401.0,0.0,33848.0,30546.0,7.0,0.0,64401.0,,,,,,,,,,,,64401.0
5960,08/02/2021,Punjab,70250.0,3521.0,439.0,70250.0,0.0,38331.0,31912.0,7.0,12.0,70238.0,,,,,,,,,,,,70250.0
5961,09/02/2021,Punjab,75851.0,3684.0,440.0,75851.0,0.0,42612.0,33232.0,7.0,29.0,75822.0,,,,,,,,,,,,75851.0
5962,10/02/2021,Punjab,80350.0,3903.0,442.0,80350.0,0.0,46221.0,34122.0,7.0,29.0,80321.0,,,,,,,,,,,,80350.0
5963,11/02/2021,Punjab,85911.0,4127.0,447.0,85911.0,0.0,50566.0,35337.0,8.0,30.0,85881.0,,,,,,,,,,,,85911.0
5964,12/02/2021,Punjab,90012.0,4272.0,448.0,90012.0,0.0,53722.0,36282.0,8.0,31.0,89981.0,,,,,,,,,,,,90012.0
5965,13/02/2021,Punjab,92050.0,4334.0,451.0,91988.0,62.0,55382.0,36598.0,8.0,74.0,91914.0,,,,,,,,,,,,91988.0
5966,14/02/2021,Punjab,92050.0,4457.0,452.0,91988.0,62.0,55382.0,36598.0,8.0,74.0,91914.0,,,,,,,,,,,,91988.0
5967,15/02/2021,Punjab,97181.0,4686.0,453.0,96153.0,1028.0,58562.0,37582.0,9.0,76.0,96077.0,,,,,,,,,,,,96153.0
5968,16/02/2021,Punjab,102258.0,4855.0,453.0,100270.0,1988.0,61730.0,38531.0,9.0,76.0,100194.0,,,,,,,,,,,,100270.0
5969,17/02/2021,Punjab,106279.0,5115.0,454.0,103601.0,2678.0,64234.0,39358.0,9.0,80.0,103521.0,,,,,,,,,,,,103601.0
5970,18/02/2021,Punjab,107749.0,5406.0,455.0,102775.0,4974.0,64876.0,37890.0,9.0,85.0,102690.0,,,,,,,,,,,,102775.0
5971,19/02/2021,Punjab,122526.0,5639.0,457.0,113959.0,8567.0,71851.0,42099.0,9.0,87.0,113872.0,,,,,,,,,,,,113959.0
5972,20/02/2021,Punjab,128999.0,5726.0,457.0,116708.0,12291.0,74066.0,42633.0,9.0,91.0,116617.0,,,,,,,,,,,,116708.0
5973,21/02/2021,Punjab,129510.0,5863.0,457.0,116815.0,12695.0,74135.0,42671.0,9.0,91.0,116724.0,,,,,,,,,,,,116815.0
5974,22/02/2021,Punjab,140314.0,6159.0,458.0,121967.0,18347.0,78228.0,43730.0,9.0,118.0,121849.0,,,,,,,,,,,,121967.0
5975,23/02/2021,Punjab,149544.0,6398.0,460.0,128224.0,21320.0,83283.0,44932.0,9.0,122.0,128102.0,,,,,,,,,,,,128224.0
