,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
6149,16/01/2021,Rajasthan,3285.0,185.0,170.0,3285.0,0.0,2036.0,1249.0,0.0,117.0,3168.0,,,,,,,,,,,,3285.0
6150,17/01/2021,Rajasthan,3455.0,461.0,199.0,3455.0,0.0,2163.0,1292.0,0.0,118.0,3337.0,,,,,,,,,,,,3455.0
6151,18/01/2021,Rajasthan,4037.0,744.0,266.0,4037.0,0.0,2326.0,1710.0,1.0,232.0,3805.0,,,,,,,,,,,,4037.0
6152,19/01/2021,Rajasthan,13022.0,838.0,284.0,13022.0,0.0,7042.0,5979.0,1.0,681.0,12341.0,,,,,,,,,,,,13022.0
6153,20/01/2021,Rajasthan,13146.0,970.0,319.0,13146.0,0.0,7102.0,6043.0,1.0,681.0,12465.0,,,,,,,,,,,,13146.0
6154,21/01/2021,Rajasthan,13605.0,1167.0,364.0,13605.0,0.0,7259.0,6345.0,1.0,681.0,12924.0,,,,,,,,,,,,13605.0
6155,22/01/2021,Rajasthan,24545.0,1507.0,552.0,24545.0,0.0,12804.0,11738.0,3.0,951.0,23594.0,,,,,,,,,,,,24545.0
6156,23/01/2021,Rajasthan,47915.0,2113.0,789.0,47915.0,0.0,23942.0,23961.0,12.0,1180.0,46735.0,,,,,,,,,,,,47915.0
6157,24/01/2021,Rajasthan,74727.0,3169.0,1451.0,74727.0,0.0,35678.0,39036.0,13.0,1651.0,73076.0,,,,,,,,,,,,74727.0
6158,25/01/2021,Rajasthan,141245.0,3769.0,1768.0,141245.0,0.0,59459.0,81757.0,29.0,2365.0,138880.0,,,,,,,,,,,,141245.0
6159,26/01/2021,Rajasthan,141527.0,4471.0,2087.0,141527.0,0.0,59599.0,81899.0,29.0,2365.0,139162.0,,,,,,,,,,,,141527.0
6160,27/01/2021,Rajasthan,218831.0,5002.0,2233.0,218831.0,0.0,88284.0,130513.0,34.0,4864.0,213967.0,,,,,,,,,,,,218831.0
6161,28/01/2021,Rajasthan,239877.0,6174.0,2594.0,239877.0,0.0,99567.0,140275.0,35.0,7030.0,232847.0,,,,,,,,,,,,239877.0
6162,29/01/2021,Rajasthan,302265.0,6350.0,2605.0,302265.0,0.0,123136.0,179088.0,41.0,7775.0,294490.0,,,,,,,,,,,,302265.0
6163,30/01/2021,Rajasthan,307923.0,6457.0,2609.0,307923.0,0.0,126035.0,181841.0,47.0,7775.0,300148.0,,,,,,,,,,,,307923.0
6164,31/01/2021,Rajasthan,309565.0,6538.0,2611.0,309565.0,0.0,126921.0,182597.0,47.0,7775.0,301790.0,,,,,,,,,,,,309565.0
6165,01/02/2021,Rajasthan,313321.0,6924.0,2622.0,313321.0,0.0,129104.0,184170.0,47.0,7775.0,305546.0,,,,,,,,,,,,313321.0
6166,02/02/2021,Rajasthan,319352.0,7829.0,2737.0,319352.0,0.0,132391.0,186913.0,48.0,7846.0,311506.0,,,,,,,,,,,,319352.0
6167,03/02/2021,Rajasthan,343265.0,8356.0,2909.0,343265.0,0.0,141962.0,201253.0,50.0,8230.0,335035.0,,,,,,,,,,,,343265.0
6168,04/02/2021,Rajasthan,364452.0,8899.0,3100.0,364452.0,0.0,159794.0,204608.0,50.0,8486.0,355966.0,,,,,,,,,,,,364452.0
6169,05/02/2021,Rajasthan,392138.0,9657.0,3415.0,392138.0,0.0,178890.0,213198.0,50.0,14621.0,377517.0,,,,,,,,,,,,392138.0
6170,06/02/2021,Rajasthan,434782.0,9814.0,3450.0,434782.0,0.0,217019.0,217712.0,51.0,41376.0,393406.0,,,,,,,,,,,,434782.0
6171,07/02/2021,Rajasthan,436384.0,10307.0,3554.0,436384.0,0.0,218459.0,217874.0,51.0,41376.0,395008.0,,,,,,,,,,,,436384.0
6172,08/02/2021,Rajasthan,462139.0,10354.0,3563.0,462139.0,0.0,241204.0,220884.0,51.0,60860.0,401279.0,,,,,,,,,,,,462139.0
6173,09/02/2021,Rajasthan,467360.0,11159.0,3738.0,467360.0,0.0,245726.0,221583.0,51.0,63847.0,403513.0,,,,,,,,,,,,467360.0
6174,10/02/2021,Rajasthan,534459.0,12011.0,3879.0,534459.0,0.0,304744.0,229664.0,51.0,104265.0,430194.0,,,,,,,,,,,,534459.0
6175,11/02/2021,Rajasthan,566165.0,12418.0,3925.0,566165.0,0.0,323837.0,242271.0,57.0,112490.0,453675.0,,,,,,,,,,,,566165.0
6176,12/02/2021,Rajasthan,582386.0,12550.0,3932.0,582386.0,0.0,337402.0,244927.0,57.0,122064.0,460322.0,,,,,,,,,,,,582386.0
6177,13/02/2021,Rajasthan,585570.0,12601.0,3939.0,585570.0,0.0,339932.0,245581.0,57.0,123301.0,462269.0,,,,,,,,,,,,585570.0
6178,14/02/2021,Rajasthan,586110.0,12893.0,3962.0,586110.0,0.0,340454.0,245599.0,57.0,123790.0,462320.0,,,,,,,,,,,,586110.0
6179,15/02/2021,Rajasthan,611493.0,13144.0,3990.0,603314.0,8179.0,353175.0,250082.0,57.0,127608.0,475706.0,,,,,,,,,,,,603314.0
6180,16/02/2021,Rajasthan,626481.0,13994.0,4246.0,612615.0,13866.0,359118.0,253439.0,58.0,128885.0,483730.0,,,,,,,,,,,,612615.0
6181,17/02/2021,Rajasthan,747482.0,14076.0,4248.0,732921.0,14561.0,443457.0,289405.0,59.0,157772.0,575149.0,,,,,,,,,,,,732921.0
6182,18/02/2021,Rajasthan,732405.0,14748.0,4306.0,717526.0,14879.0,436418.0,281050.0,58.0,158765.0,558761.0,,,,,,,,,,,,717526.0
6183,19/02/2021,Rajasthan,790236.0,15124.0,4307.0,772221.0,18015.0,471062.0,301096.0,63.0,165082.0,607139.0,,,,,,,,,,,,772221.0
6184,20/02/2021,Rajasthan,810063.0,15191.0,4307.0,773238.0,36825.0,471600.0,301575.0,63.0,165255.0,607983.0,,,,,,,,,,,,773238.0
6185,21/02/2021,Rajasthan,810077.0,15470.0,4308.0,773239.0,36838.0,471600.0,301576.0,63.0,165255.0,607984.0,,,,,,,,,,,,773239.0
6186,22/02/2021,Rajasthan,836494.0,15936.0,4310.0,773521.0,62973.0,471787.0,301675.0,59.0,165282.0,608239.0,,,,,,,,,,,,773521.0
6187,23/02/2021,Rajasthan,866185.0,16673.0,4311.0,774043.0,92142.0,472122.0,301862.0,59.0,165455.0,608588.0,,,,,,,,,,,,774043.0
6188,24/02/2021,Rajasthan,919887.0,17213.0,4364.0,774498.0,145389.0,472265.0,302174.0,59.0,165474.0,609024.0,,,,,,,,,,,,774498.0
6189,25/02/2021,Rajasthan,939812.0,18219.0,4369.0,788094.0,151718.0,482335.0,305686.0,73.0,167268.0,620826.0,,,,,,,,,,,,788094.0
6190,26/02/2021,Rajasthan,1010420.0,18338.0,4371.0,789478.0,220942.0,482873.0,306532.0,73.0,167373.0,622105.0,,,,,,,,,,,,789478.0
6191,27/02/2021,Rajasthan,1010420.0,18338.0,4371.0,789478.0,220942.0,482873.0,306532.0,73.0,167373.0,622105.0,,,,,,,,,,,,789478.0
6192,28/02/2021,Rajasthan,1010422.0,19650.0,4455.0,789480.0,220942.0,482875.0,306532.0,73.0,167374.0,622106.0,,,,,,,,,,,,789480.0
6193,01/03/2021,Rajasthan,1010422.0,22865.0,4580.0,789480.0,220942.0,482875.0,306532.0,73.0,167374.0,622106.0,,,,,,,,,,,,789480.0
6194,02/03/2021,Rajasthan,1213860.0,27612.0,4758.0,963857.0,250003.0,579882.0,383880.0,95.0,168009.0,795848.0,,,,,,,,,,,,963857.0
6195,03/03/2021,Rajasthan,1423769.0,32197.0,5222.0,1160351.0,263418.0,685656.0,474571.0,124.0,168392.0,991959.0,,,,,,,,,,,,1160351.0
6196,04/03/2021,Rajasthan,1532359.0,37461.0,5535.0,1256310.0,276049.0,737692.0,518483.0,135.0,168611.0,1087699.0,,,,,,,,,,,,1256310.0
6197,05/03/2021,Rajasthan,1783489.0,44135.0,5659.0,1486399.0,297090.0,858629.0,627596.0,174.0,169388.0,1317011.0,,,,,,,,,,,,1486399.0
6198,06/03/2021,Rajasthan,2024053.0,45889.0,5687.0,1704633.0,319420.0,970477.0,733943.0,213.0,171194.0,1533439.0,,,,,,,,,,,,1704633.0
6199,07/03/2021,Rajasthan,2037152.0,48439.0,5748.0,1716982.0,320170.0,976607.0,740162.0,213.0,171308.0,1545674.0,,,,,,,,,,,,1716982.0
6200,08/03/2021,Rajasthan,2225610.0,50416.0,5807.0,1888485.0,337125.0,1066552.0,821696.0,237.0,173356.0,1715129.0,,,,,,,,,,,,1888485.0
6201,09/03/2021,Rajasthan,1960495.0,260110.0,1115.0,1603603.0,356892.0,1112019.0,848228.0,248.0,190132.0,1770304.0,,,,,,,,,,,,1960495.0
6202,10/03/2021,Rajasthan,2085412.0,341275.0,1514.0,1685982.0,399430.0,1191172.0,893979.0,261.0,219703.0,1865650.0,,,,,,,,,,,,2085412.0
6203,11/03/2021,Rajasthan,2089766.0,25650.0,97.0,1689250.0,400516.0,1193914.0,895591.0,261.0,220883.0,1868824.0,,,,,,,,,,,,2089766.0
6204,12/03/2021,Rajasthan,2263958.0,510616.0,2229.0,1834674.0,429284.0,1290881.0,972806.0,271.0,235130.0,2028769.0,,,,,,,,,,,,2263958.0
6205,13/03/2021,Rajasthan,2446510.0,554552.0,2408.0,2002259.0,444251.0,1385578.0,1060645.0,287.0,242092.0,2204359.0,,,,,,,,,,,,2446510.0
