,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
6361,16/01/2021,Sikkim,7.0,2.0,2.0,7.0,0.0,3.0,4.0,0.0,0.0,7.0,,,,,,,,,,,,7.0
6362,17/01/2021,Sikkim,7.0,2.0,2.0,7.0,0.0,3.0,4.0,0.0,0.0,7.0,,,,,,,,,,,,7.0
6363,18/01/2021,Sikkim,7.0,6.0,3.0,7.0,0.0,3.0,4.0,0.0,0.0,7.0,,,,,,,,,,,,7.0
6364,19/01/2021,Sikkim,38.0,22.0,4.0,38.0,0.0,14.0,24.0,0.0,0.0,38.0,,,,,,,,,,,,38.0
6365,20/01/2021,Sikkim,62.0,26.0,5.0,62.0,0.0,24.0,38.0,0.0,0.0,62.0,,,,,,,,,,,,62.0
6366,21/01/2021,Sikkim,186.0,30.0,6.0,186.0,0.0,72.0,114.0,0.0,0.0,186.0,,,,,,,,,,,,186.0
6367,22/01/2021,Sikkim,296.0,32.0,6.0,296.0,0.0,121.0,175.0,0.0,0.0,296.0,,,,,,,,,,,,296.0
6368,23/01/2021,Sikkim,299.0,32.0,6.0,299.0,0.0,122.0,177.0,0.0,0.0,299.0,,,,,,,,,,,,299.0
6369,24/01/2021,Sikkim,309.0,33.0,7.0,309.0,0.0,126.0,183.0,0.0,0.0,309.0,,,,,,,,,,,,309.0
6370,25/01/2021,Sikkim,477.0,36.0,7.0,477.0,0.0,186.0,291.0,0.0,0.0,477.0,,,,,,,,,,,,477.0
6371,26/01/2021,Sikkim,490.0,42.0,8.0,490.0,0.0,191.0,299.0,0.0,0.0,490.0,,,,,,,,,,,,490.0
6372,27/01/2021,Sikkim,964.0,50.0,10.0,964.0,0.0,358.0,606.0,0.0,0.0,964.0,,,,,,,,,,,,964.0
6373,28/01/2021,Sikkim,1431.0,55.0,11.0,1431.0,0.0,523.0,908.0,0.0,0.0,1431.0,,,,,,,,,,,,1431.0
6374,29/01/2021,Sikkim,1707.0,61.0,13.0,1707.0,0.0,624.0,1083.0,0.0,0.0,1707.0,,,,,,,,,,,,1707.0
6375,30/01/2021,Sikkim,1707.0,63.0,13.0,1707.0,0.0,624.0,1083.0,0.0,0.0,1707.0,,,,,,,,,,,,1707.0
6376,31/01/2021,Sikkim,1709.0,66.0,13.0,1709.0,0.0,624.0,1085.0,0.0,0.0,1709.0,,,,,,,,,,,,1709.0
6377,01/02/2021,Sikkim,1855.0,74.0,16.0,1855.0,0.0,633.0,1222.0,0.0,0.0,1855.0,,,,,,,,,,,,1855.0
6378,02/02/2021,Sikkim,2336.0,99.0,24.0,2336.0,0.0,786.0,1550.0,0.0,0.0,2336.0,,,,,,,,,,,,2336.0
6379,03/02/2021,Sikkim,3084.0,120.0,26.0,3084.0,0.0,931.0,2153.0,0.0,0.0,3084.0,,,,,,,,,,,,3084.0
6380,04/02/2021,Sikkim,3923.0,125.0,28.0,3923.0,0.0,1184.0,2739.0,0.0,0.0,3923.0,,,,,,,,,,,,3923.0
6381,05/02/2021,Sikkim,4857.0,128.0,28.0,4857.0,0.0,1492.0,3365.0,0.0,0.0,4857.0,,,,,,,,,,,,4857.0
6382,06/02/2021,Sikkim,5089.0,131.0,30.0,5089.0,0.0,1557.0,3532.0,0.0,0.0,5089.0,,,,,,,,,,,,5089.0
6383,07/02/2021,Sikkim,5090.0,138.0,34.0,5090.0,0.0,1558.0,3532.0,0.0,0.0,5090.0,,,,,,,,,,,,5090.0
6384,08/02/2021,Sikkim,5726.0,141.0,34.0,5726.0,0.0,1695.0,4031.0,0.0,1.0,5725.0,,,,,,,,,,,,5726.0
6385,09/02/2021,Sikkim,6653.0,152.0,35.0,6653.0,0.0,1937.0,4716.0,0.0,6.0,6647.0,,,,,,,,,,,,6653.0
6386,10/02/2021,Sikkim,7478.0,157.0,35.0,7478.0,0.0,2172.0,5306.0,0.0,6.0,7472.0,,,,,,,,,,,,7478.0
