,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
6573,16/01/2021,Tamil Nadu,1167.0,191.0,149.0,1167.0,0.0,622.0,545.0,0.0,6.0,1161.0,,,,,,,,,,,,1167.0
6574,17/01/2021,Tamil Nadu,1745.0,257.0,176.0,1745.0,0.0,986.0,759.0,0.0,29.0,1716.0,,,,,,,,,,,,1745.0
6575,18/01/2021,Tamil Nadu,2861.0,347.0,201.0,2861.0,0.0,1623.0,1238.0,0.0,42.0,2819.0,,,,,,,,,,,,2861.0
6576,19/01/2021,Tamil Nadu,6154.0,483.0,239.0,6154.0,0.0,3106.0,3047.0,1.0,111.0,6043.0,,,,,,,,,,,,6154.0
6577,20/01/2021,Tamil Nadu,9060.0,695.0,301.0,9060.0,0.0,4415.0,4644.0,1.0,144.0,8916.0,,,,,,,,,,,,9060.0
6578,21/01/2021,Tamil Nadu,15654.0,915.0,353.0,15654.0,0.0,7117.0,8535.0,2.0,227.0,15427.0,,,,,,,,,,,,15654.0
6579,22/01/2021,Tamil Nadu,23659.0,1116.0,385.0,23659.0,0.0,10156.0,13501.0,2.0,355.0,23304.0,,,,,,,,,,,,23659.0
6580,23/01/2021,Tamil Nadu,31127.0,1302.0,412.0,31127.0,0.0,12969.0,18156.0,2.0,510.0,30617.0,,,,,,,,,,,,31127.0
6581,24/01/2021,Tamil Nadu,35144.0,1498.0,437.0,35144.0,0.0,14515.0,20627.0,2.0,591.0,34553.0,,,,,,,,,,,,35144.0
6582,25/01/2021,Tamil Nadu,41396.0,1805.0,511.0,41396.0,0.0,16981.0,24413.0,2.0,740.0,40656.0,,,,,,,,,,,,41396.0
6583,26/01/2021,Tamil Nadu,46310.0,2135.0,600.0,46310.0,0.0,18840.0,27468.0,2.0,896.0,45414.0,,,,,,,,,,,,46310.0
6584,27/01/2021,Tamil Nadu,54195.0,2558.0,697.0,54195.0,0.0,21749.0,32443.0,3.0,1085.0,53110.0,,,,,,,,,,,,54195.0
6585,28/01/2021,Tamil Nadu,61290.0,2911.0,774.0,61290.0,0.0,24459.0,36828.0,3.0,1247.0,60043.0,,,,,,,,,,,,61290.0
6586,29/01/2021,Tamil Nadu,66918.0,3280.0,822.0,66918.0,0.0,26589.0,40326.0,3.0,1331.0,65587.0,,,,,,,,,,,,66918.0
6587,30/01/2021,Tamil Nadu,76934.0,3505.0,831.0,76934.0,0.0,30095.0,46835.0,4.0,1495.0,75439.0,,,,,,,,,,,,76934.0
6588,31/01/2021,Tamil Nadu,77809.0,3812.0,876.0,77809.0,0.0,30421.0,47384.0,4.0,1505.0,76304.0,,,,,,,,,,,,77809.0
6589,01/02/2021,Tamil Nadu,85002.0,4235.0,977.0,85002.0,0.0,33125.0,51872.0,5.0,1606.0,83396.0,,,,,,,,,,,,85002.0
6590,02/02/2021,Tamil Nadu,91094.0,4813.0,1118.0,91094.0,0.0,35237.0,55848.0,9.0,1698.0,89396.0,,,,,,,,,,,,91094.0
6591,03/02/2021,Tamil Nadu,98750.0,5656.0,1299.0,98750.0,0.0,37955.0,60786.0,9.0,1849.0,96901.0,,,,,,,,,,,,98750.0
