,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
6785,16/01/2021,Telangana,317.0,111.0,102.0,317.0,0.0,171.0,146.0,0.0,0.0,317.0,,,,,,,,,,,,317.0
6786,17/01/2021,Telangana,437.0,528.0,326.0,437.0,0.0,215.0,222.0,0.0,0.0,437.0,,,,,,,,,,,,437.0
6787,18/01/2021,Telangana,2463.0,1206.0,708.0,2463.0,0.0,1133.0,1329.0,1.0,0.0,2463.0,,,,,,,,,,,,2463.0
6788,19/01/2021,Telangana,11169.0,1600.0,887.0,11169.0,0.0,4640.0,6528.0,1.0,0.0,11169.0,,,,,,,,,,,,11169.0
6789,20/01/2021,Telangana,11291.0,2332.0,1009.0,11291.0,0.0,4650.0,6640.0,1.0,0.0,11291.0,,,,,,,,,,,,11291.0
6790,21/01/2021,Telangana,17837.0,2893.0,1053.0,17837.0,0.0,5704.0,12132.0,1.0,0.0,17837.0,,,,,,,,,,,,17837.0
6791,22/01/2021,Telangana,24830.0,2985.0,1057.0,24830.0,0.0,7158.0,17671.0,1.0,0.0,24830.0,,,,,,,,,,,,24830.0
6792,23/01/2021,Telangana,26183.0,3133.0,1102.0,26183.0,0.0,7835.0,18347.0,1.0,0.0,26183.0,,,,,,,,,,,,26183.0
6793,24/01/2021,Telangana,27829.0,3577.0,1366.0,27829.0,0.0,8282.0,19546.0,1.0,0.0,27829.0,,,,,,,,,,,,27829.0
6794,25/01/2021,Telangana,50646.0,3669.0,1390.0,50646.0,0.0,19905.0,30738.0,3.0,0.0,50646.0,,,,,,,,,,,,50646.0
6795,26/01/2021,Telangana,51194.0,3769.0,1432.0,51194.0,0.0,20071.0,31120.0,3.0,0.0,51194.0,,,,,,,,,,,,51194.0
6796,27/01/2021,Telangana,58306.0,4211.0,1563.0,58306.0,0.0,21510.0,36793.0,3.0,0.0,58306.0,,,,,,,,,,,,58306.0
6797,28/01/2021,Telangana,78713.0,4462.0,1610.0,78713.0,0.0,32727.0,45978.0,8.0,0.0,78713.0,,,,,,,,,,,,78713.0
6798,29/01/2021,Telangana,92418.0,4510.0,1623.0,92418.0,0.0,39999.0,52409.0,10.0,0.0,92418.0,,,,,,,,,,,,92418.0
6799,30/01/2021,Telangana,95000.0,4566.0,1629.0,95000.0,0.0,41360.0,53630.0,10.0,0.0,95000.0,,,,,,,,,,,,95000.0
6800,31/01/2021,Telangana,95057.0,4610.0,1636.0,95057.0,0.0,41379.0,53668.0,10.0,0.0,95057.0,,,,,,,,,,,,95057.0
6801,01/02/2021,Telangana,95234.0,4727.0,1669.0,95234.0,0.0,41476.0,53748.0,10.0,0.0,95234.0,,,,,,,,,,,,95234.0
6802,02/02/2021,Telangana,96413.0,4895.0,1702.0,96413.0,0.0,42133.0,54270.0,10.0,1.0,96412.0,,,,,,,,,,,,96413.0
6803,03/02/2021,Telangana,103183.0,5063.0,1736.0,103183.0,0.0,45517.0,57656.0,10.0,1.0,103182.0,,,,,,,,,,,,103183.0
6804,04/02/2021,Telangana,114647.0,5307.0,1800.0,114647.0,0.0,51375.0,63262.0,10.0,1.0,114646.0,,,,,,,,,,,,114647.0
6805,05/02/2021,Telangana,121588.0,5926.0,1937.0,121588.0,0.0,54860.0,66718.0,10.0,1.0,121587.0,,,,,,,,,,,,121588.0
6806,06/02/2021,Telangana,135977.0,6363.0,2010.0,135977.0,0.0,67955.0,68012.0,10.0,1.0,135976.0,,,,,,,,,,,,135977.0
6807,07/02/2021,Telangana,136225.0,6621.0,2062.0,136225.0,0.0,68153.0,68062.0,10.0,1.0,136224.0,,,,,,,,,,,,136225.0
6808,08/02/2021,Telangana,156285.0,7083.0,2115.0,156285.0,0.0,86119.0,70156.0,10.0,604.0,155681.0,,,,,,,,,,,,156285.0
6809,09/02/2021,Telangana,171308.0,7634.0,2221.0,171308.0,0.0,99775.0,71523.0,10.0,7469.0,163839.0,,,,,,,,,,,,171308.0
6810,10/02/2021,Telangana,186195.0,8037.0,2274.0,186195.0,0.0,113058.0,73127.0,10.0,18190.0,168005.0,,,,,,,,,,,,186195.0
6811,11/02/2021,Telangana,198677.0,8463.0,2414.0,198677.0,0.0,123802.0,74863.0,12.0,27865.0,170812.0,,,,,,,,,,,,198677.0
6812,12/02/2021,Telangana,206864.0,8808.0,2439.0,206864.0,0.0,130195.0,76657.0,12.0,34949.0,171915.0,,,,,,,,,,,,206864.0
6813,13/02/2021,Telangana,211719.0,9191.0,2443.0,209790.0,1929.0,131372.0,78406.0,12.0,35849.0,173941.0,,,,,,,,,,,,209790.0
6814,14/02/2021,Telangana,212538.0,9451.0,2468.0,210201.0,2337.0,131521.0,78668.0,12.0,35849.0,174352.0,,,,,,,,,,,,210201.0
6815,15/02/2021,Telangana,231322.0,10241.0,2472.0,219843.0,11479.0,133640.0,86191.0,12.0,36119.0,183724.0,,,,,,,,,,,,219843.0
6816,16/02/2021,Telangana,290997.0,10625.0,2474.0,250141.0,40856.0,137842.0,112287.0,12.0,36507.0,213634.0,,,,,,,,,,,,250141.0
6817,17/02/2021,Telangana,291913.0,11060.0,2474.0,250649.0,41264.0,137965.0,112672.0,12.0,36593.0,214056.0,,,,,,,,,,,,250649.0
6818,18/02/2021,Telangana,325420.0,11506.0,2475.0,260486.0,64934.0,137878.0,122596.0,12.0,36703.0,223783.0,,,,,,,,,,,,260486.0
6819,19/02/2021,Telangana,355287.0,11740.0,2479.0,276506.0,78781.0,141212.0,135280.0,14.0,36962.0,239544.0,,,,,,,,,,,,276506.0
6820,20/02/2021,Telangana,357179.0,11979.0,2483.0,277517.0,79662.0,141746.0,135757.0,14.0,37473.0,240044.0,,,,,,,,,,,,277517.0
6821,21/02/2021,Telangana,357467.0,12181.0,2483.0,277539.0,79928.0,141751.0,135774.0,14.0,37473.0,240066.0,,,,,,,,,,,,277539.0
6822,22/02/2021,Telangana,376262.0,12386.0,2485.0,278786.0,97476.0,142397.0,136375.0,14.0,37595.0,241191.0,,,,,,,,,,,,278786.0
6823,23/02/2021,Telangana,377711.0,12712.0,2488.0,279390.0,98321.0,142863.0,136513.0,14.0,38104.0,241286.0,,,,,,,,,,,,279390.0
