,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
6997,16/01/2021,Tripura,107.0,21.0,18.0,107.0,0.0,48.0,59.0,0.0,0.0,107.0,,,,,,,,,,,,107.0
6998,17/01/2021,Tripura,107.0,72.0,41.0,107.0,0.0,48.0,59.0,0.0,0.0,107.0,,,,,,,,,,,,107.0
6999,18/01/2021,Tripura,230.0,114.0,65.0,230.0,0.0,71.0,159.0,0.0,0.0,230.0,,,,,,,,,,,,230.0
7000,19/01/2021,Tripura,681.0,144.0,75.0,681.0,0.0,214.0,467.0,0.0,0.0,681.0,,,,,,,,,,,,681.0
7001,20/01/2021,Tripura,687.0,232.0,116.0,687.0,0.0,214.0,473.0,0.0,0.0,687.0,,,,,,,,,,,,687.0
7002,21/01/2021,Tripura,1812.0,313.0,138.0,1812.0,0.0,383.0,1429.0,0.0,0.0,1812.0,,,,,,,,,,,,1812.0
7003,22/01/2021,Tripura,3321.0,338.0,138.0,3321.0,0.0,679.0,2642.0,0.0,0.0,3321.0,,,,,,,,,,,,3321.0
7004,23/01/2021,Tripura,3349.0,439.0,149.0,3349.0,0.0,693.0,2656.0,0.0,0.0,3349.0,,,,,,,,,,,,3349.0
7005,24/01/2021,Tripura,3774.0,447.0,154.0,3774.0,0.0,792.0,2982.0,0.0,0.0,3774.0,,,,,,,,,,,,3774.0
7006,25/01/2021,Tripura,9693.0,447.0,154.0,9693.0,0.0,1637.0,8056.0,0.0,0.0,9693.0,,,,,,,,,,,,9693.0
7007,26/01/2021,Tripura,9946.0,496.0,157.0,9946.0,0.0,1687.0,8259.0,0.0,0.0,9946.0,,,,,,,,,,,,9946.0
7008,27/01/2021,Tripura,12366.0,621.0,160.0,12366.0,0.0,2072.0,10294.0,0.0,0.0,12366.0,,,,,,,,,,,,12366.0
7009,28/01/2021,Tripura,16668.0,698.0,163.0,16668.0,0.0,2823.0,13845.0,0.0,0.0,16668.0,,,,,,,,,,,,16668.0
7010,29/01/2021,Tripura,19513.0,747.0,164.0,19513.0,0.0,3526.0,15987.0,0.0,0.0,19513.0,,,,,,,,,,,,19513.0
7011,30/01/2021,Tripura,21342.0,757.0,164.0,21342.0,0.0,3993.0,17349.0,0.0,0.0,21342.0,,,,,,,,,,,,21342.0
7012,31/01/2021,Tripura,21367.0,803.0,166.0,21367.0,0.0,4003.0,17364.0,0.0,0.0,21367.0,,,,,,,,,,,,21367.0
7013,01/02/2021,Tripura,22996.0,865.0,166.0,22996.0,0.0,4521.0,18475.0,0.0,0.0,22996.0,,,,,,,,,,,,22996.0
7014,02/02/2021,Tripura,24202.0,923.0,167.0,24202.0,0.0,4917.0,19285.0,0.0,0.0,24202.0,,,,,,,,,,,,24202.0
7015,03/02/2021,Tripura,24413.0,1000.0,173.0,24413.0,0.0,4944.0,19469.0,0.0,0.0,24413.0,,,,,,,,,,,,24413.0
7016,04/02/2021,Tripura,27081.0,1072.0,186.0,27081.0,0.0,5487.0,21594.0,0.0,0.0,27081.0,,,,,,,,,,,,27081.0
7017,05/02/2021,Tripura,29402.0,1175.0,202.0,29402.0,0.0,6514.0,22888.0,0.0,0.0,29402.0,,,,,,,,,,,,29402.0
