,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
7209,16/01/2021,Uttar Pradesh,2212.0,380.0,327.0,2212.0,0.0,1341.0,871.0,0.0,55.0,2157.0,,,,,,,,,,,,2212.0
7210,17/01/2021,Uttar Pradesh,2224.0,384.0,330.0,2224.0,0.0,1345.0,879.0,0.0,55.0,2169.0,,,,,,,,,,,,2224.0
7211,18/01/2021,Uttar Pradesh,1532.0,427.0,338.0,1532.0,0.0,907.0,625.0,0.0,42.0,1490.0,,,,,,,,,,,,1532.0
7212,19/01/2021,Uttar Pradesh,1568.0,663.0,431.0,1568.0,0.0,930.0,638.0,0.0,43.0,1525.0,,,,,,,,,,,,1568.0
7213,20/01/2021,Uttar Pradesh,1568.0,2065.0,1210.0,1568.0,0.0,930.0,638.0,0.0,43.0,1525.0,,,,,,,,,,,,1568.0
7214,21/01/2021,Uttar Pradesh,1578.0,3092.0,1688.0,1578.0,0.0,933.0,645.0,0.0,43.0,1535.0,,,,,,,,,,,,1578.0
7215,22/01/2021,Uttar Pradesh,21325.0,3109.0,1692.0,21325.0,0.0,7096.0,14228.0,1.0,327.0,20998.0,,,,,,,,,,,,21325.0
7216,23/01/2021,Uttar Pradesh,30644.0,3596.0,1751.0,30644.0,0.0,10300.0,20343.0,1.0,446.0,30198.0,,,,,,,,,,,,30644.0
7217,24/01/2021,Uttar Pradesh,43669.0,5188.0,2369.0,43669.0,0.0,14952.0,28714.0,3.0,617.0,43052.0,,,,,,,,,,,,43669.0
7218,25/01/2021,Uttar Pradesh,59780.0,6598.0,2884.0,59780.0,0.0,20276.0,39501.0,3.0,915.0,58865.0,,,,,,,,,,,,59780.0
7219,26/01/2021,Uttar Pradesh,62477.0,7881.0,3223.0,62477.0,0.0,20961.0,41513.0,3.0,940.0,61537.0,,,,,,,,,,,,62477.0
7220,27/01/2021,Uttar Pradesh,95724.0,8581.0,3431.0,95724.0,0.0,31827.0,63892.0,5.0,1498.0,94226.0,,,,,,,,,,,,95724.0
7221,28/01/2021,Uttar Pradesh,268081.0,8733.0,3475.0,268081.0,0.0,82036.0,186025.0,20.0,3516.0,264565.0,,,,,,,,,,,,268081.0
7222,29/01/2021,Uttar Pradesh,429946.0,8824.0,3486.0,429946.0,0.0,130950.0,298960.0,36.0,5466.0,424480.0,,,,,,,,,,,,429946.0
7223,30/01/2021,Uttar Pradesh,433040.0,9585.0,3563.0,433040.0,0.0,131777.0,301226.0,37.0,5468.0,427572.0,,,,,,,,,,,,433040.0
7224,31/01/2021,Uttar Pradesh,434185.0,10074.0,3595.0,434185.0,0.0,132125.0,302023.0,37.0,5469.0,428716.0,,,,,,,,,,,,434185.0
7225,01/02/2021,Uttar Pradesh,434549.0,10612.0,3672.0,434549.0,0.0,132288.0,302224.0,37.0,5469.0,429080.0,,,,,,,,,,,,434549.0
7226,02/02/2021,Uttar Pradesh,435502.0,10999.0,3803.0,435502.0,0.0,132574.0,302891.0,37.0,5469.0,430033.0,,,,,,,,,,,,435502.0
7227,03/02/2021,Uttar Pradesh,435645.0,11474.0,3946.0,435645.0,0.0,132643.0,302965.0,37.0,5469.0,430176.0,,,,,,,,,,,,435645.0
7228,04/02/2021,Uttar Pradesh,555622.0,11579.0,3985.0,555622.0,0.0,173304.0,382272.0,46.0,6369.0,549253.0,,,,,,,,,,,,555622.0
7229,05/02/2021,Uttar Pradesh,636917.0,11608.0,3986.0,636917.0,0.0,224300.0,412566.0,51.0,9096.0,627821.0,,,,,,,,,,,,636917.0
7230,06/02/2021,Uttar Pradesh,638107.0,11624.0,3987.0,638107.0,0.0,225075.0,412980.0,52.0,9099.0,629008.0,,,,,,,,,,,,638107.0
7231,07/02/2021,Uttar Pradesh,638805.0,11726.0,4006.0,638805.0,0.0,225664.0,413089.0,52.0,9099.0,629706.0,,,,,,,,,,,,638805.0
7232,08/02/2021,Uttar Pradesh,640144.0,12572.0,4225.0,640144.0,0.0,226737.0,413355.0,52.0,9108.0,631036.0,,,,,,,,,,,,640144.0
7233,09/02/2021,Uttar Pradesh,640845.0,14324.0,4647.0,640845.0,0.0,227388.0,413405.0,52.0,9126.0,631719.0,,,,,,,,,,,,640845.0
7234,10/02/2021,Uttar Pradesh,643010.0,15518.0,4946.0,643010.0,0.0,229177.0,413780.0,53.0,9365.0,633645.0,,,,,,,,,,,,643010.0
7235,11/02/2021,Uttar Pradesh,746208.0,15883.0,5043.0,746208.0,0.0,322369.0,423786.0,53.0,69526.0,676682.0,,,,,,,,,,,,746208.0
7236,12/02/2021,Uttar Pradesh,863157.0,16539.0,5111.0,863157.0,0.0,428140.0,434964.0,53.0,138967.0,724190.0,,,,,,,,,,,,863157.0
7237,13/02/2021,Uttar Pradesh,864381.0,18476.0,5360.0,864379.0,2.0,429282.0,435044.0,53.0,139539.0,724840.0,,,,,,,,,,,,864379.0
7238,14/02/2021,Uttar Pradesh,864489.0,18807.0,5415.0,864487.0,2.0,429383.0,435051.0,53.0,139539.0,724948.0,,,,,,,,,,,,864487.0
7239,15/02/2021,Uttar Pradesh,975211.0,19455.0,5531.0,955423.0,19788.0,462664.0,492680.0,79.0,143448.0,811975.0,,,,,,,,,,,,955423.0
7240,16/02/2021,Uttar Pradesh,975907.0,21314.0,5864.0,956093.0,19814.0,462920.0,493094.0,79.0,143529.0,812564.0,,,,,,,,,,,,956093.0
7241,17/02/2021,Uttar Pradesh,976088.0,22689.0,6029.0,956274.0,19814.0,463088.0,493107.0,79.0,143589.0,812685.0,,,,,,,,,,,,956274.0
7242,18/02/2021,Uttar Pradesh,1054867.0,23385.0,6139.0,1034940.0,19927.0,579229.0,455637.0,74.0,182368.0,852572.0,,,,,,,,,,,,1034940.0
7243,19/02/2021,Uttar Pradesh,1234270.0,24369.0,6287.0,1135502.0,98768.0,618382.0,517041.0,79.0,185602.0,949900.0,,,,,,,,,,,,1135502.0
7244,20/02/2021,Uttar Pradesh,1236861.0,26253.0,6653.0,1136590.0,100271.0,619024.0,517486.0,80.0,185655.0,950935.0,,,,,,,,,,,,1136590.0
7245,21/02/2021,Uttar Pradesh,1237359.0,26815.0,6679.0,1136650.0,100709.0,619077.0,517493.0,80.0,185656.0,950994.0,,,,,,,,,,,,1136650.0
7246,22/02/2021,Uttar Pradesh,1339406.0,28054.0,6683.0,1237517.0,101889.0,709510.0,527927.0,80.0,200220.0,1037297.0,,,,,,,,,,,,1237517.0
7247,23/02/2021,Uttar Pradesh,1342030.0,29970.0,6824.0,1239758.0,102272.0,711520.0,528158.0,80.0,200739.0,1039019.0,,,,,,,,,,,,1239758.0
7248,24/02/2021,Uttar Pradesh,1342318.0,30680.0,6920.0,1240045.0,102273.0,711789.0,528176.0,80.0,200748.0,1039297.0,,,,,,,,,,,,1240045.0
7249,25/02/2021,Uttar Pradesh,1521544.0,30961.0,6922.0,1274807.0,246737.0,739506.0,535221.0,80.0,205862.0,1068945.0,,,,,,,,,,,,1274807.0
7250,26/02/2021,Uttar Pradesh,1668629.0,31070.0,6922.0,1281076.0,387553.0,741696.0,539301.0,79.0,206000.0,1075076.0,,,,,,,,,,,,1281076.0
7251,27/02/2021,Uttar Pradesh,1668629.0,31070.0,6922.0,1281076.0,387553.0,741696.0,539301.0,79.0,206000.0,1075076.0,,,,,,,,,,,,1281076.0
7252,28/02/2021,Uttar Pradesh,1668631.0,31402.0,7009.0,1281078.0,387553.0,741698.0,539301.0,79.0,206000.0,1075078.0,,,,,,,,,,,,1281078.0
7253,01/03/2021,Uttar Pradesh,1668631.0,31558.0,7077.0,1281078.0,387553.0,741698.0,539301.0,79.0,206000.0,1075078.0,,,,,,,,,,,,1281078.0
7254,02/03/2021,Uttar Pradesh,1681659.0,31863.0,7088.0,1294029.0,387630.0,749939.0,544010.0,80.0,207913.0,1086116.0,,,,,,,,,,,,1294029.0
7255,03/03/2021,Uttar Pradesh,1682667.0,38032.0,8002.0,1295029.0,387638.0,750628.0,544321.0,80.0,208073.0,1086956.0,,,,,,,,,,,,1295029.0
7256,04/03/2021,Uttar Pradesh,1824296.0,42224.0,8444.0,1365655.0,458641.0,789904.0,575662.0,89.0,209637.0,1156018.0,,,,,,,,,,,,1365655.0
7257,05/03/2021,Uttar Pradesh,1988090.0,47678.0,8629.0,1465524.0,522566.0,849180.0,616237.0,107.0,212206.0,1253318.0,,,,,,,,,,,,1465524.0
7258,06/03/2021,Uttar Pradesh,2014991.0,52850.0,9063.0,1485787.0,529204.0,861476.0,624204.0,107.0,213741.0,1272046.0,,,,,,,,,,,,1485787.0
7259,07/03/2021,Uttar Pradesh,2019181.0,61109.0,9751.0,1488836.0,530345.0,863277.0,625452.0,107.0,213834.0,1275002.0,,,,,,,,,,,,1488836.0
7260,08/03/2021,Uttar Pradesh,2216711.0,64862.0,9947.0,1679720.0,536991.0,972019.0,707574.0,127.0,215962.0,1463758.0,,,,,,,,,,,,1679720.0
7261,09/03/2021,Uttar Pradesh,1709561.0,91280.0,605.0,1171217.0,538344.0,988315.0,721114.0,132.0,216927.0,1492500.0,,,,,,,,,,,,1709561.0
7262,10/03/2021,Uttar Pradesh,1735799.0,106920.0,688.0,1196503.0,539296.0,1004062.0,731601.0,136.0,218255.0,1517410.0,,,,,,,,,,,,1735799.0
7263,11/03/2021,Uttar Pradesh,1741357.0,44490.0,375.0,1201688.0,539669.0,1007227.0,733994.0,136.0,218528.0,1522694.0,,,,,,,,,,,,1741357.0
7264,12/03/2021,Uttar Pradesh,2038409.0,732044.0,4673.0,1426304.0,612105.0,1204798.0,833436.0,175.0,265793.0,1772481.0,,,,,,,,,,,,2038409.0
7265,13/03/2021,Uttar Pradesh,2079271.0,102105.0,676.0,1458839.0,620432.0,1231273.0,847822.0,176.0,270938.0,1808198.0,,,,,,,,,,,,2079271.0
7266,14/03/2021,Uttar Pradesh,2095485.0,61665.0,454.0,1474743.0,620742.0,1240226.0,855083.0,176.0,271430.0,1823920.0,,,,,,,,,,,,2095485.0
7267,15/03/2021,Uttar Pradesh,2398452.0,726393.0,4697.0,1731354.0,667098.0,1409502.0,988740.0,210.0,281622.0,2116695.0,,,,,,,,,,,,2398452.0
7268,16/03/2021,Uttar Pradesh,3188522.0,489856.0,3027.0,2456849.0,731673.0,1432819.0,1023810.0,220.0,362797.0,2825725.0,,989.0,,,,784171.0,876701.0,793270.0,,,,2456849.0
7269,17/03/2021,Uttar Pradesh,3464388.0,331177.0,1951.0,2723448.0,740940.0,1584905.0,1138257.0,286.0,376630.0,3087758.0,,993.0,,,,790999.0,934521.0,995192.0,,,,2723448.0
7270,18/03/2021,Uttar Pradesh,3881080.0,785758.0,4996.0,3034854.0,846226.0,1771561.0,1262978.0,315.0,418999.0,3462081.0,,1002.0,,,,813451.0,1030558.0,1188068.0,,,,3034854.0
