,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
7421,16/01/2021,Uttarakhand,511.0,37.0,33.0,511.0,0.0,294.0,217.0,0.0,0.0,511.0,,,,,,,,,,,,511.0
7422,17/01/2021,Uttarakhand,556.0,108.0,42.0,556.0,0.0,321.0,235.0,0.0,0.0,556.0,,,,,,,,,,,,556.0
7423,18/01/2021,Uttarakhand,517.0,174.0,47.0,517.0,0.0,296.0,221.0,0.0,0.0,517.0,,,,,,,,,,,,517.0
7424,19/01/2021,Uttarakhand,1141.0,197.0,48.0,1141.0,0.0,483.0,658.0,0.0,0.0,1141.0,,,,,,,,,,,,1141.0
7425,20/01/2021,Uttarakhand,1141.0,257.0,55.0,1141.0,0.0,483.0,658.0,0.0,0.0,1141.0,,,,,,,,,,,,1141.0
7426,21/01/2021,Uttarakhand,1874.0,315.0,62.0,1874.0,0.0,772.0,1102.0,0.0,0.0,1874.0,,,,,,,,,,,,1874.0
7427,22/01/2021,Uttarakhand,3163.0,335.0,64.0,3163.0,0.0,1258.0,1905.0,0.0,0.0,3163.0,,,,,,,,,,,,3163.0
7428,23/01/2021,Uttarakhand,3238.0,387.0,82.0,3238.0,0.0,1292.0,1946.0,0.0,0.0,3238.0,,,,,,,,,,,,3238.0
7429,24/01/2021,Uttarakhand,3592.0,400.0,87.0,3592.0,0.0,1471.0,2121.0,0.0,0.0,3592.0,,,,,,,,,,,,3592.0
7430,25/01/2021,Uttarakhand,7969.0,419.0,96.0,7969.0,0.0,2987.0,4982.0,0.0,0.0,7969.0,,,,,,,,,,,,7969.0
