,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
7633,16/01/2021,West Bengal,1917.0,114.0,107.0,1917.0,0.0,956.0,961.0,0.0,0.0,1917.0,,,,,,,,,,,,1917.0
7634,17/01/2021,West Bengal,2085.0,366.0,191.0,2085.0,0.0,996.0,1089.0,0.0,0.0,2085.0,,,,,,,,,,,,2085.0
7635,18/01/2021,West Bengal,5060.0,730.0,241.0,5060.0,0.0,2253.0,2807.0,0.0,0.0,5060.0,,,,,,,,,,,,5060.0
7636,19/01/2021,West Bengal,12364.0,916.0,252.0,12364.0,0.0,4823.0,7541.0,0.0,0.0,12364.0,,,,,,,,,,,,12364.0
7637,20/01/2021,West Bengal,14624.0,1405.0,360.0,14624.0,0.0,5497.0,9127.0,0.0,0.0,14624.0,,,,,,,,,,,,14624.0
7638,21/01/2021,West Bengal,20206.0,1661.0,421.0,20206.0,0.0,7545.0,12661.0,0.0,0.0,20206.0,,,,,,,,,,,,20206.0
7639,22/01/2021,West Bengal,41970.0,1820.0,461.0,41970.0,0.0,14409.0,27526.0,35.0,0.0,41970.0,,,,,,,,,,,,41970.0
7640,23/01/2021,West Bengal,43180.0,2122.0,559.0,43180.0,0.0,14762.0,28377.0,41.0,0.0,43180.0,,,,,,,,,,,,43180.0
7641,24/01/2021,West Bengal,46143.0,2348.0,588.0,46143.0,0.0,15780.0,30318.0,45.0,0.0,46143.0,,,,,,,,,,,,46143.0
7642,25/01/2021,West Bengal,87815.0,2713.0,632.0,87815.0,0.0,28568.0,59165.0,82.0,0.0,87815.0,,,,,,,,,,,,87815.0
7643,26/01/2021,West Bengal,88627.0,2946.0,663.0,88627.0,0.0,28788.0,59755.0,84.0,0.0,88627.0,,,,,,,,,,,,88627.0
7644,27/01/2021,West Bengal,130937.0,3487.0,691.0,130937.0,0.0,41351.0,89485.0,101.0,0.0,130937.0,,,,,,,,,,,,130937.0
7645,28/01/2021,West Bengal,161415.0,3882.0,706.0,161415.0,0.0,51073.0,110239.0,103.0,0.0,161415.0,,,,,,,,,,,,161415.0
7646,29/01/2021,West Bengal,191566.0,4261.0,722.0,191566.0,0.0,60682.0,130779.0,105.0,0.0,191566.0,,,,,,,,,,,,191566.0
7647,30/01/2021,West Bengal,214018.0,4714.0,744.0,214018.0,0.0,68401.0,145512.0,105.0,0.0,214018.0,,,,,,,,,,,,214018.0
7648,31/01/2021,West Bengal,214256.0,4913.0,750.0,214256.0,0.0,68502.0,145649.0,105.0,0.0,214256.0,,,,,,,,,,,,214256.0
7649,01/02/2021,West Bengal,238178.0,5304.0,759.0,238178.0,0.0,77261.0,160810.0,107.0,0.0,238178.0,,,,,,,,,,,,238178.0
7650,02/02/2021,West Bengal,259341.0,5757.0,795.0,259341.0,0.0,85365.0,173863.0,113.0,0.0,259341.0,,,,,,,,,,,,259341.0
7651,03/02/2021,West Bengal,271828.0,6267.0,818.0,271828.0,0.0,90102.0,181609.0,117.0,44.0,271784.0,,,,,,,,,,,,271828.0
7652,04/02/2021,West Bengal,290908.0,6632.0,833.0,290908.0,0.0,97245.0,193544.0,119.0,115.0,290793.0,,,,,,,,,,,,290908.0
7653,05/02/2021,West Bengal,314065.0,7446.0,846.0,314065.0,0.0,106261.0,207680.0,124.0,185.0,313880.0,,,,,,,,,,,,314065.0
7654,06/02/2021,West Bengal,323825.0,8412.0,885.0,323825.0,0.0,110061.0,213639.0,125.0,238.0,323587.0,,,,,,,,,,,,323825.0
7655,07/02/2021,West Bengal,323859.0,9612.0,934.0,323859.0,0.0,110082.0,213652.0,125.0,238.0,323621.0,,,,,,,,,,,,323859.0
7656,08/02/2021,West Bengal,346113.0,10950.0,953.0,346113.0,0.0,120095.0,225893.0,125.0,688.0,345425.0,,,,,,,,,,,,346113.0
7657,09/02/2021,West Bengal,372621.0,11398.0,961.0,372621.0,0.0,135808.0,236688.0,125.0,1935.0,370686.0,,,,,,,,,,,,372621.0
7658,10/02/2021,West Bengal,396442.0,11924.0,973.0,396442.0,0.0,150028.0,246289.0,125.0,3278.0,393164.0,,,,,,,,,,,,396442.0
