time_non_dst,IST_time,UTC+02:00_time,UTC-02:00_time
16:14:03+00:00,22:07:03+5:53:00,18:14:03+02:00,14:14:03-02:00
12:20:25+00:00,18:13:25+5:53:00,14:20:25+02:00,10:20:25-02:00
23:22:53+00:00,05:15:53+5:53:00,01:22:53+02:00,21:22:53-02:00
18:33:49+00:00,00:26:49+5:53:00,20:33:49+02:00,16:33:49-02:00
17:16:32+00:00,23:09:32+5:53:00,19:16:32+02:00,15:16:32-02:00
12:15:28+00:00,18:08:28+5:53:00,14:15:28+02:00,10:15:28-02:00
23:20:56+00:00,05:13:56+5:53:00,01:20:56+02:00,21:20:56-02:00
07:34:07+00:00,13:27:07+5:53:00,09:34:07+02:00,05:34:07-02:00
07:15:41+00:00,13:08:41+5:53:00,09:15:41+02:00,05:15:41-02:00
07:18:18+00:00,13:11:18+5:53:00,09:18:18+02:00,05:18:18-02:00
07:15:41+00:00,13:08:41+5:53:00,09:15:41+02:00,05:15:41-02:00
07:30:33+00:00,13:23:33+5:53:00,09:30:33+02:00,05:30:33-02:00
12:11:22+00:00,18:04:22+5:53:00,14:11:22+02:00,10:11:22-02:00
08:04:09+00:00,13:57:09+5:53:00,10:04:09+02:00,06:04:09-02:00
07:15:42+00:00,13:08:42+5:53:00,09:15:42+02:00,05:15:42-02:00
07:18:21+00:00,13:11:21+5:53:00,09:18:21+02:00,05:18:21-02:00
07:15:42+00:00,13:08:42+5:53:00,09:15:42+02:00,05:15:42-02:00
18:00:17+00:00,23:53:17+5:53:00,20:00:17+02:00,16:00:17-02:00
12:45:36+00:00,18:38:36+5:53:00,14:45:36+02:00,10:45:36-02:00
15:50:28+00:00,21:43:28+5:53:00,17:50:28+02:00,13:50:28-02:00
12:45:37+00:00,18:38:37+5:53:00,14:45:37+02:00,10:45:37-02:00
15:50:28+00:00,21:43:28+5:53:00,17:50:28+02:00,13:50:28-02:00
12:45:37+00:00,18:38:37+5:53:00,14:45:37+02:00,10:45:37-02:00
15:50:28+00:00,21:43:28+5:53:00,17:50:28+02:00,13:50:28-02:00
12:00:10+00:00,17:53:10+5:53:00,14:00:10+02:00,10:00:10-02:00
09:15:20+00:00,15:08:20+5:53:00,11:15:20+02:00,07:15:20-02:00
