Date,Holding Name,Asset Class,Ticker,Listing Country,SEDOL,Shares,Holding Value,Weight
19/1/2023,Porsche AG,Equity,P911,Germany,BJN59B8,8069.0,910821.61,10.0494802
19/1/2023,Zhejiang Kuaishou Information Technology,Equity,1024,Hong Kong,BLC90T0,86990.0,806096.1,8.89399934
19/1/2023,JD Health,Equity,6618,Hong Kong,BMW8R04,58960.0,510936.18,5.63737506
19/1/2023,Nongfu Spring,Equity,9633,Hong Kong,BMGWW30,88954.0,501399.11,5.53214853
19/1/2023,Wise (TransferWise),Equity,WISE,United Kingdom,BL9YR75,56628.0,395063.79,4.35890595
19/1/2023,Central Retail,Equity,CRC,Thailand,BKP8ZP8,222557.0,294799.92,3.25265225
19/1/2023,JD Logistics,Equity,2618,Hong Kong,BNMBPD9,133734.0,279643.43,3.08542428
19/1/2023,China Resources Mixc Lifestyle Services,Equity,1209,Hong Kong,BMXWXT6,46427.0,257240.42,2.8382424
19/1/2023,Allegro.eu,Equity,ALE,Poland,BMBQDF6,31793.0,234403.18,2.58626946
19/1/2023,Akesobio,Equity,9926,Hong Kong,BLFJ7Y1,39000.0,227304.97,2.50795191
19/1/2023,Hygeia Healthcare,Equity,6078,Hong Kong,BMX09H0,26953.0,221684.41,2.44593789
19/1/2023,Allfunds,Equity,ALLFG,Netherlands,BNTJ354,27015.0,219815.47,2.42531709
19/1/2023,Smoore International,Equity,6969,Hong Kong,BKWGSQ7,142236.0,219248.34,2.4190597
19/1/2023,Nordnet,Equity,SAVE,Sweden,BNDLH43,13700.0,215896.22,2.38207434
19/1/2023,Azelis Holding,Equity,AZE,Belgium,BMHT025,7783.0,215519.02,2.37791254
19/1/2023,China Tourism Group Duty Free,Equity,1880,Hong Kong,BLB6P53,6200.0,192248.06,2.12115419
19/1/2023,Volvo Car Group,Equity,VOLCAR B,Sweden,BMXC0X9,39440.0,190770.09,2.10484712
19/1/2023,JDE Peet's Coffee,Equity,JDEP,Netherlands,BMC4ZZ3,6438.0,190641.31,2.10342624
19/1/2023,Acciona Global Renewables,Equity,ANE,Spain,BP7L895,4558.0,190257.91,2.09919602
19/1/2023,Pop Mart,Equity,9992,Hong Kong,BN6PP37,56230.0,185783.92,2.0498326
19/1/2023,Nuvei,Equity,NVEI,Canada,BMFNHJ5,5130.0,164704.2,1.81725113
19/1/2023,Definity Financial,Equity,DFY,Canada,BMY2ZT9,5861.0,163468.89,1.80362143
19/1/2023,SCG Packaging,Equity,SCGP,Thailand,BMC0T37,95840.0,160511.57,1.77099207
19/1/2023,PTT Oil and Retail (PTTOR),Equity,OR,Thailand,BN73M06,222588.0,159959.71,1.76490316
19/1/2023,Monde Nissin,Equity,MONDE,Philippines,BMDTTT9,576569.0,156905.33,1.73120289
19/1/2023,InPost,Equity,INPST,Netherlands,BN4N9C0,16294.0,154349.49,1.70300323
19/1/2023,Jiumaojiu International,Equity,9922,Hong Kong,BLBFH65,49936.0,135628.88,1.49645082
19/1/2023,Hangzhou Tigermed Consulting,Equity,3347,Hong Kong,BMZC7F8,9759.0,131843.82,1.45468865
19/1/2023,AutoStore Holdings,Equity,AUTO,Norway,BN49G27,56804.0,127142.59,1.40281799
19/1/2023,Dr. Martens,Equity,DOCS,United Kingdom,BL6NGV2,44828.0,115715.43,1.2767373
19/1/2023,CTP,Equity,CTPNV,Netherlands,BLF7T27,8205.0,109440.73,1.20750588
19/1/2023,Var Energi,Equity,VAR,Norway,BPLF0Y2,32304.0,101832.55,1.12356161
19/1/2023,RemeGen,Equity,9995,Hong Kong,BMC6XV1,11500.0,95247.22,1.05090288
19/1/2023,Thai Life Insurance,Equity,TLI,Thailand,BMH11X9,198921.0,84196.16,0.92897186
19/1/2023,Pepco Group,Equity,PCO,Poland,BMXNYN0,8679.0,82524.76,0.91053059
19/1/2023,Tianqi Lithium,Equity,9696,Hong Kong,BMZ3RS4,8400.0,69249.79,0.76406223
19/1/2023,Avia Avian,Equity,AVIA,Indonesia,BPG9298,1409600.0,63064.13,0.69581323
19/1/2023,GQG Partners,Equity,GQG,Australia,BN469H4,50600.0,55471.91,0.61204505
19/1/2023,Simcere Pharmaceutical Group,Equity,2096,Hong Kong,BNHQ5S4,37000.0,51169.18,0.56457121
19/1/2023,Antin Infrastructure Partners,Equity,ANTIN,France,BNZJDK3,2090.0,50295.96,0.55493661
19/1/2023,Industrie De Nora,Equity,DNR,Italy,BP2S3V8,2816.0,48561.42,0.53579869
19/1/2023,Blue Moon Group Holdings,Equity,6993,Hong Kong,BKY5R76,68032.0,45129.45,0.49793232
19/1/2023,Global Digital Niaga,Equity,BELI,Indonesia,BMJ08Y4,1400100.0,42687.39,0.47098804
19/1/2023,Asymchem Laboratories,Equity,6821,Hong Kong,BNYGMN1,2145.0,35558.77,0.39233495
19/1/2023,JOINN Laboratories,Equity,6127,Hong Kong,BNK9Q76,5958.0,34839.43,0.38439817
19/1/2023,Onewo,Equity,2602,Hong Kong,BPJPDT0,5000.0,32720.46,0.36101868
19/1/2023,Shanghai MicroPort MedBot Group,Equity,2252,Hong Kong,BMX6SZ9,6500.0,25588.43,0.28232797
19/1/2023,Calb,Equity,3931,Hong Kong,BQ0QV95,8825.0,22615.62,0.2495277
19/1/2023,Evergrande Property Services Group,Equity,6666,Hong Kong,BMCW9V1,257103.0,18895.33,0.20848017
19/1/2023,JL Mag Rare-Earth,Equity,6680,Hong Kong,BNXFSW0,4729.0,14687.74,0.16205605
19/1/2023,Fix Price,Equity,FIXP,United Kingdom,BN30342,11913.0,119.13,0.00131441
19/1/2023,Cash/Other,Cash,,,,48026.73,49671.43,0.54804592
19/1/2023,Airbnb,Equity,ABNB,,BMGYYH4,128179.0,12960178.69,10.16675135
19/1/2023,Snowflake,Equity,SNOW,,BN134B7,88071.0,12339627.81,9.67995355
