Security Identifier,Issuer,Type Total,Quantity Average Cos,t (R$) To,tal Cost (R$),Gain / Loss Unit Pric,e (R$) Total,Amount (R$) %Net,Assets
ABEV3,AMBEV S/A,Ação,189.400,"14,53","2.752.244,23","192.925,77","15,55","2.945.170,00","0,00"
ALPA4,ALPARGATAS,Ação,8.900,"44,94","399.929,52","-213.118,52","20,99","186.811,00","0,00"
AMER3,B2W DIGITAL,Ação,26.664,"51,41","1.370.868,09","-958.909,29","15,45","411.958,80","0,00"
ARZZ3,AREZZO CO,Ação,2.700,"92,93","250.907,02","1.029,98","93,31","251.937,00","0,00"
ASAI3,SENDAS,Ação,34.000,"9,15","310.943,71","350.356,29","19,45","661.300,00","0,00"
AZUL4,AZUL,Ação,14.900,"29,25","435.808,21","-191.448,21","16,40","244.360,00","0,00"
B3SA3,B3,Ação,242.542,"11,97","2.904.224,59","212.440,11","12,85","3.116.664,70","0,00"
BBAS3,BANCO DO BRASIL,Ação,61.000,"34,97","2.133.446,28","405.983,72","41,63","2.539.430,00","0,00"
BBDC3,BRADESCO,Ação,65.368,"17,79","1.163.064,92","-113.254,84","16,06","1.049.810,08","0,00"
BBDC4,BRADESCO,Ação,221.392,"17,25","3.818.835,87","465.099,33","19,35","4.283.935,20","0,00"
BBSE3,BBSEGURIDADE,Ação,29.400,"25,13","738.820,38","104.371,62","28,68","843.192,00","0,00"
BEEF3,MINERVA,Ação,11.800,"10,94","129.090,87","49.207,13","15,11","178.298,00","0,00"
BPAC11,BTGP BANCO,Unit/ADR,52.800,"20,42","1.077.922,47","318.637,53","26,45","1.396.560,00","0,00"
BPAN4,BANCO PAN,Ação,13.700,"15,70","215.116,91","-105.105,91","8,03","110.011,00","0,00"
BRAP4,BRADESPAR,Ação,11.175,"22,61","252.681,89","-4.149,89","22,24","248.532,00","0,00"
BRFS3,BRF SA,Ação,46.980,"26,42","1.241.255,91","-475.481,91","16,30","765.774,00","0,00"
BRKM5,BRASKEM,Ação,11.000,"35,46","390.021,83","-33.291,83","32,43","356.730,00","0,00"
BRML3,BR MALLS PAR,Ação,34.822,"10,01","348.517,25","-44.869,41","8,72","303.647,84","0,00"
CASH3,MELIUZ,Ação,28.500,"4,42","126.043,57","-88.138,57","1,33","37.905,00","0,00"
CCRO3,CCR SA,Ação,48.600,"10,63","516.846,66","177.161,34","14,28","694.008,00","0,00"
CIEL3,CIELO,Ação,49.543,"8,03","397.907,12","-129.879,49","5,41","268.027,63","0,00"
CMIG4,CEMIG,Ação,63.364,"7,96","504.504,96","262.833,08","12,11","767.338,04","0,00"
CMIN3,CSNMINERACAO,Ação,49.600,"6,59","327.014,86","-146.470,86","3,64","180.544,00","0,00"
COGN3,KROTON,Ação,76.760,"6,88","528.057,26","-326.178,46","2,63","201.878,80","0,00"
CPFE3,CPFL ENERGIA,Ação,8.100,"29,31","237.448,72","56.014,28","36,23","293.463,00","0,00"
