Reco Date,Stock,Current Price,Target Price,Market Cap,Sector
2022 Jan 06,K P R Mill Ltd,544.7,860.00,19571,READYMADE GARMENTS/ APPARELLS
2021 Nov 15,Brigade Enterprises Ltd,509.85,627.00,11882,REALTY
2021 Aug 03,RBL Bank Ltd,138.0,232.00,12457,BANKS
2021 Jul 20,Max Healthcare Institute Ltd,459.75,350.00,29287,HEALTHCARE
2021 Jul 15,Krishna Institute of Medical Sciences Ltd,1474.1,1832.00,10219,HEALTHCARE
2021 May 18,Vinati Organics Ltd,2112.65,2400.00,23000,CHEMICALS
2021 May 05,Aegis Logistics Ltd,316.95,410.00,11220,TRADING
2020 Dec 23,City Union Bank Ltd,192.65,225.00,14056,BANKS
2020 Dec 04,CreditAccess Grameen Ltd,993.85,1200.00,15411,FINANCE
2020 Sep 18,Zydus Wellness Ltd,1642.3,2271.00,10295,FMCG
2020 Aug 03,Cholamandalam Investment & Finance Company Ltd,722.1,337.00,22397,FINANCE
2020 Jul 28,Crompton Greaves Consumer Electricals Ltd,355.35,410.00,23327,CAPITALGOODS-ELECTRICALEQUIPMENT
2020 Jul 07,Escorts Ltd,2020.45,1760.00,21027,AUTOMOBILE
2020 Jun 12,Shriram Transport Finance Company Ltd,1245.15,860.00,17549,FINANCE
2020 Jun 08,SRF Ltd,2338.45,5647.00,29427,TEXTILES
2019 Aug 07,Aditya Birla Fashion & Retail Ltd,313.7,398.00,25911,RETAIL
2019 Jun 10,Voltas Ltd,826.1,1134.00,28499,CONSUMERDURABLES
2019 Mar 27,Astral Poly Technik Ltd,2064.45,2090.00,29292,PLASTICPRODUCTS
2019 Feb 18,Bata India Ltd,1780.7,2365.00,24704,LEATHER
