constituent_name,weighting_sponsor,constituent_ticker,Sector,quantity_held,Fund Name,Ticker Symbol,as_of_date,isin,sedol,Stock Exchange,Trade Country Name,local_currency,local_price,market_value_held,Share Class,location
Apple Inc.,0.06732754,AAPL,Information Technology,169742220.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Microsoft Corporation,0.05486708,MSFT,Information Technology,83799320.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Amazon.com Inc.,0.0266016,AMZN,Consumer Discretionary,99611430.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Alphabet Inc. Class A,0.01721417,GOOGL,Communication Services,67388056.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Berkshire Hathaway Inc. Class B,0.016642090000000002,BRK.B,Financials,20279520.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Tesla Inc,0.01554321,TSLA,Consumer Discretionary,29934360.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Alphabet Inc. Class C,0.015444469999999998,GOOG,Communication Services,60260212.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
UnitedHealth Group Incorporated,0.0145421,UNH,Health Care,10512570.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Exxon Mobil Corporation,0.01414187,XOM,Energy,46839410.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Johnson & Johnson,0.01325087,JNJ,Health Care,29548444.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
NVIDIA Corporation,0.01217417,NVDA,Information Technology,28141808.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
JPMorgan Chase & Co.,0.011815299999999999,JPM,Financials,32958366.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Procter & Gamble Company,0.01002884,PG,Consumer Staples,26849922.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Chevron Corporation,0.009999280000000001,CVX,Energy,20239604.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Visa Inc. Class A,0.00998079,V,Information Technology,18375114.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Home Depot Inc.,0.00963884,HD,Consumer Discretionary,11550897.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Mastercard Incorporated Class A,0.00862012,MA,Information Technology,9588736.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Eli Lilly and Company,0.00827358,LLY,Health Care,8863387.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Bank of America Corp,0.00799566,BAC,Financials,78564970.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Pfizer Inc.,0.00795509,PFE,Health Care,63074972.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
AbbVie Inc.,0.00790593,ABBV,Health Care,19870896.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Meta Platforms Inc. Class A,0.00767564,META,Communication Services,25631752.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Merck & Co. Inc.,0.007389679999999999,MRK,Health Care,28470550.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
PepsiCo Inc.,0.00731562,PEP,Consumer Staples,15507011.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Coca-Cola Company,0.0071091999999999995,KO,Consumer Staples,43755984.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Costco Wholesale Corporation,0.00679894,COST,Consumer Staples,4978020.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Thermo Fisher Scientific Inc.,0.00628459,TMO,Health Care,4403166.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Broadcom Inc.,0.0062288,AVGO,Information Technology,4537517.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Walmart Inc.,0.00605183,WMT,Consumer Staples,16019419.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
McDonald's Corporation,0.00594441,MCD,Consumer Discretionary,8266728.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Cisco Systems Inc.,0.0055219,CSCO,Information Technology,46529292.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Accenture Plc Class A,0.00546064,ACN,Information Technology,7104441.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Abbott Laboratories,0.005426950000000001,ABT,Health Care,19677312.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Wells Fargo & Company,0.00536964,WFC,Financials,42620012.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Danaher Corporation,0.0052822400000000005,DHR,Health Care,7356434.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Walt Disney Company,0.0051578100000000005,DIS,Communication Services,20488712.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
ConocoPhillips,0.0050771900000000005,COP,Energy,14304305.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Linde plc,0.00490542,LIN,Materials,5606500.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
Texas Instruments Incorporated,0.0048887900000000005,TXN,Information Technology,10279681.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
NextEra Energy Inc.,0.00487324,NEE,Utilities,22076984.0,SPDR® S&P 500® ETF Trust,S27,2022-11-11,,,,,,,,,
